Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,55.72,55.75,54.8,55.33,682766
2010-01-04 10:00:00,55.35,55.63,55.29,55.61,313453
2010-01-04 10:15:00,55.63,55.98,55.63,55.82,490072
2010-01-04 10:30:00,55.82,55.88,55.69,55.78,238741
2010-01-04 10:45:00,55.78,55.81,55.62,55.7,187070
2010-01-04 11:00:00,55.695,55.73,55.64,55.68,180488
2010-01-04 11:15:00,55.69,55.75,55.595,55.75,193453
2010-01-04 11:30:00,55.75,55.89,55.74,55.87,121786
2010-01-04 11:45:00,55.88,56.0,55.86,55.973,165508
2010-01-04 12:00:00,55.97,56.0,55.97,55.971000000000004,132732
2010-01-04 12:15:00,55.98,56.131,55.97,56.131,197002
2010-01-04 12:30:00,56.12,56.14,55.99,56.0,159237
2010-01-04 12:45:00,56.0,56.06,55.99,56.02,107558
2010-01-04 13:00:00,56.01,56.03,55.96,55.99,136183
2010-01-04 13:15:00,55.99,56.04,55.97,56.03,101060
2010-01-04 13:30:00,56.0201,56.17,56.02,56.17,72676
2010-01-04 13:45:00,56.16,56.27,56.14,56.24,137396
2010-01-04 14:00:00,56.25,56.25,56.17,56.2,129890
2010-01-04 14:15:00,56.2079,56.21,56.18,56.2001,65161
2010-01-04 14:30:00,56.2,56.239,56.18,56.22,102894
2010-01-04 14:45:00,56.22,56.32,56.21,56.32,201051
2010-01-04 15:00:00,56.32,56.39,56.245,56.3301,148207
2010-01-04 15:15:00,56.34,56.34,56.18,56.19,262770
2010-01-04 15:30:00,56.19,56.22,56.12,56.19,249730
2010-01-04 15:45:00,56.2,56.22,56.14,56.2,261313
2010-01-04 16:00:00,56.2,56.24,56.08,56.18,463378
2010-01-05 09:45:00,56.25,56.4,56.0,56.02,198045
2010-01-05 10:00:00,56.02,56.35,56.0,56.29,212935
2010-01-05 10:15:00,56.28,56.5,56.19,56.5,229530
2010-01-05 10:30:00,56.5,57.0,56.495,57.0,322666
2010-01-05 10:45:00,56.99,57.04,56.84,57.04,312864
2010-01-05 11:00:00,57.05,57.08,56.9,57.06100000000001,343475
2010-01-05 11:15:00,57.06,57.07,56.88,56.9925,309977
2010-01-05 11:30:00,56.99,57.05,56.9,56.945,269916
2010-01-05 11:45:00,56.95,57.04,56.88,56.99,197607
2010-01-05 12:00:00,57.0,57.03,56.9,57.0295,146883
2010-01-05 12:15:00,57.03,57.41,57.02,57.4,252637
2010-01-05 12:30:00,57.4,57.61,57.31,57.6021,301706
2010-01-05 12:45:00,57.61,57.7,57.54,57.69,392640
2010-01-05 13:00:00,57.69,58.15,57.582,58.1,845421
2010-01-05 13:15:00,58.11,58.15,57.9,57.9,368372
2010-01-05 13:30:00,57.91,57.97,57.84,57.9574,189447
2010-01-05 13:45:00,57.96,58.28,57.94,58.2,613496
2010-01-05 14:00:00,58.21,58.22,57.99,58.0,199723
2010-01-05 14:15:00,57.98,58.08,57.95,58.04,214930
2010-01-05 14:30:00,58.04,58.09,57.97,57.99,344086
2010-01-05 14:45:00,57.99,57.99,57.85,57.8599,173754
2010-01-05 15:00:00,57.86,57.87,57.74,57.78,191609
2010-01-05 15:15:00,57.8,57.87,57.77,57.79,171429
2010-01-05 15:30:00,57.79,57.87,57.76,57.79,220321
2010-01-05 15:45:00,57.79,57.96,57.7708,57.792,424439
2010-01-05 16:00:00,57.8,58.09,57.79,58.01,883107
2010-01-06 09:45:00,58.23,58.4416,57.88,57.98,428728
2010-01-06 10:00:00,57.98,58.47,57.9,58.42,631565
2010-01-06 10:15:00,58.41,59.0,58.4,58.6994,607624
2010-01-06 10:30:00,58.6998,59.29,58.62,58.975,517169
2010-01-06 10:45:00,58.96,58.965,58.65,58.66,194555
2010-01-06 11:00:00,58.66,58.86,58.44,58.85,247211
2010-01-06 11:15:00,58.8666,58.89,58.56,58.56,143360
2010-01-06 11:30:00,58.5616,58.77,58.51,58.7,133765
2010-01-06 11:45:00,58.69,58.77,58.66,58.73,138196
2010-01-06 12:00:00,58.72,58.8858,58.6901,58.82,153336
2010-01-06 12:15:00,58.81,59.04,58.79,59.0,201103
2010-01-06 12:30:00,59.0,59.02,58.79,58.82,164353
2010-01-06 12:45:00,58.8046,58.95,58.79,58.898,114415
2010-01-06 13:00:00,58.8973,58.93,58.85,58.92,113513
2010-01-06 13:15:00,58.92,59.03,58.89,59.01,187660
2010-01-06 13:30:00,59.01,59.13,58.99,59.07,244519
2010-01-06 13:45:00,59.0775,59.48,59.04,59.45,444929
2010-01-06 14:00:00,59.445,59.45,59.27,59.35,218698
2010-01-06 14:15:00,59.34,59.8,59.34,59.74,412122
2010-01-06 14:30:00,59.7473,59.78,59.625,59.66,333828
2010-01-06 14:45:00,59.66,59.93,59.65,59.81,492583
2010-01-06 15:00:00,59.82,59.99,59.79,59.96,461848
2010-01-06 15:15:00,59.96,59.99,59.79,59.94,457840
2010-01-06 15:30:00,59.93,59.98,59.7771,59.7801,398495
2010-01-06 15:45:00,59.785,59.88,59.74,59.8525,432998
2010-01-06 16:00:00,59.86,59.89,59.75,59.8,723493
2010-01-07 09:45:00,59.51,60.37,59.02,60.31,1048162
2010-01-07 10:00:00,60.25,60.31,59.81,60.3,600519
2010-01-07 10:15:00,60.29,60.9,60.27,60.55,799698
2010-01-07 10:30:00,60.55,61.45,60.51,61.26,878480
2010-01-07 10:45:00,61.27,61.76,61.25,61.65,950879
2010-01-07 11:00:00,61.6456,61.75,61.43,61.55,587083
2010-01-07 11:15:00,61.54,61.56,61.42,61.53,370536
2010-01-07 11:30:00,61.53,61.98,61.51,61.8,422127
2010-01-07 11:45:00,61.82,61.85,61.6,61.72,318008
2010-01-07 12:00:00,61.73,61.95,61.7,61.85,439457
2010-01-07 12:15:00,61.85,61.87,61.56,61.82,568947
2010-01-07 12:30:00,61.82,61.9,61.67,61.75,395451
2010-01-07 12:45:00,61.74,61.78,61.59,61.6,280305
2010-01-07 13:00:00,61.595,61.75,61.59,61.68,206607
2010-01-07 13:15:00,61.67,61.68,61.58,61.62,161038
2010-01-07 13:30:00,61.615,61.86,61.6,61.8575,186491
2010-01-07 13:45:00,61.86,61.89,61.8,61.85,237494
2010-01-07 14:00:00,61.85,61.96,61.83,61.89,256029
2010-01-07 14:15:00,61.9,62.0,61.77,61.958,333835
2010-01-07 14:30:00,61.955,62.15,61.91,62.114,480166
2010-01-07 14:45:00,62.12,62.17,62.02,62.09,331456
2010-01-07 15:00:00,62.09,62.14,61.94,61.98,312560
2010-01-07 15:15:00,61.9822,62.24,61.79,62.13,537759
2010-01-07 15:30:00,62.14,62.24,61.97,62.03,574717
2010-01-07 15:45:00,62.03,62.31,62.03,62.1899,548138
2010-01-07 16:00:00,62.19,62.28,62.0,62.15,1241477
2010-01-08 09:45:00,61.48,61.6,60.95,60.9601,1329386
2010-01-08 10:00:00,60.97,61.5,60.86,61.45,530534
2010-01-08 10:15:00,61.461000000000006,61.53,61.13,61.17,381064
2010-01-08 10:30:00,61.17,61.5,61.17,61.33,241822
2010-01-08 10:45:00,61.33,61.4,61.27,61.31,184761
2010-01-08 11:00:00,61.3,61.39,61.29,61.37,191914
2010-01-08 11:15:00,61.38,61.63,61.34,61.55,175423
2010-01-08 11:30:00,61.56,61.73,61.43,61.48,193163
2010-01-08 11:45:00,61.47,61.55,61.35,61.54,131794
2010-01-08 12:00:00,61.54,61.78,61.46,61.47,158941
2010-01-08 12:15:00,61.47,61.57,61.44,61.5177,137478
2010-01-08 12:30:00,61.52,61.73,61.46,61.64,91598
2010-01-08 12:45:00,61.64,61.65,61.37,61.4,279420
2010-01-08 13:00:00,61.41,61.46,61.35,61.4,127405
2010-01-08 13:15:00,61.3999,61.48,61.35,61.43,112490
2010-01-08 13:30:00,61.42,61.53,61.37,61.45,121652
2010-01-08 13:45:00,61.45,61.59,61.44,61.5,139931
2010-01-08 14:00:00,61.49,61.55,61.48,61.5,86499
2010-01-08 14:15:00,61.5,61.57,61.4499,61.551,118015
2010-01-08 14:30:00,61.56,61.5687,61.33,61.4012,290870
2010-01-08 14:45:00,61.4001,61.43,61.33,61.393,242518
2010-01-08 15:00:00,61.39,61.41,61.35,61.4,123041
2010-01-08 15:15:00,61.39,61.42,61.35,61.419,155476
2010-01-08 15:30:00,61.43,61.49,61.4,61.42,181926
2010-01-08 15:45:00,61.425,61.52,61.39,61.45,370654
2010-01-08 16:00:00,61.45,61.72,61.43,61.63,742215
2010-01-11 09:45:00,61.95,62.09,61.51,61.59,477874
2010-01-11 10:00:00,61.57,61.61,60.96,61.0,414159
2010-01-11 10:15:00,61.01,61.03,60.86,60.895,326535
2010-01-11 10:30:00,60.91,60.99,60.81,60.9858,208980
2010-01-11 10:45:00,60.9856,61.1,60.92,61.005,166217
2010-01-11 11:00:00,61.01,61.038000000000004,60.88,60.908,133160
2010-01-11 11:15:00,60.91,60.96,60.83,60.9554,160763
2010-01-11 11:30:00,60.96,61.2,60.96,61.0617,137522
2010-01-11 11:45:00,61.06,61.16,60.96,60.96,123257
2010-01-11 12:00:00,60.96,60.97,60.85,60.89,110653
2010-01-11 12:15:00,60.88,61.0,60.84,60.97,136176
2010-01-11 12:30:00,60.975,61.0,60.91,60.97,89427
2010-01-11 12:45:00,60.96,60.965,60.8,60.8,111503
2010-01-11 13:00:00,60.81,60.89,60.74,60.81,173821
2010-01-11 13:15:00,60.809,60.86,60.8,60.825,57554
2010-01-11 13:30:00,60.825,60.83,60.67,60.6895,144167
2010-01-11 13:45:00,60.69,60.79,60.67,60.7878,134265
2010-01-11 14:00:00,60.7895,60.8,60.74,60.75,99652
2010-01-11 14:15:00,60.75,60.79,60.67,60.7,170839
2010-01-11 14:30:00,60.7077,60.77,60.67,60.68,129976
2010-01-11 14:45:00,60.6773,60.68,60.61,60.62,168921
2010-01-11 15:00:00,60.61,60.79,60.6,60.68,167787
2010-01-11 15:15:00,60.68,60.7,60.52,60.52,290052
2010-01-11 15:30:00,60.53,60.63,60.51,60.57,269031
2010-01-11 15:45:00,60.56,60.8,60.56,60.79,389061
2010-01-11 16:00:00,60.8,60.87,60.75,60.87,492511
2010-01-12 09:45:00,60.16,60.59,59.91,60.49,483703
2010-01-12 10:00:00,60.48,60.67,60.35,60.615,229222
2010-01-12 10:15:00,60.61,61.2,60.59,60.985,324095
2010-01-12 10:30:00,60.96,60.96,60.68,60.824,159005
2010-01-12 10:45:00,60.815,60.975,60.75,60.75,134379
2010-01-12 11:00:00,60.76,60.7895,60.3,60.33,138711
2010-01-12 11:15:00,60.33,60.415,60.29,60.31,114797
2010-01-12 11:30:00,60.31,60.4,60.3,60.34,68950
2010-01-12 11:45:00,60.34,60.51,60.31,60.35,155870
2010-01-12 12:00:00,60.35,60.455,60.33,60.41,82268
2010-01-12 12:15:00,60.41,60.42,60.17,60.33,126867
2010-01-12 12:30:00,60.33,60.4673,60.26,60.41,179233
2010-01-12 12:45:00,60.4,60.48,60.4,60.43,123668
2010-01-12 13:00:00,60.43,60.44,60.12,60.1716,121460
2010-01-12 13:15:00,60.17,60.28,60.11,60.1205,123755
2010-01-12 13:30:00,60.13,60.19,60.01,60.19,119027
2010-01-12 13:45:00,60.19,60.27,60.11,60.11,91990
2010-01-12 14:00:00,60.1,60.3,60.1,60.3,62528
2010-01-12 14:15:00,60.305,60.31,60.16,60.185,81538
2010-01-12 14:30:00,60.18,60.27,60.17,60.192,78881
2010-01-12 14:45:00,60.195,60.21,60.0,60.12,308110
2010-01-12 15:00:00,60.11,60.25,60.04,60.21,281685
2010-01-12 15:15:00,60.21,60.26,60.16,60.2,355050
2010-01-12 15:30:00,60.2,60.22,60.15,60.195,226866
2010-01-12 15:45:00,60.21,60.26,60.15,60.26,310829
2010-01-12 16:00:00,60.26,60.51,60.2525,60.48,487872
2010-01-13 09:45:00,60.61,61.4,60.36,61.19,346994
2010-01-13 10:00:00,61.19,61.7,61.17,61.36,277285
2010-01-13 10:15:00,61.35,61.4,60.64,60.66,292738
2010-01-13 10:30:00,60.66,60.86,60.35,60.86,327969
2010-01-13 10:45:00,60.85,60.95,60.73,60.82,208216
