Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,26.42,26.604,26.42,26.45,47166
2010-01-04 10:00:00,26.46,26.51,26.44,26.4799,61286
2010-01-04 10:15:00,26.48,26.495,26.47,26.48,58801
2010-01-04 10:30:00,26.48,26.51,26.48,26.51,31891
2010-01-04 10:45:00,26.51,26.51,26.48,26.49,19951
2010-01-04 11:00:00,26.4866,26.5,26.48,26.5,13094
2010-01-04 11:15:00,26.5,26.62,26.49,26.62,63166
2010-01-04 11:30:00,26.62,26.66,26.61,26.66,46702
2010-01-04 11:45:00,26.66,26.66,26.63,26.64,43126
2010-01-04 12:00:00,26.63,26.68,26.61,26.66,80468
2010-01-04 12:15:00,26.67,26.7,26.62,26.62,28314
2010-01-04 12:30:00,26.62,26.63,26.61,26.61,11836
2010-01-04 12:45:00,26.61,26.62,26.59,26.6,31362
2010-01-04 13:00:00,26.59,26.6,26.56,26.56,13818
2010-01-04 13:15:00,26.57,26.57,26.52,26.52,27803
2010-01-04 13:30:00,26.52,26.53,26.52,26.53,15804
2010-01-04 13:45:00,26.52,26.53,26.48,26.48,20088
2010-01-04 14:00:00,26.49,26.49,26.47,26.475,36853
2010-01-04 14:15:00,26.47,26.49,26.47,26.48,33156
2010-01-04 14:30:00,26.48,26.49,26.46,26.49,50018
2010-01-04 14:45:00,26.49,26.5,26.475,26.48,34829
2010-01-04 15:00:00,26.49,26.49,26.48,26.48,18451
2010-01-04 15:15:00,26.4899,26.49,26.47,26.48,21169
2010-01-04 15:30:00,26.47,26.48,26.45,26.46,31064
2010-01-04 15:45:00,26.45,26.46,26.43,26.43,69577
2010-01-04 16:00:00,26.44,26.5,26.43,26.49,160757
2010-01-05 09:45:00,26.36,26.51,26.36,26.37,33025
2010-01-05 10:00:00,26.38,26.41,26.29,26.34,90359
2010-01-05 10:15:00,26.33,26.44,26.31,26.41,37685
2010-01-05 10:30:00,26.41,26.47,26.3726,26.46,65707
2010-01-05 10:45:00,26.46,26.52,26.45,26.5,69685
2010-01-05 11:00:00,26.51,26.51,26.41,26.41,62784
