Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,30.72,31.25,30.7,31.03,58967
2010-01-04 10:00:00,31.03,31.17,30.96,31.03,52587
2010-01-04 10:15:00,31.03,31.05,30.89,30.94,52257
2010-01-04 10:30:00,30.95,30.99,30.88,30.885,57316
2010-01-04 10:45:00,30.8875,30.93,30.875,30.93,30678
2010-01-04 11:00:00,30.925,30.93,30.77,30.7713,38081
2010-01-04 11:15:00,30.78,30.94,30.75,30.88,100150
2010-01-04 11:30:00,30.87,31.0,30.8,30.92,73988
2010-01-04 11:45:00,30.92,31.06,30.91,30.95,80538
2010-01-04 12:00:00,30.96,30.97,30.86,30.86,16849
2010-01-04 12:15:00,30.87,30.87,30.78,30.8,23621
2010-01-04 12:30:00,30.79,30.8,30.76,30.77,16177
2010-01-04 12:45:00,30.78,30.81,30.76,30.78,19501
2010-01-04 13:00:00,30.78,30.78,30.705,30.71,14938
2010-01-04 13:15:00,30.71,30.89,30.7,30.83,41557
2010-01-04 13:30:00,30.83,30.84,30.74,30.75,19661
2010-01-04 13:45:00,30.74,30.78,30.71,30.76,28302
2010-01-04 14:00:00,30.76,30.78,30.69,30.73,43504
2010-01-04 14:15:00,30.73,30.79,30.7,30.77,36472
2010-01-04 14:30:00,30.78,30.86,30.77,30.85,40564
2010-01-04 14:45:00,30.85,30.88,30.83,30.85,46145
2010-01-04 15:00:00,30.85,30.86,30.8,30.8,21551
2010-01-04 15:15:00,30.81,30.87,30.79,30.84,29700
2010-01-04 15:30:00,30.85,30.9,30.8,30.89,55723
2010-01-04 15:45:00,30.9,30.92,30.86,30.87,44071
2010-01-04 16:00:00,30.87,31.0,30.86,31.0,265646
2010-01-05 09:45:00,30.64,31.23,30.64,31.08,45240
2010-01-05 10:00:00,31.1,31.18,31.05,31.09,23434
2010-01-05 10:15:00,31.085,31.2,31.07,31.19,37373
2010-01-05 10:30:00,31.2,31.27,31.16,31.27,33594
2010-01-05 10:45:00,31.26,31.28,31.21,31.25,46888
2010-01-05 11:00:00,31.25,31.33,31.23,31.29,31315
2010-01-05 11:15:00,31.29,31.35,31.27,31.28,15410
2010-01-05 11:30:00,31.27,31.33,31.25,31.26,22314
2010-01-05 11:45:00,31.27,31.34,31.21,31.34,28868
2010-01-05 12:00:00,31.335,31.35,31.28,31.3,39520
2010-01-05 12:15:00,31.3001,31.51,31.3,31.51,50860
2010-01-05 12:30:00,31.5,31.57,31.5,31.56,21400
2010-01-05 12:45:00,31.56,31.63,31.55,31.63,30006
2010-01-05 13:00:00,31.63,31.72,31.6,31.71,35337
2010-01-05 13:15:00,31.7195,31.75,31.68,31.71,55910
2010-01-05 13:30:00,31.71,31.76,31.7,31.72,55438
2010-01-05 13:45:00,31.73,31.79,31.69,31.77,31152
2010-01-05 14:00:00,31.78,31.8125,31.76,31.81,34986
2010-01-05 14:15:00,31.8199,31.84,31.78,31.79,29362
2010-01-05 14:30:00,31.7899,31.91,31.75,31.9,89782
2010-01-05 14:45:00,31.91,32.12,31.91,32.12,91305
2010-01-05 15:00:00,32.12,32.3,32.11,32.195,118699
2010-01-05 15:15:00,32.2,32.23,32.11,32.13,103189
2010-01-05 15:30:00,32.14,32.14,32.06,32.11,115599
2010-01-05 15:45:00,32.12,32.36,32.1,32.3,146745
2010-01-05 16:00:00,32.29,32.3,32.19,32.22,188198
2010-01-06 09:45:00,32.5,32.5,32.1,32.41,58712
2010-01-06 10:00:00,32.415,32.68,32.34,32.6,113572
2010-01-06 10:15:00,32.59,32.64,32.5,32.6,79670
2010-01-06 10:30:00,32.6,32.64,32.55,32.58,68875
2010-01-06 10:45:00,32.58,32.59,32.42,32.46,57319
2010-01-06 11:00:00,32.46,32.6,32.4,32.57,47515
2010-01-06 11:15:00,32.57,32.76,32.56,32.71,102012
2010-01-06 11:30:00,32.71,32.75,32.5801,32.6,45300
2010-01-06 11:45:00,32.6,32.64,32.57,32.59,43990
2010-01-06 12:00:00,32.6,32.7,32.595,32.69,101355
2010-01-06 12:15:00,32.69,32.71,32.59,32.61,44165
2010-01-06 12:30:00,32.61,32.65,32.53,32.58,56004
2010-01-06 12:45:00,32.58,32.65,32.57,32.6,44900
2010-01-06 13:00:00,32.6,32.62,32.52,32.55,31224
2010-01-06 13:15:00,32.56,32.66,32.55,32.63,52839
2010-01-06 13:30:00,32.64,32.65,32.6,32.61,31896
2010-01-06 13:45:00,32.61,32.7,32.59,32.66,62034
2010-01-06 14:00:00,32.6875,32.7,32.58,32.6,67700
2010-01-06 14:15:00,32.59,32.72,32.59,32.7,65347
2010-01-06 14:30:00,32.69,32.7,32.61,32.7,51734
2010-01-06 14:45:00,32.705,32.79,32.7,32.735,76680
2010-01-06 15:00:00,32.74,32.78,32.73,32.745,88501
2010-01-06 15:15:00,32.745,32.75,32.71,32.75,55216
2010-01-06 15:30:00,32.74,32.8,32.74,32.78,96850
2010-01-06 15:45:00,32.7875,32.7875,32.62,32.6325,123163
2010-01-06 16:00:00,32.6325,32.73,32.63,32.7,193250
2010-01-07 09:45:00,32.53,32.76,32.53,32.72,38441
2010-01-07 10:00:00,32.72,32.73,32.67,32.7,60912
2010-01-07 10:15:00,32.71,32.72,32.64,32.67,12321
2010-01-07 10:30:00,32.67,32.69,32.62,32.63,16847
2010-01-07 10:45:00,32.62,32.69,32.58,32.58,43135
2010-01-07 11:00:00,32.58,32.74,32.58,32.735,29856
2010-01-07 11:15:00,32.7399,32.89,32.73,32.88,36738
2010-01-07 11:30:00,32.87,32.98,32.84,32.945,42185
2010-01-07 11:45:00,32.94,32.95,32.83,32.84,61224
2010-01-07 12:00:00,32.84,32.9055,32.615,32.65,52532
2010-01-07 12:15:00,32.64,32.67,32.55,32.57,25526
2010-01-07 12:30:00,32.55,32.62,32.55,32.62,28139
2010-01-07 12:45:00,32.63,32.66,32.55,32.57,25846
2010-01-07 13:00:00,32.57,32.65,32.54,32.6,23883
2010-01-07 13:15:00,32.6,32.69,32.54,32.69,35832
2010-01-07 13:30:00,32.69,32.72,32.64,32.71,51548
2010-01-07 13:45:00,32.71,32.75,32.68,32.7,21820
2010-01-07 14:00:00,32.7,32.76,32.68,32.72,29045
