Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,17.98,18.07,17.89,17.97,243293
2010-01-04 10:00:00,17.97,17.99,17.9,17.93,180682
2010-01-04 10:15:00,17.94,17.98,17.91,17.98,236783
2010-01-04 10:30:00,17.975,18.1,17.95,18.1,165407
2010-01-04 10:45:00,18.1,18.11,18.04,18.08,156122
2010-01-04 11:00:00,18.08,18.135,18.07,18.1229,85973
2010-01-04 11:15:00,18.12,18.13,18.07,18.0749,90981
2010-01-04 11:30:00,18.07,18.08,18.07,18.08,25937
2010-01-04 11:45:00,18.07,18.08,18.07,18.08,32060
2010-01-04 12:00:00,18.0705,18.1,18.05,18.09,155740
2010-01-04 12:15:00,18.08,18.12,18.08,18.12,83612
2010-01-04 12:30:00,18.1127,18.17,18.11,18.17,135582
2010-01-04 12:45:00,18.17,18.22,18.16,18.18,138138
2010-01-04 13:00:00,18.19,18.22,18.17,18.22,107041
2010-01-04 13:15:00,18.22,18.235,18.18,18.18,105898
2010-01-04 13:30:00,18.18,18.2,18.17,18.19,100587
2010-01-04 13:45:00,18.1975,18.2,18.18,18.18,65584
2010-01-04 14:00:00,18.18,18.19,18.13,18.15,86182
2010-01-04 14:15:00,18.15,18.15,18.13,18.15,75186
2010-01-04 14:30:00,18.15,18.17,18.14,18.1401,98870
2010-01-04 14:45:00,18.15,18.17,18.14,18.17,51504
2010-01-04 15:00:00,18.17,18.2,18.16,18.17,137453
2010-01-04 15:15:00,18.16,18.18,18.15,18.18,69946
2010-01-04 15:30:00,18.17,18.18,18.13,18.15,181536
2010-01-04 15:45:00,18.15,18.16,18.11,18.11,183287
2010-01-04 16:00:00,18.11,18.16,18.08,18.15,523116
2010-01-05 09:45:00,18.37,18.4,18.23,18.37,418254
2010-01-05 10:00:00,18.3712,18.58,18.35,18.5,701892
2010-01-05 10:15:00,18.49,18.62,18.4299,18.62,433176
2010-01-05 10:30:00,18.61,18.87,18.61,18.86,813802
2010-01-05 10:45:00,18.86,18.87,18.76,18.77,488992
2010-01-05 11:00:00,18.76,18.765,18.65,18.69,250582
2010-01-05 11:15:00,18.7,18.81,18.67,18.77,262416
2010-01-05 11:30:00,18.77,18.77,18.69,18.71,197160
2010-01-05 11:45:00,18.71,18.74,18.59,18.6,190879
2010-01-05 12:00:00,18.6,18.61,18.56,18.57,175069
2010-01-05 12:15:00,18.57,18.61,18.55,18.6,145564
2010-01-05 12:30:00,18.59,18.61,18.57,18.6001,146574
2010-01-05 12:45:00,18.61,18.61,18.53,18.53,83413
2010-01-05 13:00:00,18.53,18.62,18.5,18.61,242723
2010-01-05 13:15:00,18.61,18.62,18.56,18.59,64575
2010-01-05 13:30:00,18.599,18.62,18.54,18.55,42886
2010-01-05 13:45:00,18.5425,18.58,18.53,18.57,157969
2010-01-05 14:00:00,18.5788,18.59,18.55,18.56,95869
2010-01-05 14:15:00,18.56,18.58,18.55,18.56,60410
2010-01-05 14:30:00,18.55,18.62,18.55,18.61,144394
2010-01-05 14:45:00,18.62,18.66,18.61,18.66,115427
2010-01-05 15:00:00,18.65,18.67,18.65,18.66,80842
2010-01-05 15:15:00,18.67,18.68,18.65,18.665,195928
2010-01-05 15:30:00,18.67,18.67,18.64,18.64,109082
2010-01-05 15:45:00,18.64,18.66,18.63,18.651,246614
2010-01-05 16:00:00,18.65,18.66,18.65,18.66,544147
2010-01-06 09:45:00,18.66,18.7,18.52,18.56,289445
2010-01-06 10:00:00,18.56,18.58,18.33,18.37,432952
2010-01-06 10:15:00,18.37,18.42,18.31,18.365,324927
2010-01-06 10:30:00,18.36,18.37,18.3,18.31,152181
2010-01-06 10:45:00,18.31,18.35,18.27,18.31,154201
2010-01-06 11:00:00,18.31,18.39,18.25,18.38,224318
2010-01-06 11:15:00,18.38,18.4,18.35,18.39,87418
2010-01-06 11:30:00,18.39,18.46,18.38,18.4,306004
2010-01-06 11:45:00,18.4,18.42,18.34,18.34,116570
