Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,10.0,10.09,9.98,10.07,335054
2010-01-04 10:00:00,10.07,10.12,10.065,10.09,226835
2010-01-04 10:15:00,10.1,10.181000000000001,10.09,10.1785,634584
2010-01-04 10:30:00,10.18,10.25,10.17,10.2401,435392
2010-01-04 10:45:00,10.25,10.27,10.24,10.27,250009
2010-01-04 11:00:00,10.26,10.27,10.22,10.22,418287
2010-01-04 11:15:00,10.22,10.26,10.21,10.25,293653
2010-01-04 11:30:00,10.25,10.255,10.23,10.24,202488
2010-01-04 11:45:00,10.24,10.26,10.24,10.25,212301
2010-01-04 12:00:00,10.25,10.29,10.25,10.28,399606
2010-01-04 12:15:00,10.28,10.29,10.27,10.28,230881
2010-01-04 12:30:00,10.28,10.31,10.28,10.3,359900
2010-01-04 12:45:00,10.3,10.31,10.27,10.29,146631
2010-01-04 13:00:00,10.28,10.29,10.26,10.28,217668
2010-01-04 13:15:00,10.2898,10.29,10.26,10.26,62971
2010-01-04 13:30:00,10.2601,10.27,10.24,10.25,151526
2010-01-04 13:45:00,10.25,10.261,10.24,10.26,148014
2010-01-04 14:00:00,10.25,10.26,10.2,10.2298,347834
2010-01-04 14:15:00,10.23,10.27,10.22,10.26,452557
2010-01-04 14:30:00,10.26,10.27,10.24,10.2502,145658
2010-01-04 14:45:00,10.26,10.28,10.25,10.275,107373
2010-01-04 15:00:00,10.27,10.3,10.27,10.27,357524
2010-01-04 15:15:00,10.27,10.31,10.27,10.3,238911
2010-01-04 15:30:00,10.3,10.31,10.27,10.2801,358681
2010-01-04 15:45:00,10.2803,10.29,10.26,10.28,495084
2010-01-04 16:00:00,10.28,10.35,10.27,10.33,1226227
2010-01-05 09:45:00,10.36,10.41,10.32,10.41,357172
2010-01-05 10:00:00,10.41,10.44,10.35,10.35,288059
2010-01-05 10:15:00,10.36,10.39,10.335,10.365,184725
2010-01-05 10:30:00,10.37,10.39,10.36,10.39,232505
2010-01-05 10:45:00,10.38,10.39,10.37,10.37,148167
2010-01-05 11:00:00,10.37,10.39,10.37,10.3898,121249
2010-01-05 11:15:00,10.38,10.4,10.38,10.38,149384
2010-01-05 11:30:00,10.38,10.39,10.28,10.3,463965
2010-01-05 11:45:00,10.3,10.32,10.29,10.315,84142
2010-01-05 12:00:00,10.315,10.33,10.315,10.33,118896
2010-01-05 12:15:00,10.325,10.34,10.32,10.3399,119086
2010-01-05 12:30:00,10.33,10.39,10.33,10.39,125527
2010-01-05 12:45:00,10.39,10.39,10.36,10.37,81714
2010-01-05 13:00:00,10.37,10.41,10.36,10.41,242263
2010-01-05 13:15:00,10.41,10.45,10.4,10.45,231696
2010-01-05 13:30:00,10.45,10.46,10.43,10.44,185935
2010-01-05 13:45:00,10.43,10.46,10.39,10.46,275351
2010-01-05 14:00:00,10.46,10.46,10.44,10.45,83742
2010-01-05 14:15:00,10.449000000000002,10.46,10.44,10.44,106758
2010-01-05 14:30:00,10.44,10.49,10.43,10.49,303625
2010-01-05 14:45:00,10.48,10.49,10.47,10.49,205796
2010-01-05 15:00:00,10.49,10.51,10.48,10.51,632471
2010-01-05 15:15:00,10.5,10.54,10.5,10.51,526002
2010-01-05 15:30:00,10.51,10.55,10.5,10.52,721725
2010-01-05 15:45:00,10.53,10.59,10.52,10.57,799980
2010-01-05 16:00:00,10.58,10.6,10.56,10.58,1407780
2010-01-06 09:45:00,10.64,10.64,10.52,10.595,433010
2010-01-06 10:00:00,10.59,10.64,10.58,10.6,384866
2010-01-06 10:15:00,10.6,10.63,10.59,10.6,524245
2010-01-06 10:30:00,10.6002,10.63,10.6,10.62,209064
2010-01-06 10:45:00,10.62,10.64,10.6,10.64,432019
2010-01-06 11:00:00,10.64,10.68,10.62,10.68,280610
2010-01-06 11:15:00,10.68,10.69,10.64,10.6891,263726
2010-01-06 11:30:00,10.69,10.72,10.68,10.7,287497
2010-01-06 11:45:00,10.69,10.73,10.68,10.73,226196
2010-01-06 12:00:00,10.725,10.75,10.71,10.73,631567
2010-01-06 12:15:00,10.74,10.76,10.73,10.7535,204353
2010-01-06 12:30:00,10.76,10.78,10.75,10.7795,216684
2010-01-06 12:45:00,10.775,10.8,10.77,10.8,153664
2010-01-06 13:00:00,10.79,10.805,10.79,10.795,450997
2010-01-06 13:15:00,10.8,10.8,10.73,10.74,329681
2010-01-06 13:30:00,10.74,10.79,10.74,10.79,293362
2010-01-06 13:45:00,10.78,10.81,10.76,10.8,968717
2010-01-06 14:00:00,10.8,10.81,10.75,10.75,242461
2010-01-06 14:15:00,10.755,10.77,10.75,10.76,281316
2010-01-06 14:30:00,10.76,10.8,10.75,10.8,389758
2010-01-06 14:45:00,10.7925,10.82,10.79,10.8,391414
2010-01-06 15:00:00,10.805,10.81,10.76,10.8,273333
2010-01-06 15:15:00,10.8,10.83,10.78,10.78,476518
2010-01-06 15:30:00,10.775,10.78,10.7026,10.75,1545169
2010-01-06 15:45:00,10.7525,10.77,10.72,10.76,812554
2010-01-06 16:00:00,10.77,10.79,10.76,10.76,782642
2010-01-07 09:45:00,10.65,10.75,10.61,10.65,391157
2010-01-07 10:00:00,10.66,10.66,10.52,10.55,343859
2010-01-07 10:15:00,10.55,10.63,10.54,10.61,320496
2010-01-07 10:30:00,10.61,10.68,10.605,10.67,661176
2010-01-07 10:45:00,10.675,10.71,10.64,10.71,234994
2010-01-07 11:00:00,10.71,10.75,10.71,10.74,571860
2010-01-07 11:15:00,10.74,10.75,10.71,10.72,231672
2010-01-07 11:30:00,10.71,10.72,10.63,10.6395,416707
2010-01-07 11:45:00,10.64,10.65,10.63,10.65,107918
2010-01-07 12:00:00,10.64,10.72,10.64,10.69,877942
2010-01-07 12:15:00,10.69,10.71,10.68,10.69,130088
2010-01-07 12:30:00,10.7,10.71,10.68,10.69,215663
2010-01-07 12:45:00,10.68,10.72,10.67,10.71,285787
2010-01-07 13:00:00,10.7199,10.75,10.7,10.7,213757
2010-01-07 13:15:00,10.7,10.71,10.68,10.685,67472
2010-01-07 13:30:00,10.69,10.74,10.675,10.73,280475
