Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,51.54,52.19,51.32,52.17,1665571
2010-01-04 10:00:00,52.17,52.38,52.08,52.3,773206
2010-01-04 10:15:00,52.3,52.44,52.235,52.38,584916
2010-01-04 10:30:00,52.39,52.49,52.37,52.48,387356
2010-01-04 10:45:00,52.48,52.49,52.4001,52.48,439589
2010-01-04 11:00:00,52.48,52.5,52.38,52.38,341093
2010-01-04 11:15:00,52.39,52.43,52.25,52.325,450180
2010-01-04 11:30:00,52.3275,52.42,52.29,52.41,287887
2010-01-04 11:45:00,52.42,52.45,52.34,52.35,331008
2010-01-04 12:00:00,52.36,52.38,52.3003,52.31,313474
2010-01-04 12:15:00,52.32,52.32,52.22,52.27,357571
2010-01-04 12:30:00,52.27,52.3,52.24,52.28,177479
2010-01-04 12:45:00,52.29,52.34,52.26,52.29,183141
2010-01-04 13:00:00,52.29,52.36,52.29,52.345,192102
2010-01-04 13:15:00,52.35,52.36,52.28,52.33,188877
2010-01-04 13:30:00,52.32,52.37,52.31,52.37,212740
2010-01-04 13:45:00,52.37,52.39,52.35,52.385,180949
2010-01-04 14:00:00,52.39,52.44,52.38,52.43,380137
2010-01-04 14:15:00,52.4298,52.45,52.39,52.44,199101
2010-01-04 14:30:00,52.445,52.46,52.4,52.43,273712
2010-01-04 14:45:00,52.43,52.5,52.425,52.47,399460
2010-01-04 15:00:00,52.47,52.47,52.39,52.39,544149
2010-01-04 15:15:00,52.4,52.425,52.36,52.395,622271
2010-01-04 15:30:00,52.39,52.4,52.36,52.39,334918
2010-01-04 15:45:00,52.38,52.42,52.36,52.42,480496
2010-01-04 16:00:00,52.41,52.48,52.39,52.47,1071637
2010-01-05 09:45:00,52.14,52.43,52.1,52.39,938331
2010-01-05 10:00:00,52.39,52.5,52.34,52.39,566314
2010-01-05 10:15:00,52.37,52.49,52.3,52.49,581680
2010-01-05 10:30:00,52.49,52.65,52.44,52.635,599400
2010-01-05 10:45:00,52.6383,52.715,52.61,52.7,655028
2010-01-05 11:00:00,52.7,52.74,52.58,52.63,389375
2010-01-05 11:15:00,52.6301,52.638999999999996,52.55,52.57,473960
2010-01-05 11:30:00,52.57,52.6,52.55,52.56,442182
2010-01-05 11:45:00,52.56,52.57,52.46,52.5,435355
2010-01-05 12:00:00,52.5,52.57,52.47,52.52,389095
2010-01-05 12:15:00,52.52,52.65,52.51,52.65,280465
2010-01-05 12:30:00,52.65,52.66,52.6,52.648999999999994,315447
2010-01-05 12:45:00,52.65,52.66,52.54,52.5489,426254
2010-01-05 13:00:00,52.55,52.55,52.49,52.55,287971
2010-01-05 13:15:00,52.55,52.59,52.52,52.53,243670
2010-01-05 13:30:00,52.53,52.58,52.46,52.49,331948
2010-01-05 13:45:00,52.49,52.68,52.475,52.65,482108
2010-01-05 14:00:00,52.65,52.69,52.54,52.585,418701
2010-01-05 14:15:00,52.58,52.595,52.49,52.49,407038
2010-01-05 14:30:00,52.49,52.59,52.47,52.58,426688
2010-01-05 14:45:00,52.59,52.63,52.56,52.571000000000005,491286
2010-01-05 15:00:00,52.57,52.61,52.56,52.58,448963
2010-01-05 15:15:00,52.57,52.68,52.56,52.65,430382
2010-01-05 15:30:00,52.658,52.68,52.62,52.65,583086
2010-01-05 15:45:00,52.64,52.73,52.64,52.6601,557931
2010-01-05 16:00:00,52.66,52.72,52.65,52.65,924502
2010-01-06 09:45:00,52.53,52.6,52.26,52.27,970072
2010-01-06 10:00:00,52.26,52.39,52.2,52.39,547373
2010-01-06 10:15:00,52.39,52.67,52.36,52.61,665223
2010-01-06 10:30:00,52.61,52.63,52.55,52.62,374949
2010-01-06 10:45:00,52.61,52.66,52.54,52.58,345801
2010-01-06 11:00:00,52.59,52.65,52.51,52.62,368358
2010-01-06 11:15:00,52.62,52.69,52.61,52.67,320412
2010-01-06 11:30:00,52.67,52.73,52.65,52.67,414285
2010-01-06 11:45:00,52.68,52.69,52.545,52.5501,313481
2010-01-06 12:00:00,52.5505,52.6,52.5,52.55,385069
2010-01-06 12:15:00,52.55,52.58,52.4301,52.44,548816
2010-01-06 12:30:00,52.431999999999995,52.54,52.36,52.39,387005
2010-01-06 12:45:00,52.39,52.55,52.39,52.52,241569
2010-01-06 13:00:00,52.52,52.55,52.49,52.53,218029
2010-01-06 13:15:00,52.54,52.57,52.5003,52.57,217703
2010-01-06 13:30:00,52.57,52.63,52.51,52.53,310248
2010-01-06 13:45:00,52.53,52.55,52.46,52.46,276561
2010-01-06 14:00:00,52.47,52.48,52.3,52.32,375695
2010-01-06 14:15:00,52.315,52.46,52.31,52.44,368113
2010-01-06 14:30:00,52.44,52.4599,52.34,52.3978,412025
2010-01-06 14:45:00,52.39,52.47,52.38,52.4327,371098
2010-01-06 15:00:00,52.44,52.47,52.39,52.39,253625
2010-01-06 15:15:00,52.4,52.43,52.33,52.37,282881
2010-01-06 15:30:00,52.37,52.39,52.28,52.33,391373
2010-01-06 15:45:00,52.3303,52.35,52.16,52.16,696786
2010-01-06 16:00:00,52.16,52.18,52.05,52.17,1149768
2010-01-07 09:45:00,52.19,52.59,52.01,52.51,1069181
2010-01-07 10:00:00,52.51,52.56,52.02,52.08,716630
2010-01-07 10:15:00,52.08,52.25,52.03,52.23,359100
2010-01-07 10:30:00,52.23,52.3,52.15,52.2101,276378
2010-01-07 10:45:00,52.21,52.37,52.2,52.34,307807
2010-01-07 11:00:00,52.35,52.49,52.35,52.45,368940
2010-01-07 11:15:00,52.44,52.53,52.4,52.5,379877
2010-01-07 11:30:00,52.5002,52.51,52.4,52.4095,260444
2010-01-07 11:45:00,52.4001,52.42,52.2,52.24,346920
2010-01-07 12:00:00,52.25,52.26,52.1,52.17,439869
2010-01-07 12:15:00,52.16,52.28,52.14,52.27,407887
2010-01-07 12:30:00,52.28,52.41,52.2775,52.375,398109
2010-01-07 12:45:00,52.37,52.41,52.24,52.26,306909
2010-01-07 13:00:00,52.26,52.33,52.25,52.3,172785
