Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,13.62,13.85,13.6,13.73,413169
2010-01-04 10:00:00,13.73,13.8,13.71,13.73,345450
2010-01-04 10:15:00,13.73,13.76,13.56,13.59,478381
2010-01-04 10:30:00,13.59,13.73,13.59,13.715,234386
2010-01-04 10:45:00,13.71,13.82,13.71,13.79,222235
2010-01-04 11:00:00,13.79,13.88,13.76,13.8,203285
2010-01-04 11:15:00,13.8,13.84,13.79,13.79,103609
2010-01-04 11:30:00,13.79,13.81,13.735,13.77,171688
2010-01-04 11:45:00,13.77,13.81,13.75,13.8,154707
2010-01-04 12:00:00,13.8002,13.83,13.78,13.81,193235
2010-01-04 12:15:00,13.81,13.83,13.79,13.79,112255
2010-01-04 12:30:00,13.79,13.79,13.68,13.68,150069
2010-01-04 12:45:00,13.69,13.77,13.68,13.77,137859
2010-01-04 13:00:00,13.76,13.77,13.74,13.77,89197
2010-01-04 13:15:00,13.78,13.78,13.71,13.72,65331
2010-01-04 13:30:00,13.72,13.74,13.71,13.72,72497
2010-01-04 13:45:00,13.73,13.73,13.67,13.67,75159
2010-01-04 14:00:00,13.67,13.68,13.61,13.615,131032
2010-01-04 14:15:00,13.61,13.62,13.6,13.61,118136
2010-01-04 14:30:00,13.61,13.61,13.57,13.6,325877
2010-01-04 14:45:00,13.6,13.65,13.58,13.62,162134
2010-01-04 15:00:00,13.63,13.67,13.57,13.57,198676
2010-01-04 15:15:00,13.57,13.67,13.57,13.65,330806
2010-01-04 15:30:00,13.65,13.6525,13.57,13.61,231801
2010-01-04 15:45:00,13.61,13.67,13.61,13.63,440249
2010-01-04 16:00:00,13.63,13.7,13.62,13.68,736215
2010-01-05 09:45:00,13.61,13.71,13.43,13.56,270953
2010-01-05 10:00:00,13.56,13.67,13.54,13.56,210099
2010-01-05 10:15:00,13.56,13.65,13.54,13.565,219964
2010-01-05 10:30:00,13.5675,13.62,13.56,13.6,319268
2010-01-05 10:45:00,13.595,13.72,13.56,13.7,265636
2010-01-05 11:00:00,13.7,13.71,13.62,13.62,338447
2010-01-05 11:15:00,13.62,13.63,13.56,13.56,197369
2010-01-05 11:30:00,13.56,13.57,13.44,13.51,211478
2010-01-05 11:45:00,13.49,13.495,13.41,13.41,144356
2010-01-05 12:00:00,13.41,13.5,13.41,13.49,106619
2010-01-05 12:15:00,13.5,13.6099,13.49,13.605,84312
2010-01-05 12:30:00,13.6,13.67,13.6,13.6301,263479
2010-01-05 12:45:00,13.63,13.635,13.5905,13.6001,130819
