Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,40.78,40.9,40.7,40.76,48524
2010-01-04 10:00:00,40.79,40.95,40.74,40.95,46815
2010-01-04 10:15:00,40.95,41.21,40.89,41.21,97423
2010-01-04 10:30:00,41.2,41.36,41.19,41.29,52765
2010-01-04 10:45:00,41.32,41.34,41.14,41.18,68606
2010-01-04 11:00:00,41.195,41.21,41.07,41.14,53025
2010-01-04 11:15:00,41.14,41.24,41.11,41.11,71006
2010-01-04 11:30:00,41.13,41.13,41.05,41.06,35712
2010-01-04 11:45:00,41.06,41.14,41.06,41.14,27017
2010-01-04 12:00:00,41.13,41.15,41.09,41.09,33776
2010-01-04 12:15:00,41.0995,41.0998,41.05,41.065,27122
2010-01-04 12:30:00,41.07,41.07,41.01,41.05,39482
2010-01-04 12:45:00,41.0401,41.05,40.93,40.94,42918
2010-01-04 13:00:00,40.9398,40.96,40.9,40.94,41171
2010-01-04 13:15:00,40.95,40.97,40.885,40.91,36748
2010-01-04 13:30:00,40.905,40.94,40.88,40.92,37584
2010-01-04 13:45:00,40.92,40.92,40.86,40.87,39200
2010-01-04 14:00:00,40.87,40.91,40.8,40.83,57028
2010-01-04 14:15:00,40.8298,40.89,40.81,40.83,45964
2010-01-04 14:30:00,40.84,40.945,40.84,40.91,84663
2010-01-04 14:45:00,40.92,41.03,40.89,40.98,80855
2010-01-04 15:00:00,40.99,41.0,40.94,40.94,56952
2010-01-04 15:15:00,40.94,41.05,40.94,40.99,115360
2010-01-04 15:30:00,40.98,40.98,40.88,40.88,88615
2010-01-04 15:45:00,40.89,40.91,40.81,40.83,80927
2010-01-04 16:00:00,40.83,40.88,40.81,40.86,122267
2010-01-05 09:45:00,40.99,41.05,40.45,40.57,56505
2010-01-05 10:00:00,40.57,40.57,40.35,40.35,83317
2010-01-05 10:15:00,40.33,40.4,40.22,40.27,111849
2010-01-05 10:30:00,40.28,40.39,40.26,40.38,45973
2010-01-05 10:45:00,40.37,40.41,40.34,40.34,166954
2010-01-05 11:00:00,40.35,40.35,40.33,40.35,32531
2010-01-05 11:15:00,40.34,40.34,40.24,40.25,128667
2010-01-05 11:30:00,40.25,40.26,40.0705,40.09,80140
2010-01-05 11:45:00,40.09,40.16,40.07,40.1482,125990
2010-01-05 12:00:00,40.14,40.16,40.13,40.153,31399
2010-01-05 12:15:00,40.155,40.18,40.125,40.15,39191
2010-01-05 12:30:00,40.14,40.2,40.14,40.14,34185
2010-01-05 12:45:00,40.14,40.15,40.05,40.06,150182
2010-01-05 13:00:00,40.07,40.115,40.05,40.115,42511
2010-01-05 13:15:00,40.12,40.13,40.05,40.08,87057
2010-01-05 13:30:00,40.09,40.11,40.05,40.1,39136
2010-01-05 13:45:00,40.11,40.19,40.1,40.19,38271
2010-01-05 14:00:00,40.18,40.285,40.18,40.27,65561
2010-01-05 14:15:00,40.28,40.31,40.255,40.26,46460
2010-01-05 14:30:00,40.255,40.3,40.24,40.3,97232
2010-01-05 14:45:00,40.3,40.33,40.295,40.315,39218
2010-01-05 15:00:00,40.32,40.37,40.32,40.33,54530
2010-01-05 15:15:00,40.33,40.43,40.33,40.415,67179
2010-01-05 15:30:00,40.41,40.42,40.38,40.39,62293
2010-01-05 15:45:00,40.382,40.46,40.382,40.4225,147812
2010-01-05 16:00:00,40.42,40.48,40.39,40.42,110362
2010-01-06 09:45:00,40.56,40.82,40.48,40.48,59895
2010-01-06 10:00:00,40.48,40.64,40.47,40.5,69442
2010-01-06 10:15:00,40.49,40.66,40.48,40.5475,56718
2010-01-06 10:30:00,40.545,40.55,40.4,40.405,51560
2010-01-06 10:45:00,40.4,40.46,40.32,40.35,60932
2010-01-06 11:00:00,40.355,40.44,40.3,40.42,46599
2010-01-06 11:15:00,40.43,40.45,40.36,40.45,43191
2010-01-06 11:30:00,40.45,40.47,40.43,40.435,35375
2010-01-06 11:45:00,40.44,40.45,40.31,40.31,29868
2010-01-06 12:00:00,40.31,40.31,40.15,40.16,48244
2010-01-06 12:15:00,40.16,40.17,40.02,40.02,66039
2010-01-06 12:30:00,40.03,40.07,40.0,40.02,41107
2010-01-06 12:45:00,40.01,40.07,40.0,40.04,47656
2010-01-06 13:00:00,40.05,40.115,40.03,40.09,32345
2010-01-06 13:15:00,40.1,40.15,40.03,40.035,65010
2010-01-06 13:30:00,40.04,40.13,40.0,40.11,57900
2010-01-06 13:45:00,40.11,40.12,40.03,40.05,126578
2010-01-06 14:00:00,40.05,40.05,39.84,39.84,92646
2010-01-06 14:15:00,39.84,40.0,39.84,39.97,57522
2010-01-06 14:30:00,39.96,40.11,39.95,40.08,124745
2010-01-06 14:45:00,40.08,40.12,40.01,40.01,112719
2010-01-06 15:00:00,40.01,40.05,39.97,40.02,53106
2010-01-06 15:15:00,40.0,40.08,39.96,39.995,64345
2010-01-06 15:30:00,39.99,40.08,39.93,40.07,90143
2010-01-06 15:45:00,40.08,40.24,40.07,40.1,125312
2010-01-06 16:00:00,40.1,40.19,40.06,40.15,200040
2010-01-07 09:45:00,39.98,40.26,39.98,40.03,39712
2010-01-07 10:00:00,40.06,40.06,39.7003,39.77,43864
2010-01-07 10:15:00,39.77,39.92,39.72,39.92,47659
2010-01-07 10:30:00,39.9,39.99,39.8706,39.99,16723
2010-01-07 10:45:00,39.99,40.19,39.98,40.18,37300
2010-01-07 11:00:00,40.18,40.34,40.13,40.24,52310
2010-01-07 11:15:00,40.25,40.31,40.24,40.31,35500
2010-01-07 11:30:00,40.31,40.42,40.26,40.325,63595
2010-01-07 11:45:00,40.33,40.35,40.27,40.34,46908
2010-01-07 12:00:00,40.34,40.37,40.3,40.31,27075
2010-01-07 12:15:00,40.31,40.49,40.28,40.39,100980
2010-01-07 12:30:00,40.4,40.54,40.39,40.49,57390
2010-01-07 12:45:00,40.49,40.52,40.38,40.46,62315
2010-01-07 13:00:00,40.45,40.55,40.45,40.48,43112
2010-01-07 13:15:00,40.48,40.48,40.39,40.4,41392
2010-01-07 13:30:00,40.4,40.52,40.4,40.52,36934
2010-01-07 13:45:00,40.52,40.52,40.46,40.48,46800
2010-01-07 14:00:00,40.49,40.51,40.34,40.34,66902
2010-01-07 14:15:00,40.35,40.45,40.31,40.45,57066
2010-01-07 14:30:00,40.45,40.47,40.37,40.41,52713
2010-01-07 14:45:00,40.41,40.515,40.41,40.43,57817
2010-01-07 15:00:00,40.4202,40.49,40.415,40.46,39741
2010-01-07 15:15:00,40.45,40.49,40.36,40.48,62044
2010-01-07 15:30:00,40.48,40.52,40.43,40.45,63708
2010-01-07 15:45:00,40.45,40.46,40.36,40.45,79113
2010-01-07 16:00:00,40.445,40.45,40.32,40.38,107788
2010-01-08 09:45:00,40.32,40.47,40.2,40.215,19520
2010-01-08 10:00:00,40.21,40.43,40.19,40.4,46731
2010-01-08 10:15:00,40.4,40.61,40.38,40.54,66047
2010-01-08 10:30:00,40.54,40.61,40.53,40.59,39735
2010-01-08 10:45:00,40.58,40.62,40.52,40.52,33246
2010-01-08 11:00:00,40.52,40.54,40.4,40.52,15194
2010-01-08 11:15:00,40.53,40.53,40.41,40.42,30223
2010-01-08 11:30:00,40.41,40.58,40.4,40.46,61594
2010-01-08 11:45:00,40.43,40.43,40.27,40.3,54625
2010-01-08 12:00:00,40.31,40.37,40.28,40.32,22737
2010-01-08 12:15:00,40.3,40.33,40.28,40.32,39814
2010-01-08 12:30:00,40.32,40.34,40.23,40.255,51884
2010-01-08 12:45:00,40.26,40.3,40.22,40.22,27200
2010-01-08 13:00:00,40.22,40.22,40.13,40.15,50322
2010-01-08 13:15:00,40.15,40.16,40.13,40.13,52925
2010-01-08 13:30:00,40.13,40.14,40.03,40.05,62862
2010-01-08 13:45:00,40.05,40.18,40.05,40.150999999999996,82270
2010-01-08 14:00:00,40.16,40.22,40.13,40.135,45019
2010-01-08 14:15:00,40.13,40.21,40.13,40.16,52875
2010-01-08 14:30:00,40.15,40.17,40.1,40.165,42600
2010-01-08 14:45:00,40.165,40.17,39.99,40.06,84109
2010-01-08 15:00:00,40.06,40.08,39.9,39.91,94616
2010-01-08 15:15:00,39.9,39.92,39.78,39.81,99065
2010-01-08 15:30:00,39.8,39.92,39.8,39.87,97944
2010-01-08 15:45:00,39.87,39.98,39.85,39.94,174942
2010-01-08 16:00:00,39.94,39.94,39.85,39.9,229995
2010-01-11 09:45:00,40.88,41.0,40.26,40.45,343349
2010-01-11 10:00:00,40.45,40.62,40.33,40.53,135791
2010-01-11 10:15:00,40.5101,40.61,40.42,40.55,118422
2010-01-11 10:30:00,40.54,40.64,40.52,40.55,109255
2010-01-11 10:45:00,40.56,40.68,40.52,40.66,63272
2010-01-11 11:00:00,40.66,40.8,40.65,40.73,140517
2010-01-11 11:15:00,40.7275,40.74,40.57,40.57,93046
2010-01-11 11:30:00,40.56,40.64,40.56,40.61,69733
2010-01-11 11:45:00,40.61,40.62,40.35,40.355,118597
2010-01-11 12:00:00,40.37,40.49,40.32,40.49,38383
2010-01-11 12:15:00,40.49,40.56,40.42,40.425,44240
2010-01-11 12:30:00,40.42,40.43,40.38,40.41,24938
2010-01-11 12:45:00,40.42,40.42,40.39,40.395,23320
2010-01-11 13:00:00,40.4,40.43,40.35,40.415,48219
2010-01-11 13:15:00,40.42,40.44,40.39,40.43,55665
2010-01-11 13:30:00,40.44,40.62,40.43,40.57,48900
2010-01-11 13:45:00,40.57,40.691,40.55,40.64,42564
2010-01-11 14:00:00,40.64,40.7485,40.64,40.71,35654
2010-01-11 14:15:00,40.71,40.75,40.66,40.75,38375
2010-01-11 14:30:00,40.76,40.86,40.76,40.84,43506
2010-01-11 14:45:00,40.84,40.84,40.81,40.81,122826
2010-01-11 15:00:00,40.81,40.81,40.64,40.64,59188
2010-01-11 15:15:00,40.64,40.69,40.62,40.675,110595
2010-01-11 15:30:00,40.67,40.69,40.58,40.65,110251
2010-01-11 15:45:00,40.65,40.71,40.62,40.66,153706
2010-01-11 16:00:00,40.66,40.72,40.61,40.66,389474
2010-01-12 09:45:00,40.44,40.65,40.43,40.52,33546
2010-01-12 10:00:00,40.52,40.63,40.44,40.57,33421
2010-01-12 10:15:00,40.57,40.62,40.54,40.56,42721
2010-01-12 10:30:00,40.56,40.675,40.54,40.66,71174
2010-01-12 10:45:00,40.66,40.67,40.46,40.5,62104
2010-01-12 11:00:00,40.5,40.52,40.34,40.37,49923
2010-01-12 11:15:00,40.36,40.41,40.34,40.35,33450
2010-01-12 11:30:00,40.34,40.46,40.33,40.43,35264
2010-01-12 11:45:00,40.43,40.49,40.35,40.37,41944
2010-01-12 12:00:00,40.37,40.38,40.27,40.3,45872
2010-01-12 12:15:00,40.3,40.35,40.2,40.31,56045
2010-01-12 12:30:00,40.31,40.35,40.23,40.2625,114433
2010-01-12 12:45:00,40.27,40.27,40.11,40.19,82409
2010-01-12 13:00:00,40.19,40.25,40.06,40.14,46751
2010-01-12 13:15:00,40.15,40.18,40.07,40.17,30907
2010-01-12 13:30:00,40.16,40.16,40.07,40.15,29850
2010-01-12 13:45:00,40.15,40.16,40.05,40.05,32466
2010-01-12 14:00:00,40.05,40.25,40.04,40.24,31578
2010-01-12 14:15:00,40.23,40.27,40.16,40.25,38125
2010-01-12 14:30:00,40.26,40.36,40.25,40.32,66357
2010-01-12 14:45:00,40.32,40.39,40.24,40.28,138990
2010-01-12 15:00:00,40.275,40.31,40.26,40.28,122537
2010-01-12 15:15:00,40.28,40.29,40.19,40.22,121749
2010-01-12 15:30:00,40.22,40.26,40.18,40.23,56750
2010-01-12 15:45:00,40.23,40.23,40.0,40.02,125411
2010-01-12 16:00:00,40.02,40.16,40.0,40.16,213889
2010-01-13 09:45:00,40.4,40.67,40.28,40.585,95067
2010-01-13 10:00:00,40.62,40.7,40.515,40.56,66557
2010-01-13 10:15:00,40.56,40.63,40.4,40.47,65492
2010-01-13 10:30:00,40.49,40.492,40.43,40.492,46095
2010-01-13 10:45:00,40.49,40.495,40.4,40.48,26201
2010-01-13 11:00:00,40.47,40.54,40.39,40.51,25820
2010-01-13 11:15:00,40.48,40.5,40.3,40.35,21770
2010-01-13 11:30:00,40.34,40.44,40.27,40.34,28814
2010-01-13 11:45:00,40.37,40.43,40.37,40.4,23062
2010-01-13 12:00:00,40.39,40.42,40.355,40.38,11524
2010-01-13 12:15:00,40.37,40.54,40.36,40.51,14536
2010-01-13 12:30:00,40.52,40.7,40.5,40.68,26551
2010-01-13 12:45:00,40.68,40.72,40.64,40.64,30250
2010-01-13 13:00:00,40.64,40.72,40.61,40.69,42376
2010-01-13 13:15:00,40.68,40.69,40.6,40.65,15900
2010-01-13 13:30:00,40.64,40.7,40.58,40.7,64215
2010-01-13 13:45:00,40.72,40.72,40.69,40.7,24121
2010-01-13 14:00:00,40.7,40.78,40.66,40.77,54583
2010-01-13 14:15:00,40.77,40.86,40.74,40.76,64284
2010-01-13 14:30:00,40.77,40.83,40.76,40.83,27063
2010-01-13 14:45:00,40.82,40.91,40.79,40.89,46928
2010-01-13 15:00:00,40.88,40.95,40.85,40.9,37558
2010-01-13 15:15:00,40.9,40.91,40.76,40.78,25622
2010-01-13 15:30:00,40.78,40.87,40.73,40.85,43845
2010-01-13 15:45:00,40.85,40.94,40.76,40.77,79668
2010-01-13 16:00:00,40.76,40.84,40.76,40.84,144460
2010-01-14 09:45:00,40.63,41.28,40.56,41.0,108833
2010-01-14 10:00:00,40.98,41.56,40.98,41.55,245593
2010-01-14 10:15:00,41.55,41.67,41.46,41.53,91580
2010-01-14 10:30:00,41.535,41.535,41.28,41.28,63800
2010-01-14 10:45:00,41.28,41.34,41.15,41.15,66180
2010-01-14 11:00:00,41.155,41.26,40.99,40.99,95516
2010-01-14 11:15:00,41.0,41.14,40.99,41.1301,36753
2010-01-14 11:30:00,41.14,41.18,41.02,41.08,109178
2010-01-14 11:45:00,41.09,41.34,41.08,41.32,66777
2010-01-14 12:00:00,41.31,41.315,41.18,41.19,31233
2010-01-14 12:15:00,41.19,41.28,41.19,41.22,14263
2010-01-14 12:30:00,41.22,41.26,41.18,41.24,18848
2010-01-14 12:45:00,41.24,41.3,41.205,41.21,21947
2010-01-14 13:00:00,41.21,41.25,41.15,41.17,23406
2010-01-14 13:15:00,41.17,41.18,41.1,41.1,29195
2010-01-14 13:30:00,41.1,41.12,41.1,41.1171,14870
2010-01-14 13:45:00,41.12,41.22,41.12,41.16,19350
2010-01-14 14:00:00,41.1699,41.25,41.16,41.18,23329
2010-01-14 14:15:00,41.17,41.26,41.17,41.21,23526
2010-01-14 14:30:00,41.21,41.3,41.21,41.3,23540
2010-01-14 14:45:00,41.3,41.35,41.27,41.31,40296
2010-01-14 15:00:00,41.3,41.34,41.29,41.32,26503
2010-01-14 15:15:00,41.32,41.36,41.28,41.29,69984
2010-01-14 15:30:00,41.3,41.4,41.27,41.385,119351
2010-01-14 15:45:00,41.38,41.4,41.27,41.285,138005
2010-01-14 16:00:00,41.285,41.31,41.26,41.27,129636
2010-01-15 09:45:00,41.33,41.5,41.33,41.38,177750
2010-01-15 10:00:00,41.37,41.47,41.2,41.47,75986
2010-01-15 10:15:00,41.47,41.56,41.39,41.45,150939
2010-01-15 10:30:00,41.45,41.45,41.2,41.2195,52125
2010-01-15 10:45:00,41.21,41.28,41.05,41.17,47731
2010-01-15 11:00:00,41.16,41.27,41.1101,41.16,13135
2010-01-15 11:15:00,41.15,41.17,41.11,41.14,25515
2010-01-15 11:30:00,41.12,41.148,41.01,41.01,21815
2010-01-15 11:45:00,41.02,41.02,40.97,41.0,19947
2010-01-15 12:00:00,41.0,41.01,40.84,40.89,13600
2010-01-15 12:15:00,40.87,40.93,40.87,40.89,9225
2010-01-15 12:30:00,40.89,40.89,40.69,40.69,14722
2010-01-15 12:45:00,40.69,40.79,40.68,40.73,32185
2010-01-15 13:00:00,40.75,40.92,40.74,40.9,21986
2010-01-15 13:15:00,40.91,40.91,40.78,40.79,15000
2010-01-15 13:30:00,40.79,40.96,40.79,40.93,50407
2010-01-15 13:45:00,40.92,40.96,40.9,40.93,36001
2010-01-15 14:00:00,40.94,41.04,40.89,40.94,46743
2010-01-15 14:15:00,40.94,41.03,40.94,40.99,37661
2010-01-15 14:30:00,41.0,41.0,40.88,40.9,16765
2010-01-15 14:45:00,40.88,40.92,40.87,40.89,18300
2010-01-15 15:00:00,40.9,40.98,40.89,40.95,25876
2010-01-15 15:15:00,40.96,41.085,40.95,41.05,36561
2010-01-15 15:30:00,41.05,41.095,41.01,41.02,51980
2010-01-15 15:45:00,41.03,41.04,40.97,40.995,76350
2010-01-15 16:00:00,40.98,41.03,40.95,41.0,126281
2010-01-19 09:45:00,40.89,40.99,40.62,40.74,71302
2010-01-19 10:00:00,40.72,40.82,40.59,40.61,73629
2010-01-19 10:15:00,40.64,40.855,40.64,40.8,69428
2010-01-19 10:30:00,40.8,40.98,40.72,40.97,157800
2010-01-19 10:45:00,40.99,41.23,40.97,41.22,45526
2010-01-19 11:00:00,41.19,41.26,41.16,41.2,25814
2010-01-19 11:15:00,41.19,41.21,41.15,41.19,22029
2010-01-19 11:30:00,41.19,41.19,41.04,41.1,31036
2010-01-19 11:45:00,41.1,41.12,41.05,41.07,23000
2010-01-19 12:00:00,41.08,41.11,41.02,41.09,20300
2010-01-19 12:15:00,41.1,41.24,41.1,41.24,28048
2010-01-19 12:30:00,41.25,41.3,41.19,41.27,30100
2010-01-19 12:45:00,41.28,41.29,41.17,41.17,18676
2010-01-19 13:00:00,41.16,41.17,41.09,41.14,37970
2010-01-19 13:15:00,41.12,41.12,41.03,41.06,48259
2010-01-19 13:30:00,41.07,41.08,40.945,41.01,144312
2010-01-19 13:45:00,41.03,41.04,40.97,40.981,31970
2010-01-19 14:00:00,40.98,41.04,40.96,41.04,43000
2010-01-19 14:15:00,41.04,41.11,41.02,41.065,32456
2010-01-19 14:30:00,41.07,41.12,41.03,41.11,13663
2010-01-19 14:45:00,41.11,41.12,41.04,41.11,19908
2010-01-19 15:00:00,41.1,41.1,41.015,41.04,44005
2010-01-19 15:15:00,41.04,41.06,40.98,41.01,47983
2010-01-19 15:30:00,41.0,41.08,40.92,41.06,68052
2010-01-19 15:45:00,41.06,41.09,40.92,40.95,95205
2010-01-19 16:00:00,40.94,41.04,40.94,41.01,182350
2010-01-20 09:45:00,40.66,40.66,40.28,40.28,68659
2010-01-20 10:00:00,40.28,40.54,40.21,40.36,56055
2010-01-20 10:15:00,40.33,40.45,40.09,40.09,48430
2010-01-20 10:30:00,40.1,40.1,39.8,39.846,74719
2010-01-20 10:45:00,39.83,40.03,39.79,39.97,63501
2010-01-20 11:00:00,39.97,40.0,39.76,39.77,92849
2010-01-20 11:15:00,39.76,39.78,39.6,39.73,66901
2010-01-20 11:30:00,39.73,39.81,39.68,39.81,76595
2010-01-20 11:45:00,39.81,39.86,39.79,39.84,40786
2010-01-20 12:00:00,39.85,39.88,39.82,39.84,36551
2010-01-20 12:15:00,39.83,39.9,39.83,39.87,32920
2010-01-20 12:30:00,39.87,39.8701,39.75,39.8,29582
2010-01-20 12:45:00,39.78,39.8,39.719,39.72,24097
2010-01-20 13:00:00,39.73,39.82,39.72,39.815,70922
2010-01-20 13:15:00,39.82,39.84,39.79,39.82,41755
2010-01-20 13:30:00,39.82,39.85,39.77,39.84,43989
2010-01-20 13:45:00,39.84,39.965,39.84,39.95,42609
2010-01-20 14:00:00,39.95,40.04,39.95,40.0,24460
2010-01-20 14:15:00,40.0,40.02,39.96,39.985,22571
2010-01-20 14:30:00,39.98,40.0,39.95,39.98,26160
2010-01-20 14:45:00,39.98,40.06,39.95,39.98,25761
2010-01-20 15:00:00,39.98,40.04,39.97,40.04,41149
2010-01-20 15:15:00,40.04,40.08,40.0,40.07,53235
2010-01-20 15:30:00,40.07,40.08,39.94,40.0,92231
2010-01-20 15:45:00,40.0,40.14,39.98,40.129,72944
2010-01-20 16:00:00,40.12,40.23,40.12,40.2,214121
2010-01-21 09:45:00,40.16,40.35,39.99,40.11,83479
2010-01-21 10:00:00,40.13,40.18,39.84,39.95,177426
2010-01-21 10:15:00,39.93,40.12,39.83,40.09,232232
2010-01-21 10:30:00,40.09,40.27,39.81,39.82,135948
2010-01-21 10:45:00,39.81,39.99,39.74,39.99,117778
2010-01-21 11:00:00,39.97,39.98,39.77,39.83,94273
2010-01-21 11:15:00,39.82,39.9,39.69,39.75,80321
2010-01-21 11:30:00,39.76,39.76,39.5,39.51,129941
2010-01-21 11:45:00,39.5,39.55,39.22,39.23,109002
2010-01-21 12:00:00,39.22,39.56,39.19,39.51,207902
2010-01-21 12:15:00,39.52,39.61,39.38,39.38,163685
2010-01-21 12:30:00,39.39,39.4,39.32,39.38,69434
2010-01-21 12:45:00,39.38,39.47,39.37,39.38,106924
2010-01-21 13:00:00,39.39,39.4382,39.33,39.39,78783
2010-01-21 13:15:00,39.4,39.45,39.28,39.35,89824
2010-01-21 13:30:00,39.36,39.38,39.215,39.26,65333
