Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,5.5,5.59,5.48,5.59,274949
2010-01-04 10:00:00,5.59,5.62,5.56,5.58,417612
2010-01-04 10:15:00,5.58,5.58,5.53,5.56,479758
2010-01-04 10:30:00,5.56,5.58,5.48,5.51,427840
2010-01-04 10:45:00,5.51,5.5301,5.5,5.53,289446
2010-01-04 11:00:00,5.53,5.56,5.53,5.55,301854
2010-01-04 11:15:00,5.55,5.61,5.54,5.595,293472
2010-01-04 11:30:00,5.61,5.63,5.6,5.625,129228
2010-01-04 11:45:00,5.63,5.7,5.625,5.7,250556
2010-01-04 12:00:00,5.7,5.73,5.68,5.73,200607
2010-01-04 12:15:00,5.73,5.74,5.66,5.66,148985
2010-01-04 12:30:00,5.66,5.67,5.65,5.65,43422
2010-01-04 12:45:00,5.66,5.685,5.645,5.66,172951
2010-01-04 13:00:00,5.665,5.67,5.63,5.63,77358
2010-01-04 13:15:00,5.635,5.64,5.62,5.63,62180
2010-01-04 13:30:00,5.6225,5.63,5.62,5.63,33672
2010-01-04 13:45:00,5.62,5.64,5.62,5.62,59713
2010-01-04 14:00:00,5.62,5.63,5.62,5.625,43835
2010-01-04 14:15:00,5.62,5.63,5.62,5.62,45530
2010-01-04 14:30:00,5.62,5.63,5.6,5.62,99924
2010-01-04 14:45:00,5.62,5.7,5.62,5.7,335900
2010-01-04 15:00:00,5.69,5.73,5.69,5.73,187938
2010-01-04 15:15:00,5.72,5.74,5.69,5.73,335700
2010-01-04 15:30:00,5.74,5.75,5.72,5.73,237667
2010-01-04 15:45:00,5.72,5.73,5.67,5.67,325593
2010-01-04 16:00:00,5.68,5.76,5.67,5.76,1093072
2010-01-05 09:45:00,5.74,5.83,5.74,5.78,407880
2010-01-05 10:00:00,5.78,5.8,5.74,5.74,283661
2010-01-05 10:15:00,5.74,5.78,5.73,5.76,418392
2010-01-05 10:30:00,5.76,5.79,5.75,5.76,209997
2010-01-05 10:45:00,5.76,5.78,5.74,5.77,197117
2010-01-05 11:00:00,5.77,5.775,5.7,5.71,342399
2010-01-05 11:15:00,5.71,5.72,5.67,5.68,227354
2010-01-05 11:30:00,5.68,5.68,5.65,5.65,182118
2010-01-05 11:45:00,5.6525,5.67,5.65,5.66,230528
2010-01-05 12:00:00,5.665,5.74,5.66,5.74,377169
2010-01-05 12:15:00,5.74,5.83,5.73,5.8,398593
2010-01-05 12:30:00,5.8,5.81,5.75,5.75,208406
2010-01-05 12:45:00,5.75,5.77,5.72,5.72,238675
2010-01-05 13:00:00,5.73,5.73,5.7,5.72,129210
2010-01-05 13:15:00,5.73,5.73,5.69,5.7001,235749
2010-01-05 13:30:00,5.71,5.71,5.68,5.68,97528
2010-01-05 13:45:00,5.6801,5.74,5.68,5.72,189501
2010-01-05 14:00:00,5.72,5.73,5.69,5.695,181077
2010-01-05 14:15:00,5.695,5.7,5.68,5.69,306890
2010-01-05 14:30:00,5.6825,5.77,5.68,5.76,523811
2010-01-05 14:45:00,5.765,5.77,5.75,5.77,97250
2010-01-05 15:00:00,5.77,5.82,5.77,5.82,212376
2010-01-05 15:15:00,5.81,5.88,5.81,5.872999999999999,271683
2010-01-05 15:30:00,5.87,5.91,5.87,5.9,262871
2010-01-05 15:45:00,5.905,5.97,5.88,5.96,710799
2010-01-05 16:00:00,5.96,5.99,5.95,5.96,1140983
2010-01-06 09:45:00,5.97,5.97,5.9,5.91,226876
2010-01-06 10:00:00,5.91,6.03,5.91,5.97,674488
2010-01-06 10:15:00,5.97,6.05,5.96,6.01,403964
2010-01-06 10:30:00,6.01,6.08,6.01,6.06,326702
2010-01-06 10:45:00,6.06,6.11,6.055,6.1,335773
2010-01-06 11:00:00,6.11,6.17,6.1,6.15,542665
2010-01-06 11:15:00,6.14,6.17,6.12,6.12,234314
2010-01-06 11:30:00,6.12,6.15,6.11,6.13,252210
2010-01-06 11:45:00,6.13,6.2,6.13,6.2,350630
2010-01-06 12:00:00,6.2,6.215,6.1901,6.205,280829
2010-01-06 12:15:00,6.2001,6.21,6.19,6.2001,207765
2010-01-06 12:30:00,6.202999999999999,6.21,6.17,6.19,275105
2010-01-06 12:45:00,6.19,6.19,6.13,6.15,252203
2010-01-06 13:00:00,6.14,6.15,6.14,6.1435,143261
2010-01-06 13:15:00,6.1425,6.15,6.14,6.15,111950
2010-01-06 13:30:00,6.14,6.15,6.12,6.125,215785
2010-01-06 13:45:00,6.13,6.2025,6.12,6.2,505920
2010-01-06 14:00:00,6.21,6.31,6.2,6.29,739251
2010-01-06 14:15:00,6.3,6.335,6.27,6.3,538567
2010-01-06 14:30:00,6.3,6.3125,6.24,6.25,415746
2010-01-06 14:45:00,6.25,6.26,6.22,6.26,442324
2010-01-06 15:00:00,6.25,6.26,6.245,6.25,290690
2010-01-06 15:15:00,6.25,6.26,6.2211,6.245,400722
2010-01-06 15:30:00,6.25,6.31,6.22,6.31,732413
2010-01-06 15:45:00,6.31,6.32,6.23,6.24,840442
2010-01-06 16:00:00,6.23,6.24,6.19,6.21,1688432
2010-01-07 09:45:00,6.19,6.27,6.14,6.22,483265
2010-01-07 10:00:00,6.21,6.27,6.2,6.2,578507
2010-01-07 10:15:00,6.21,6.24,6.19,6.235,339610
2010-01-07 10:30:00,6.23,6.28,6.22,6.26,390870
2010-01-07 10:45:00,6.27,6.32,6.26,6.307,560537
2010-01-07 11:00:00,6.31,6.39,6.3,6.39,755620
2010-01-07 11:15:00,6.39,6.47,6.38,6.4218,1135546
2010-01-07 11:30:00,6.425,6.44,6.36,6.3995,2097463
2010-01-07 11:45:00,6.4,6.43,6.365,6.42,727138
2010-01-07 12:00:00,6.42,6.42,6.39,6.4,458917
2010-01-07 12:15:00,6.4,6.415,6.4,6.405,267154
2010-01-07 12:30:00,6.405,6.55,6.405,6.48,675526
2010-01-07 12:45:00,6.47,6.71,6.45,6.62,1580336
2010-01-07 13:00:00,6.6299,6.76,6.62,6.7301,1394641
2010-01-07 13:15:00,6.73,6.74,6.6,6.65,803370
2010-01-07 13:30:00,6.65,6.71,6.64,6.6599,461066
2010-01-07 13:45:00,6.65,6.73,6.65,6.72,294864
2010-01-07 14:00:00,6.73,6.89,6.71,6.84,1198385
2010-01-07 14:15:00,6.8407,6.85,6.77,6.79,956330
2010-01-07 14:30:00,6.79,6.86,6.77,6.86,1000457
2010-01-07 14:45:00,6.8524,6.95,6.84,6.867000000000001,835756
2010-01-07 15:00:00,6.87,6.925,6.76,6.78,1066039
2010-01-07 15:15:00,6.78,6.78,6.67,6.73,824120
2010-01-07 15:30:00,6.72,6.83,6.695,6.83,718091
2010-01-07 15:45:00,6.84,6.85,6.79,6.83,433607
2010-01-07 16:00:00,6.83,6.84,6.71,6.75,1525819
2010-01-08 09:45:00,6.78,6.88,6.71,6.85,736787
2010-01-08 10:00:00,6.85,6.95,6.82,6.91,954637
2010-01-08 10:15:00,6.91,7.01,6.9,6.9,996805
2010-01-08 10:30:00,6.9,6.92,6.87,6.89,347521
2010-01-08 10:45:00,6.89,6.89,6.82,6.83,508991
2010-01-08 11:00:00,6.84,6.85,6.77,6.822,606353
2010-01-08 11:15:00,6.825,6.84,6.79,6.8,154565
2010-01-08 11:30:00,6.79,6.81,6.71,6.73,371228
2010-01-08 11:45:00,6.7379999999999995,6.74,6.65,6.66,522804
2010-01-08 12:00:00,6.66,6.72,6.64,6.675,335408
2010-01-08 12:15:00,6.67,6.73,6.67,6.72,108826
2010-01-08 12:30:00,6.73,6.77,6.71,6.77,166416
2010-01-08 12:45:00,6.77,6.84,6.76,6.81,452067
