Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,47.38,47.81,47.32,47.81,301132
2010-01-04 10:00:00,47.82,48.09,47.78,48.07,366943
2010-01-04 10:15:00,48.06,48.28,47.99,48.23,387517
2010-01-04 10:30:00,48.24,48.24,48.07,48.14,242765
2010-01-04 10:45:00,48.15,48.17,47.98,48.05,206363
2010-01-04 11:00:00,48.06,48.08,47.94,47.985,176076
2010-01-04 11:15:00,47.99,48.05,47.985,48.0,99696
2010-01-04 11:30:00,48.0,48.04,47.93,48.03,104837
2010-01-04 11:45:00,48.04,48.12,47.995,48.1,113905
2010-01-04 12:00:00,48.1,48.2,48.05,48.08,146906
2010-01-04 12:15:00,48.08,48.0982,47.99,48.0,121842
2010-01-04 12:30:00,48.0,48.05,47.98,48.0016,83622
2010-01-04 12:45:00,48.0,48.05,47.95,48.0,148725
2010-01-04 13:00:00,48.0,48.04,47.99,48.01,127861
2010-01-04 13:15:00,48.0,48.01,47.902,47.92,115346
2010-01-04 13:30:00,47.9119,48.04,47.9,48.02,105047
2010-01-04 13:45:00,48.02,48.05,47.99,48.04,96652
2010-01-04 14:00:00,48.03,48.04,47.926,47.93,125167
2010-01-04 14:15:00,47.92,47.96,47.7601,47.7601,79498
2010-01-04 14:30:00,47.76,47.83,47.74,47.76,126494
2010-01-04 14:45:00,47.755,47.82,47.73,47.78,114454
2010-01-04 15:00:00,47.79,47.79,47.69,47.69,81730
2010-01-04 15:15:00,47.69,48.01,47.65,47.99,297301
2010-01-04 15:30:00,48.0,48.05,47.92,47.92,190401
2010-01-04 15:45:00,47.91,47.98,47.795,47.8,212066
2010-01-04 16:00:00,47.8,47.83,47.71,47.8199,600314
2010-01-05 09:45:00,47.77,48.12,47.77,48.02,168984
2010-01-05 10:00:00,48.01,48.1,47.8,47.81,182559
2010-01-05 10:15:00,47.82,48.11,47.77,48.11,166671
2010-01-05 10:30:00,48.11,48.19,48.04,48.13,88717
2010-01-05 10:45:00,48.12,48.16,47.99,48.14,122986
2010-01-05 11:00:00,48.13,48.2,48.051,48.2,91491
2010-01-05 11:15:00,48.2,48.26,48.0,48.01,92747
2010-01-05 11:30:00,48.01,48.03,47.7505,47.7505,144248
2010-01-05 11:45:00,47.7501,47.7501,47.39,47.4132,182050
2010-01-05 12:00:00,47.43,47.545,47.42,47.515,66422
2010-01-05 12:15:00,47.52,47.72,47.52,47.72,98250
2010-01-05 12:30:00,47.71,47.88,47.71,47.8,81223
2010-01-05 12:45:00,47.812,47.85,47.77,47.8225,76097
2010-01-05 13:00:00,47.82,47.98,47.72,47.97,146411
2010-01-05 13:15:00,47.97,48.02,47.91,47.93,174450
2010-01-05 13:30:00,47.925,48.01,47.83,47.928999999999995,103116
2010-01-05 13:45:00,47.93,47.98,47.81,47.97,106038
2010-01-05 14:00:00,47.98,47.98,47.87,47.95,65575
2010-01-05 14:15:00,47.9555,48.05,47.9,47.9,93732
2010-01-05 14:30:00,47.9009,47.99,47.8,47.96,89078
2010-01-05 14:45:00,47.96,47.96,47.89,47.95,73644
2010-01-05 15:00:00,47.96,48.035,47.95,47.9875,129571
2010-01-05 15:15:00,47.99,48.04,47.76,48.0,286187
2010-01-05 15:30:00,47.9939,48.11,47.99,48.06100000000001,153025
2010-01-05 15:45:00,48.07,48.12,48.0,48.01,149533
2010-01-05 16:00:00,48.02,48.13,47.99,48.05,318674
2010-01-06 09:45:00,48.05,48.6,48.05,48.53,263160
2010-01-06 10:00:00,48.54,48.63,48.41,48.465,123412
2010-01-06 10:15:00,48.46,48.83,48.45,48.81,187603
2010-01-06 10:30:00,48.8,48.84,48.61,48.72,138997
2010-01-06 10:45:00,48.69,48.72,48.5,48.64,170905
2010-01-06 11:00:00,48.64,48.71,48.61,48.7,99439
2010-01-06 11:15:00,48.7,48.8,48.57,48.65,129069
2010-01-06 11:30:00,48.64,48.87,48.64,48.785,167890
2010-01-06 11:45:00,48.7887,49.1,48.757,49.08,227235
