Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,53.02,53.02,52.6,53.02,36155
2010-01-04 10:00:00,53.04,53.24,52.97,53.04,33700
2010-01-04 10:15:00,53.08,53.09,52.93,53.02,25754
2010-01-04 10:30:00,53.05,53.05,52.93,52.965,36484
2010-01-04 10:45:00,52.965,53.0,52.86,52.9,26312
2010-01-04 11:00:00,52.9,52.96,52.82,52.82,29456
2010-01-04 11:15:00,52.8425,52.93,52.81,52.87,17506
2010-01-04 11:30:00,52.89,52.93,52.73,52.78,48713
2010-01-04 11:45:00,52.85,52.89,52.74,52.74,27380
2010-01-04 12:00:00,52.74,52.76,52.67,52.7,14930
2010-01-04 12:15:00,52.7,52.7,52.64,52.69,17064
2010-01-04 12:30:00,52.7,52.72,52.62,52.62,17165
2010-01-04 12:45:00,52.62,52.62,52.5,52.51,40364
2010-01-04 13:00:00,52.51,52.56,52.51,52.51,13313
2010-01-04 13:15:00,52.51,52.52,52.45,52.48,23487
2010-01-04 13:30:00,52.51,52.54,52.45,52.49,20508
2010-01-04 13:45:00,52.5,52.5,52.47,52.48,13040
2010-01-04 14:00:00,52.4775,52.48,52.38,52.42,24867
2010-01-04 14:15:00,52.43,52.5,52.42,52.49,10439
2010-01-04 14:30:00,52.5,52.58,52.48,52.48,20425
2010-01-04 14:45:00,52.5,52.57,52.48,52.53,19084
2010-01-04 15:00:00,52.54,52.55,52.48,52.48,21965
2010-01-04 15:15:00,52.48,52.5,52.48,52.48,31598
2010-01-04 15:30:00,52.48,52.49,52.46,52.48,34706
2010-01-04 15:45:00,52.4775,52.48,52.38,52.39,67634
2010-01-04 16:00:00,52.4,52.52,52.39,52.52,64018
2010-01-05 09:45:00,52.59,52.59,52.3,52.35,39500
2010-01-05 10:00:00,52.35,52.37,52.09,52.1,38716
2010-01-05 10:15:00,52.1,52.26,51.98,52.26,26928
2010-01-05 10:30:00,52.26,52.34,52.26,52.31,26672
2010-01-05 10:45:00,52.31,52.34,52.27,52.27,34175
2010-01-05 11:00:00,52.28,52.28,52.09,52.15,58914
2010-01-05 11:15:00,52.14,52.23,52.1,52.1075,60193
2010-01-05 11:30:00,52.1,52.11,51.85,51.87,53636
2010-01-05 11:45:00,51.86,51.89,51.8,51.83,42600
2010-01-05 12:00:00,51.8109,51.94,51.8109,51.87,15590
2010-01-05 12:15:00,51.87,51.89,51.81,51.82,27008
2010-01-05 12:30:00,51.82,51.825,51.8,51.8194,24000
2010-01-05 12:45:00,51.81,51.83,51.8,51.83,14250
2010-01-05 13:00:00,51.825,51.83,51.785,51.815,13564
2010-01-05 13:15:00,51.81,51.87,51.79,51.86,33812
2010-01-05 13:30:00,51.85,51.88,51.78,51.84,21777
2010-01-05 13:45:00,51.85,51.88,51.815,51.87,14050
2010-01-05 14:00:00,51.87,51.87,51.77,51.83,19368
2010-01-05 14:15:00,51.82,51.83,51.75,51.75,26928
2010-01-05 14:30:00,51.75,51.755,51.62,51.64,35568
2010-01-05 14:45:00,51.65,51.72,51.64,51.685,23181
2010-01-05 15:00:00,51.685,51.795,51.68,51.795,18085
2010-01-05 15:15:00,51.8,51.8,51.7,51.74,39144
2010-01-05 15:30:00,51.75,51.83,51.705,51.81,48807
2010-01-05 15:45:00,51.81,51.86,51.77,51.83,50982
2010-01-05 16:00:00,51.83,51.87,51.8,51.83,70191
2010-01-06 09:45:00,51.66,51.71,51.43,51.51,24117
2010-01-06 10:00:00,51.5,51.72,51.49,51.71,31748
2010-01-06 10:15:00,51.7,51.74,51.6,51.67,56972
2010-01-06 10:30:00,51.65,51.94,51.64,51.86,42156
2010-01-06 10:45:00,51.82,51.94,51.77,51.85,39271
2010-01-06 11:00:00,51.84,52.02,51.77,52.01,29561
2010-01-06 11:15:00,52.01,52.01,51.98,51.99,28444
2010-01-06 11:30:00,51.99,52.045,51.94,51.97,73869
2010-01-06 11:45:00,51.96,52.06,51.93,52.03,30631
2010-01-06 12:00:00,52.04,52.0675,51.93,51.93,54804
2010-01-06 12:15:00,51.942,51.98,51.85,51.94,62007
2010-01-06 12:30:00,51.945,52.0,51.87,51.8719,43482
2010-01-06 12:45:00,51.87,51.96,51.87,51.94,30910
2010-01-06 13:00:00,51.96,52.05,51.96,52.0,20631
2010-01-06 13:15:00,52.03,52.07,51.99,52.0299,33182
2010-01-06 13:30:00,52.02,52.07,51.99,52.06,20730
2010-01-06 13:45:00,52.06,52.07,51.985,52.0,13374
2010-01-06 14:00:00,52.0,52.01,51.93,51.99,17260
2010-01-06 14:15:00,51.99,52.09,51.99,52.03,21042
2010-01-06 14:30:00,52.03,52.03,51.96,51.98,16300
2010-01-06 14:45:00,51.98,52.16,51.98,52.15,25889
2010-01-06 15:00:00,52.15,52.24,52.12,52.22,26301
2010-01-06 15:15:00,52.21,52.22,52.08,52.195,36699
2010-01-06 15:30:00,52.19,52.22,52.15,52.2,16753
2010-01-06 15:45:00,52.17,52.29,52.15,52.19,56276
2010-01-06 16:00:00,52.2,52.3,52.16,52.3,86317
2010-01-07 09:45:00,51.39,52.24,51.11,52.22,120293
2010-01-07 10:00:00,52.2,52.22,51.73,51.77,176161
2010-01-07 10:15:00,51.78,51.97,51.72,51.72,68925
2010-01-07 10:30:00,51.72,51.88,51.68,51.85,71711
2010-01-07 10:45:00,51.84,51.87,51.71,51.77,69993
2010-01-07 11:00:00,51.77,52.0,51.77,51.88,69349
2010-01-07 11:15:00,51.86,52.1,51.85,51.96,68628
2010-01-07 11:30:00,51.95,52.07,51.88,51.91,29419
2010-01-07 11:45:00,51.9,52.02,51.85,52.02,84514
2010-01-07 12:00:00,52.02,52.07,51.93,52.05,81422
2010-01-07 12:15:00,52.01,52.05,51.94,52.0,36192
2010-01-07 12:30:00,52.0,52.09,51.93,52.01,51964
2010-01-07 12:45:00,52.02,52.03,51.72,51.74,37019
2010-01-07 13:00:00,51.75,51.75,51.54,51.54,41288
2010-01-07 13:15:00,51.56,51.61,51.47,51.55,29001
2010-01-07 13:30:00,51.56,51.59,51.5,51.55,24700
2010-01-07 13:45:00,51.57,51.63,51.56,51.61,12532
2010-01-07 14:00:00,51.6,51.66,51.59,51.59,14936
2010-01-07 14:15:00,51.61,51.76,51.61,51.75,17468
2010-01-07 14:30:00,51.76,51.77,51.695,51.72,15804
2010-01-07 14:45:00,51.72,51.88,51.71,51.88,29000
2010-01-07 15:00:00,51.88,51.91,51.83,51.89,18142
2010-01-07 15:15:00,51.9,51.92,51.74,51.91,26997
2010-01-07 15:30:00,51.916000000000004,52.0,51.87,51.99,23966
2010-01-07 15:45:00,51.99,52.14,51.99,52.13,43216
2010-01-07 16:00:00,52.13,52.16,52.06,52.09,81316
2010-01-08 09:45:00,52.05,52.145,51.88,52.08,47462
2010-01-08 10:00:00,52.07,52.17,51.94,52.09,23580
2010-01-08 10:15:00,52.11,52.11,51.74,51.76,31388
2010-01-08 10:30:00,51.78,51.94,51.74,51.88,13200
2010-01-08 10:45:00,51.89,51.89,51.7,51.75,15771
2010-01-08 11:00:00,51.75,51.88,51.75,51.88,10162
