Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,37.96,38.12,37.88,38.0405,40880
2010-01-04 10:00:00,38.05,38.16,37.81,37.87,23581
2010-01-04 10:15:00,37.88,37.96,37.83,37.88,20704
2010-01-04 10:30:00,37.88,37.9,37.78,37.9,10792
2010-01-04 10:45:00,37.91,38.03,37.9,38.03,15354
2010-01-04 11:00:00,38.03,38.03,37.95,37.95,17990
2010-01-04 11:15:00,37.96,37.97,37.89,37.92,22589
2010-01-04 11:30:00,37.94,37.95,37.88,37.89,18196
2010-01-04 11:45:00,37.88,37.95,37.87,37.92,12658
2010-01-04 12:00:00,37.91,37.919000000000004,37.85,37.8613,33942
2010-01-04 12:15:00,37.87,37.89,37.751,37.79,32701
2010-01-04 12:30:00,37.8,37.8098,37.79,37.802,17705
2010-01-04 12:45:00,37.81,37.86,37.76,37.76,23296
2010-01-04 13:00:00,37.75,37.75,37.7,37.71,20006
2010-01-04 13:15:00,37.72,37.73,37.7,37.71,16839
2010-01-04 13:30:00,37.7,37.74,37.69,37.73,23073
2010-01-04 13:45:00,37.73,37.73,37.69,37.7,12495
2010-01-04 14:00:00,37.7,37.71,37.64,37.64,15965
2010-01-04 14:15:00,37.65,37.65,37.63,37.64,10387
2010-01-04 14:30:00,37.64,37.65,37.61,37.64,17003
2010-01-04 14:45:00,37.6301,37.64,37.61,37.61,23664
2010-01-04 15:00:00,37.61,37.63,37.6,37.6,20468
2010-01-04 15:15:00,37.6,37.63,37.47,37.49,115298
2010-01-04 15:30:00,37.48,37.48,37.39,37.4,75550
2010-01-04 15:45:00,37.409,37.52,37.39,37.52,61199
2010-01-04 16:00:00,37.53,37.59,37.52,37.58,100373
2010-01-05 09:45:00,37.67,37.77,37.61,37.695,37074
2010-01-05 10:00:00,37.71,37.78,37.56,37.56,19045
2010-01-05 10:15:00,37.56,37.63,37.54,37.54,24034
2010-01-05 10:30:00,37.55,37.55,37.405,37.49,43981
2010-01-05 10:45:00,37.45,37.46,37.39,37.4,21897
2010-01-05 11:00:00,37.42,37.43,37.31,37.32,21197
2010-01-05 11:15:00,37.32,37.33,37.21,37.22,43790
2010-01-05 11:30:00,37.228,37.228,37.13,37.16,27325
2010-01-05 11:45:00,37.17,37.17,37.1,37.1125,14517
2010-01-05 12:00:00,37.1101,37.16,37.1,37.1,19962
2010-01-05 12:15:00,37.105,37.11,37.02,37.02,23187
2010-01-05 12:30:00,37.03,37.04,37.0,37.01,17985
2010-01-05 12:45:00,37.015,37.02,36.93,36.93,21377
2010-01-05 13:00:00,36.94,36.94,36.75,36.84,33248
2010-01-05 13:15:00,36.84,36.87,36.82,36.83,25712
2010-01-05 13:30:00,36.85,36.86,36.8,36.83,18199
2010-01-05 13:45:00,36.83,36.86,36.815,36.85,21390
2010-01-05 14:00:00,36.86,36.86,36.81,36.8311,11834
