Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,11.45,11.49,11.32,11.37,229661
2010-01-04 10:00:00,11.37,11.41,11.35,11.36,69095
2010-01-04 10:15:00,11.36,11.4,11.35,11.4,56122
2010-01-04 10:30:00,11.4,11.44,11.39,11.43,64345
2010-01-04 10:45:00,11.435,11.44,11.43,11.44,34900
2010-01-04 11:00:00,11.44,11.47,11.42,11.47,62137
2010-01-04 11:15:00,11.46,11.5,11.46,11.49,62677
2010-01-04 11:30:00,11.4801,11.535,11.48,11.53,50879
2010-01-04 11:45:00,11.53,11.58,11.53,11.56,68733
2010-01-04 12:00:00,11.55,11.57,11.55,11.56,53074
2010-01-04 12:15:00,11.56,11.62,11.555,11.61,94163
2010-01-04 12:30:00,11.61,11.71,11.6,11.68,94031
2010-01-04 12:45:00,11.68,11.69,11.65,11.68,46174
2010-01-04 13:00:00,11.68,11.71,11.67,11.7,98588
2010-01-04 13:15:00,11.69,11.7,11.69,11.69,61244
2010-01-04 13:30:00,11.69,11.72,11.69,11.72,47859
2010-01-04 13:45:00,11.71,11.71,11.63,11.63,67807
2010-01-04 14:00:00,11.64,11.64,11.61,11.62,54307
2010-01-04 14:15:00,11.6199,11.62,11.6,11.6099,27593
2010-01-04 14:30:00,11.61,11.63,11.59,11.6,105982
2010-01-04 14:45:00,11.6099,11.63,11.58,11.59,135276
2010-01-04 15:00:00,11.59,11.61,11.58,11.58,43598
2010-01-04 15:15:00,11.585,11.61,11.58,11.61,42659
2010-01-04 15:30:00,11.6,11.61,11.55,11.55,92918
2010-01-04 15:45:00,11.55,11.555,11.5,11.51,202120
2010-01-04 16:00:00,11.5,11.56,11.49,11.55,314225
2010-01-05 09:45:00,11.57,11.73,11.5,11.59,97272
2010-01-05 10:00:00,11.58,11.635,11.54,11.58,124973
2010-01-05 10:15:00,11.56,11.65,11.53,11.63,98753
2010-01-05 10:30:00,11.64,11.67,11.6001,11.640999999999998,164643
2010-01-05 10:45:00,11.645,11.65,11.58,11.6,56402
2010-01-05 11:00:00,11.61,11.61,11.56,11.56,65366
2010-01-05 11:15:00,11.57,11.57,11.545,11.55,65936
2010-01-05 11:30:00,11.55,11.56,11.49,11.54,208198
2010-01-05 11:45:00,11.54,11.61,11.54,11.6,140635
2010-01-05 12:00:00,11.61,11.64,11.6,11.62,61017
2010-01-05 12:15:00,11.625,11.7,11.62,11.64,78169
2010-01-05 12:30:00,11.64,11.64,11.6,11.63,128831
2010-01-05 12:45:00,11.62,11.66,11.61,11.65,74548
2010-01-05 13:00:00,11.645,11.66,11.615,11.6598,85590
2010-01-05 13:15:00,11.655,11.66,11.65,11.66,152024
2010-01-05 13:30:00,11.655,11.655,11.61,11.635,114253
2010-01-05 13:45:00,11.64,11.64,11.58,11.6,145713
2010-01-05 14:00:00,11.59,11.61,11.545,11.61,93511
2010-01-05 14:15:00,11.615,11.62,11.58,11.59,45738
2010-01-05 14:30:00,11.59,11.59,11.53,11.56,189232
2010-01-05 14:45:00,11.555,11.62,11.55,11.6,96365
2010-01-05 15:00:00,11.6,11.66,11.6,11.66,118753
2010-01-05 15:15:00,11.66,11.66,11.64,11.65,69782
2010-01-05 15:30:00,11.64,11.68,11.64,11.68,153750
2010-01-05 15:45:00,11.675,11.73,11.67,11.71,122774
2010-01-05 16:00:00,11.72,11.72,11.68,11.69,263578
2010-01-06 09:45:00,11.66,11.74,11.62,11.64,72652
2010-01-06 10:00:00,11.64,11.73,11.64,11.7,82279
2010-01-06 10:15:00,11.69,11.72,11.67,11.6998,92092
2010-01-06 10:30:00,11.69,11.69,11.65,11.6705,83938
2010-01-06 10:45:00,11.67,11.67,11.65,11.6595,100284
2010-01-06 11:00:00,11.66,11.67,11.65,11.66,80144
2010-01-06 11:15:00,11.66,11.66,11.65,11.66,51560
2010-01-06 11:30:00,11.65,11.66,11.64,11.66,118098
2010-01-06 11:45:00,11.65,11.76,11.65,11.74,189868
2010-01-06 12:00:00,11.74,11.74,11.66,11.67,105167
2010-01-06 12:15:00,11.66,11.68,11.64,11.66,123948
2010-01-06 12:30:00,11.65,11.67,11.65,11.67,165973
2010-01-06 12:45:00,11.665,11.7,11.66,11.69,63311
2010-01-06 13:00:00,11.69,11.71,11.68,11.69,58536
2010-01-06 13:15:00,11.7,11.71,11.67,11.67,74646
2010-01-06 13:30:00,11.67,11.69,11.66,11.68,56194
2010-01-06 13:45:00,11.68,11.6803,11.65,11.67,64307
2010-01-06 14:00:00,11.665,11.7108,11.66,11.7108,181809
2010-01-06 14:15:00,11.72,11.75,11.715,11.75,79617
2010-01-06 14:30:00,11.75,11.75,11.68,11.71,144845
2010-01-06 14:45:00,11.72,11.73,11.69,11.7,74239
2010-01-06 15:00:00,11.7001,11.72,11.69,11.72,87499
2010-01-06 15:15:00,11.71,11.73,11.71,11.73,82740
2010-01-06 15:30:00,11.7225,11.75,11.71,11.75,115633
2010-01-06 15:45:00,11.74,11.76,11.74,11.74,108505
2010-01-06 16:00:00,11.75,11.76,11.72,11.74,377785
2010-01-07 09:45:00,11.7,11.76,11.57,11.65,218904
2010-01-07 10:00:00,11.65,11.685,11.64,11.66,100881
2010-01-07 10:15:00,11.67,11.69,11.65,11.67,53934
2010-01-07 10:30:00,11.67,11.72,11.65,11.715,72191
2010-01-07 10:45:00,11.71,11.8,11.71,11.8,138415
2010-01-07 11:00:00,11.7905,12.03,11.79,12.03,416296
2010-01-07 11:15:00,12.02,12.04,11.93,11.97,144356
2010-01-07 11:30:00,11.96,12.03,11.94,12.01,104047
2010-01-07 11:45:00,12.02,12.02,11.95,11.96,64478
2010-01-07 12:00:00,11.9599,12.02,11.9599,12.02,39306
2010-01-07 12:15:00,12.02,12.03,11.95,11.96,115370
2010-01-07 12:30:00,11.965,12.03,11.965,12.0,89956
2010-01-07 12:45:00,12.01,12.04,12.0089,12.01,89099
2010-01-07 13:00:00,12.01,12.02,11.98,12.01,62221
2010-01-07 13:15:00,12.01,12.02,11.96,12.0,74328
2010-01-07 13:30:00,12.0,12.02,11.99,12.02,32313
2010-01-07 13:45:00,12.02,12.05,12.01,12.04,70765
2010-01-07 14:00:00,12.04,12.075,12.0102,12.03,147016
2010-01-07 14:15:00,12.02,12.04,11.99,12.0,106124
2010-01-07 14:30:00,12.01,12.06,12.009,12.06,52395
2010-01-07 14:45:00,12.0516,12.155,12.05,12.13,164548
2010-01-07 15:00:00,12.14,12.19,12.1,12.105,226032
2010-01-07 15:15:00,12.1,12.105,12.01,12.04,435781
2010-01-07 15:30:00,12.03,12.09,12.02,12.09,176864
2010-01-07 15:45:00,12.09,12.16,12.08,12.16,306223
2010-01-07 16:00:00,12.16,12.19,12.12,12.14,476803
2010-01-08 09:45:00,12.06,12.08,11.93,12.01,105044
2010-01-08 10:00:00,12.0,12.07,11.99,12.07,50068
2010-01-08 10:15:00,12.06,12.11,12.06,12.08,87057
2010-01-08 10:30:00,12.07,12.12,12.07,12.1,99066
2010-01-08 10:45:00,12.1,12.12,12.08,12.08,134327
2010-01-08 11:00:00,12.08,12.09,12.03,12.04,92788
2010-01-08 11:15:00,12.03,12.05,12.02,12.04,91055
2010-01-08 11:30:00,12.03,12.04,11.94,11.95,106039
2010-01-08 11:45:00,11.95,11.95,11.86,11.9,146282
2010-01-08 12:00:00,11.91,11.93,11.87,11.87,138666
2010-01-08 12:15:00,11.87,11.92,11.87,11.89,83191
2010-01-08 12:30:00,11.88,11.89,11.81,11.823,94381
2010-01-08 12:45:00,11.83,11.83,11.79,11.83,84098
2010-01-08 13:00:00,11.83,11.84,11.76,11.76,113254
2010-01-08 13:15:00,11.76,11.85,11.76,11.85,59208
2010-01-08 13:30:00,11.85,11.85,11.81,11.81,68419
2010-01-08 13:45:00,11.81,11.83,11.75,11.75,132295
2010-01-08 14:00:00,11.75,11.76,11.67,11.68,169724
2010-01-08 14:15:00,11.67,11.71,11.63,11.68,325732
2010-01-08 14:30:00,11.68,11.72,11.63,11.71,177089
2010-01-08 14:45:00,11.72,11.72,11.68,11.69,125620
2010-01-08 15:00:00,11.69,11.71,11.66,11.67,115768
2010-01-08 15:15:00,11.66,11.705,11.66,11.6999,100657
2010-01-08 15:30:00,11.7,11.7,11.67,11.67,137514
2010-01-08 15:45:00,11.68,11.69,11.63,11.63,352271
2010-01-08 16:00:00,11.63,11.65,11.58,11.65,636327
2010-01-11 09:45:00,11.72,11.74,11.61,11.7,137124
2010-01-11 10:00:00,11.69,11.7,11.68,11.68,192737
2010-01-11 10:15:00,11.69,11.69,11.65,11.66,138417
2010-01-11 10:30:00,11.66,11.71,11.66,11.7,93226
2010-01-11 10:45:00,11.7,11.74,11.69,11.7201,81342
2010-01-11 11:00:00,11.71,11.73,11.685,11.695,89650
2010-01-11 11:15:00,11.7,11.7,11.58,11.59,241235
2010-01-11 11:30:00,11.6,11.6,11.56,11.58,314444
2010-01-11 11:45:00,11.585,11.59,11.54,11.55,48678
2010-01-11 12:00:00,11.545,11.58,11.53,11.57,137373
2010-01-11 12:15:00,11.57,11.57,11.52,11.52,127674
2010-01-11 12:30:00,11.52,11.53,11.5,11.525,125495
2010-01-11 12:45:00,11.525,11.58,11.52,11.58,91525
2010-01-11 13:00:00,11.5775,11.58,11.55,11.57,54067
2010-01-11 13:15:00,11.565,11.59,11.54,11.54,126027
2010-01-11 13:30:00,11.545,11.65,11.525,11.63,243305
2010-01-11 13:45:00,11.625,11.64,11.55,11.55,126980
2010-01-11 14:00:00,11.558,11.58,11.515,11.55,279843
2010-01-11 14:15:00,11.55,11.6,11.55,11.6,58569
2010-01-11 14:30:00,11.6,11.61,11.56,11.57,64438
2010-01-11 14:45:00,11.565,11.6,11.56,11.57,101741
2010-01-11 15:00:00,11.56,11.57,11.54,11.56,61698
2010-01-11 15:15:00,11.55,11.6,11.55,11.6,109456
2010-01-11 15:30:00,11.6,11.6,11.525,11.5375,187822
2010-01-11 15:45:00,11.535,11.54,11.47,11.5,317260
2010-01-11 16:00:00,11.49,11.5,11.45,11.47,522441
2010-01-12 09:45:00,11.37,11.42,11.32,11.39,140112
2010-01-12 10:00:00,11.38,11.5601,11.36,11.5601,139878
2010-01-12 10:15:00,11.56,11.61,11.55,11.58,149632
2010-01-12 10:30:00,11.59,11.59,11.55,11.57,150682
2010-01-12 10:45:00,11.57,11.58,11.54,11.56,114211
2010-01-12 11:00:00,11.57,11.57,11.55,11.56,113640
2010-01-12 11:15:00,11.55,11.57,11.55,11.57,71326
2010-01-12 11:30:00,11.57,11.58,11.56,11.575,84301
2010-01-12 11:45:00,11.58,11.58,11.56,11.56,120892
2010-01-12 12:00:00,11.56,11.565,11.55,11.56,47555
2010-01-12 12:15:00,11.552999999999999,11.56,11.52,11.53,114940
2010-01-12 12:30:00,11.52,11.53,11.445,11.45,332279
2010-01-12 12:45:00,11.45,11.49,11.44,11.48,83108
2010-01-12 13:00:00,11.475,11.48,11.465,11.48,53780
2010-01-12 13:15:00,11.48,11.5,11.47,11.47,65876
2010-01-12 13:30:00,11.4701,11.48,11.46,11.46,39579
2010-01-12 13:45:00,11.47,11.5125,11.46,11.48,185288
2010-01-12 14:00:00,11.485,11.57,11.48,11.56,146533
2010-01-12 14:15:00,11.56,11.58,11.54,11.56,78937
2010-01-12 14:30:00,11.56,11.56,11.51,11.54,81997
2010-01-12 14:45:00,11.54,11.54,11.51,11.52,61958
2010-01-12 15:00:00,11.51,11.55,11.51,11.545,94222
2010-01-12 15:15:00,11.55,11.55,11.52,11.54,65321
2010-01-12 15:30:00,11.54,11.54,11.48,11.515,292319
2010-01-12 15:45:00,11.52,11.52,11.44,11.455,248498
2010-01-12 16:00:00,11.45,11.49,11.45,11.47,329547
2010-01-13 09:45:00,11.4,11.55,11.4,11.5,97930
