Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,44.09,44.24,43.88,44.05,47132
2010-01-04 10:00:00,44.07,44.18,43.8,43.89,40807
2010-01-04 10:15:00,43.93,44.01,43.79,43.99,43040
2010-01-04 10:30:00,43.98,44.12,43.945,44.11,59624
2010-01-04 10:45:00,44.145,44.15,44.06,44.145,31177
2010-01-04 11:00:00,44.16,44.19,44.11,44.14,16621
2010-01-04 11:15:00,44.16,44.22,44.15,44.22,22533
2010-01-04 11:30:00,44.22,44.32,44.22,44.29,15880
2010-01-04 11:45:00,44.3,44.45,44.295,44.4176,26548
2010-01-04 12:00:00,44.4,44.49,44.385,44.45,14646
2010-01-04 12:15:00,44.46,44.5,44.41,44.47,32186
2010-01-04 12:30:00,44.47,44.53,44.46,44.52,10789
2010-01-04 12:45:00,44.512,44.54,44.48,44.505,12795
2010-01-04 13:00:00,44.51,44.6,44.505,44.59,19929
2010-01-04 13:15:00,44.59,44.71,44.58,44.67,36928
2010-01-04 13:30:00,44.67,44.8,44.665,44.69,54558
2010-01-04 13:45:00,44.71,44.71,44.58,44.59,10766
2010-01-04 14:00:00,44.58,44.7,44.54,44.5897,31400
2010-01-04 14:15:00,44.5897,44.665,44.57,44.6,24056
2010-01-04 14:30:00,44.58,44.64,44.51,44.62,14777
2010-01-04 14:45:00,44.63,44.69,44.58,44.61,13051
2010-01-04 15:00:00,44.61,44.6796,44.54,44.545,11100
2010-01-04 15:15:00,44.55,44.64,44.54,44.62,21598
2010-01-04 15:30:00,44.6,44.68,44.6,44.6,15867
2010-01-04 15:45:00,44.62,44.71,44.6,44.65,39613
2010-01-04 16:00:00,44.66,44.77,44.644,44.73,67001
2010-01-05 09:45:00,44.64,45.0,44.61,44.82,10318
2010-01-05 10:00:00,44.88,44.9,44.71,44.71,12200
2010-01-05 10:15:00,44.71,45.0,44.69,44.96,14700
2010-01-05 10:30:00,44.97,45.15,44.9,45.11,22450
2010-01-05 10:45:00,45.14,45.3308,45.04,45.3308,15622
2010-01-05 11:00:00,45.31,45.42,45.31,45.33,21981
2010-01-05 11:15:00,45.32,45.33,45.23,45.26,27417
2010-01-05 11:30:00,45.26,45.33,45.15,45.32,18656
2010-01-05 11:45:00,45.31,45.35,45.3,45.35,23208
2010-01-05 12:00:00,45.35,45.35,45.3,45.3,8146
2010-01-05 12:15:00,45.3,45.36,45.28,45.28,10099
2010-01-05 12:30:00,45.26,45.34,45.22,45.31,15830
2010-01-05 12:45:00,45.3,45.44,45.22,45.44,28869
2010-01-05 13:00:00,45.45,45.51,45.43,45.51,21501
2010-01-05 13:15:00,45.5,45.53,45.5,45.515,18446
2010-01-05 13:30:00,45.52,45.53,45.5,45.5095,20585
2010-01-05 13:45:00,45.5,45.62,45.45,45.6,18270
2010-01-05 14:00:00,45.6,45.67,45.54,45.61,17710
2010-01-05 14:15:00,45.61,45.64,45.5,45.5,35765
2010-01-05 14:30:00,45.5025,45.54,45.5,45.5,40897
2010-01-05 14:45:00,45.5,45.52,45.46,45.51,24010
2010-01-05 15:00:00,45.52,45.59,45.49,45.52,28512
2010-01-05 15:15:00,45.54,45.57,45.52,45.55,25878
2010-01-05 15:30:00,45.56,45.63,45.55,45.61,25497
2010-01-05 15:45:00,45.62,45.81,45.62,45.75,29225
2010-01-05 16:00:00,45.75,45.82,45.66,45.73,58275
2010-01-06 09:45:00,45.66,46.0,45.54,45.54,19486
2010-01-06 10:00:00,45.53,45.72,45.52,45.556000000000004,12675
2010-01-06 10:15:00,45.55,45.74,45.47,45.67,16884
2010-01-06 10:30:00,45.68,45.7,45.62,45.68,9411
2010-01-06 10:45:00,45.65,45.75,45.635,45.73,11004
