Date_Time,Open,High,Low,Close,Volume
2010-01-04 09:45:00,44.4,45.26,44.4,45.15,307449
2010-01-04 10:00:00,45.15,45.47,45.15,45.47,186123
2010-01-04 10:15:00,45.48,45.77,45.39,45.76,290444
2010-01-04 10:30:00,45.75,45.79,45.63,45.73,224745
2010-01-04 10:45:00,45.72,45.79,45.66,45.77,126005
2010-01-04 11:00:00,45.78,45.8,45.53,45.55,118363
2010-01-04 11:15:00,45.56,45.59,45.47,45.47,93529
2010-01-04 11:30:00,45.46,45.5,45.39,45.41,74094
2010-01-04 11:45:00,45.41,45.56,45.37,45.515,85928
2010-01-04 12:00:00,45.52,45.56,45.3701,45.38,60761
2010-01-04 12:15:00,45.38,45.38,45.28,45.33,59028
2010-01-04 12:30:00,45.33,45.37,45.281000000000006,45.281000000000006,44320
2010-01-04 12:45:00,45.3,45.315,45.24,45.26,45704
2010-01-04 13:00:00,45.26,45.3,45.22,45.27,34117
2010-01-04 13:15:00,45.26,45.26,45.15,45.16,52314
2010-01-04 13:30:00,45.16,45.21,45.14,45.18,103422
2010-01-04 13:45:00,45.18,45.27,45.15,45.26,73313
2010-01-04 14:00:00,45.26,45.29,45.15,45.22,64342
2010-01-04 14:15:00,45.21,45.28,45.19,45.27,35248
2010-01-04 14:30:00,45.27,45.35,45.27,45.33,40965
2010-01-04 14:45:00,45.33,45.46,45.32,45.45,45561
2010-01-04 15:00:00,45.45,45.48,45.38,45.39,91637
2010-01-04 15:15:00,45.38,45.48,45.375,45.4,106562
2010-01-04 15:30:00,45.39,45.4,45.26,45.27,95718
2010-01-04 15:45:00,45.27,45.29,45.185,45.19,181982
2010-01-04 16:00:00,45.195,45.31,45.18,45.29,265131
2010-01-05 09:45:00,45.35,45.56,45.08,45.08,217607
2010-01-05 10:00:00,45.08,45.33,45.05,45.15,145087
2010-01-05 10:15:00,45.19,45.46,45.05,45.41,162434
2010-01-05 10:30:00,45.4,45.88,45.39,45.8675,171750
2010-01-05 10:45:00,45.8601,46.1,45.855,46.01,305680
2010-01-05 11:00:00,46.005,46.2,45.92,46.187,247546
2010-01-05 11:15:00,46.175,46.33,46.125,46.21,243202
2010-01-05 11:30:00,46.2,46.61,46.1202,46.5,432660
2010-01-05 11:45:00,46.5,46.71,46.4,46.6799,203277
2010-01-05 12:00:00,46.7,46.95,46.68,46.77,201583
2010-01-05 12:15:00,46.7699,46.98,46.69,46.74,194386
2010-01-05 12:30:00,46.75,46.8,46.44,46.44,269493
2010-01-05 12:45:00,46.44,46.68,46.4,46.65,245476
2010-01-05 13:00:00,46.64,46.78,46.58,46.73,198251
2010-01-05 13:15:00,46.73,46.95,46.72,46.84,243715
2010-01-05 13:30:00,46.83,46.98,46.77,46.98,156810
2010-01-05 13:45:00,46.97,47.44,46.95,47.17,344446
2010-01-05 14:00:00,47.18,47.25,46.86,46.895,168977
2010-01-05 14:15:00,46.89,46.99,46.6,46.625,148379
2010-01-05 14:30:00,46.61,46.66,46.53,46.65,156353
2010-01-05 14:45:00,46.65,46.718999999999994,46.61,46.64,94274
2010-01-05 15:00:00,46.6401,46.75,46.63,46.74,99555
2010-01-05 15:15:00,46.74,46.76,46.64,46.7299,154295
2010-01-05 15:30:00,46.72,46.75,46.54,46.5801,176274
2010-01-05 15:45:00,46.59,46.78,46.57,46.58,223103
