Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-20,-0.8944,Airlines,"Consumer, Cyclical",Airlines,2009:Q4
2010-04-21,-1.4165,Airlines,"Consumer, Cyclical",Airlines,2010:Q1
2010-07-21,-0.03,Airlines,"Consumer, Cyclical",Airlines,2010:Q2
2010-10-20,0.39,Airlines,"Consumer, Cyclical",Airlines,2010:Q3
2011-01-19,-0.2366,Airlines,"Consumer, Cyclical",Airlines,2010:Q4
2011-04-20,-1.2495,Airlines,"Consumer, Cyclical",Airlines,2011:Q1
2011-07-20,-1.9713,Airlines,"Consumer, Cyclical",Airlines,2011:Q2
2011-10-19,-0.48,Airlines,"Consumer, Cyclical",Airlines,2011:Q3
2012-02-15,-1.631,Airlines,"Consumer, Cyclical",Airlines,2011:Q4
2012-04-19,-2.2155,Airlines,"Consumer, Cyclical",Airlines,2012:Q1
2012-07-18,-0.0681,Airlines,"Consumer, Cyclical",Airlines,2012:Q2
2012-10-17,-0.0352,Airlines,"Consumer, Cyclical",Airlines,2012:Q3
2013-01-16,2.3729,Airlines,"Consumer, Cyclical",Airlines,2012:Q4
2013-04-18,-0.4588,Airlines,"Consumer, Cyclical",Airlines,2013:Q1
2013-07-18,1.3583,Airlines,"Consumer, Cyclical",Airlines,2013:Q2
2013-10-17,1.5943,Airlines,"Consumer, Cyclical",Airlines,2013:Q3
2014-01-28,3.0191,Airlines,"Consumer, Cyclical",Airlines,2013:Q4
2014-04-24,0.4625,Airlines,"Consumer, Cyclical",Airlines,2014:Q1
2014-07-24,1.4939,Airlines,"Consumer, Cyclical",Airlines,2014:Q2
2014-10-23,1.6541,Airlines,"Consumer, Cyclical",Airlines,2014:Q3
2015-01-27,1.4919,Airlines,"Consumer, Cyclical",Airlines,2014:Q4
2015-04-24,1.5811,Airlines,"Consumer, Cyclical",Airlines,2015:Q1
2015-07-24,2.557,Airlines,"Consumer, Cyclical",Airlines,2015:Q2
2015-10-23,2.7647,Airlines,"Consumer, Cyclical",Airlines,2015:Q3
2016-01-29,1.9928,Airlines,"Consumer, Cyclical",Airlines,2015:Q4
2016-04-22,1.2506,Airlines,"Consumer, Cyclical",Airlines,2016:Q1
2016-07-22,1.796,Airlines,"Consumer, Cyclical",Airlines,2016:Q2
2016-10-20,1.7709,Airlines,"Consumer, Cyclical",Airlines,2016:Q3
