Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-25,0.5243,Computers,Technology,Computers,2010:Q1
2010-04-20,0.4757,Computers,Technology,Computers,2010:Q2
2010-07-20,0.5014,Computers,Technology,Computers,2010:Q3
2010-10-18,0.6629,Computers,Technology,Computers,2010:Q4
2011-01-18,0.9186,Computers,Technology,Computers,2011:Q1
2011-04-20,0.9143,Computers,Technology,Computers,2011:Q2
2011-07-19,1.1129,Computers,Technology,Computers,2011:Q3
2011-10-18,1.0071,Computers,Technology,Computers,2011:Q4
2012-01-24,1.9814,Computers,Technology,Computers,2012:Q1
2012-04-24,1.7571,Computers,Technology,Computers,2012:Q2
2012-07-24,1.3314,Computers,Technology,Computers,2012:Q3
2012-10-25,1.2386,Computers,Technology,Computers,2012:Q4
2013-01-23,1.9729,Computers,Technology,Computers,2013:Q1
2013-04-23,1.4414,Computers,Technology,Computers,2013:Q2
2013-07-23,1.0671,Computers,Technology,Computers,2013:Q3
2013-10-28,1.18,Computers,Technology,Computers,2013:Q4
2014-01-27,2.0714,Computers,Technology,Computers,2014:Q1
2014-04-23,1.66,Computers,Technology,Computers,2014:Q2
2014-07-22,1.28,Computers,Technology,Computers,2014:Q3
2014-10-20,1.42,Computers,Technology,Computers,2014:Q4
2015-01-27,3.06,Computers,Technology,Computers,2015:Q1
2015-04-27,2.33,Computers,Technology,Computers,2015:Q2
2015-07-21,1.85,Computers,Technology,Computers,2015:Q3
2015-10-27,1.96,Computers,Technology,Computers,2015:Q4
2016-01-26,3.28,Computers,Technology,Computers,2016:Q1
2016-04-26,1.9,Computers,Technology,Computers,2016:Q2
2016-07-26,1.42,Computers,Technology,Computers,2016:Q3
2016-10-25,1.67,Computers,Technology,Computers,2016:Q4
