Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-02,0.874,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2010:Q2
2010-05-04,0.7256,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2010:Q3
2010-08-03,0.7021,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2010:Q4
2010-11-02,0.537,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2011:Q1
2011-02-01,1.068,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2011:Q2
2011-05-03,0.86,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2011:Q3
2011-08-02,0.595,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2011:Q4
2012-05-01,0.6859,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2012:Q1
2012-07-31,0.429,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2012:Q2
2012-10-30,0.4291,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2012:Q3
2012-10-30,-2.4245362661989844e-14,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:C1
2013-02-05,0.8519,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2012:Q4
2013-02-05,-2.4245362661989844e-14,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:C2
2013-05-01,0.3755,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:Q1
2013-08-06,0.3757,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:Q2
2013-10-29,0.6257,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:Q3
2014-02-04,0.7231,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2013:Q4
2014-04-29,1.2431,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2014:Q1
2014-08-05,0.4011,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2014:Q2
2014-11-04,0.3987,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2014:Q3
2015-02-03,1.1031,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2014:Q4
2015-05-05,0.7669,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2015:Q1
2015-08-04,0.5774,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2015:Q2
2015-11-03,0.67,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2015:Q3
2016-02-02,0.8557,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2015:Q4
2016-05-03,0.3967,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2016:Q1
2016-08-02,0.3232,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2016:Q2
2016-11-01,0.6768,Agriculture,"Consumer, Non-cyclical",Agricultural Operations,2016:Q3
