Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-02,0.819,Diversified Finan Serv,Financial,Finance-Credit Card,2009:Q4
2010-04-21,0.8656,Diversified Finan Serv,Financial,Finance-Credit Card,2010:Q1
2010-07-21,0.8666,Diversified Finan Serv,Financial,Finance-Credit Card,2010:Q2
2010-10-20,0.9607,Diversified Finan Serv,Financial,Finance-Credit Card,2010:Q3
2011-02-01,0.7138,Diversified Finan Serv,Financial,Finance-Credit Card,2010:Q4
2011-04-21,1.444,Diversified Finan Serv,Financial,Finance-Credit Card,2011:Q1
2011-07-21,1.1373,Diversified Finan Serv,Financial,Finance-Credit Card,2011:Q2
2011-10-20,1.5052,Diversified Finan Serv,Financial,Finance-Credit Card,2011:Q3
2012-02-02,1.0256,Diversified Finan Serv,Financial,Finance-Credit Card,2011:Q4
2012-04-19,1.7863,Diversified Finan Serv,Financial,Finance-Credit Card,2012:Q1
2012-07-19,1.5467,Diversified Finan Serv,Financial,Finance-Credit Card,2012:Q2
2012-10-18,1.7652,Diversified Finan Serv,Financial,Finance-Credit Card,2012:Q3
2013-01-31,1.202,Diversified Finan Serv,Financial,Finance-Credit Card,2012:Q4
2013-04-18,1.8592,Diversified Finan Serv,Financial,Finance-Credit Card,2013:Q1
2013-07-30,1.689,Diversified Finan Serv,Financial,Finance-Credit Card,2013:Q2
2013-10-17,2.01,Diversified Finan Serv,Financial,Finance-Credit Card,2013:Q3
2014-02-06,1.79,Diversified Finan Serv,Financial,Finance-Credit Card,2013:Q4
2014-04-17,2.079,Diversified Finan Serv,Financial,Finance-Credit Card,2014:Q1
2014-07-17,2.19,Diversified Finan Serv,Financial,Finance-Credit Card,2014:Q2
2014-10-16,2.7386,Diversified Finan Serv,Financial,Finance-Credit Card,2014:Q3
2015-02-05,2.0632,Diversified Finan Serv,Financial,Finance-Credit Card,2014:Q4
2015-04-16,2.32,Diversified Finan Serv,Financial,Finance-Credit Card,2015:Q1
2015-07-23,2.109,Diversified Finan Serv,Financial,Finance-Credit Card,2015:Q2
2015-10-22,2.7289,Diversified Finan Serv,Financial,Finance-Credit Card,2015:Q3
2016-01-28,2.31,Diversified Finan Serv,Financial,Finance-Credit Card,2015:Q4
2016-04-21,2.35,Diversified Finan Serv,Financial,Finance-Credit Card,2016:Q1
2016-07-21,1.24,Diversified Finan Serv,Financial,Finance-Credit Card,2016:Q2
2016-10-20,3.55,Diversified Finan Serv,Financial,Finance-Credit Card,2016:Q3
