Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.4779,Electric,Utilities,Electric-Integrated,2009:Q4
2010-04-29,0.72,Electric,Utilities,Electric-Integrated,2010:Q1
2010-07-30,0.7162,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-19,1.16,Electric,Utilities,Electric-Integrated,2010:Q3
2011-01-28,0.3683,Electric,Utilities,Electric-Integrated,2010:Q4
2011-04-21,0.7609,Electric,Utilities,Electric-Integrated,2011:Q1
2011-07-29,0.73,Electric,Utilities,Electric-Integrated,2011:Q2
2011-10-26,0.6002,Electric,Utilities,Electric-Integrated,2011:Q3
2012-01-27,0.3923,Electric,Utilities,Electric-Integrated,2011:Q4
2012-04-20,0.7973,Electric,Utilities,Electric-Integrated,2012:Q1
2012-07-20,0.765,Electric,Utilities,Electric-Integrated,2012:Q2
2012-10-24,1.0145,Electric,Utilities,Electric-Integrated,2012:Q3
2013-02-15,0.4694,Electric,Utilities,Electric-Integrated,2012:Q4
2013-04-26,0.7575,Electric,Utilities,Electric-Integrated,2013:Q1
2013-07-25,0.729,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-23,1.0946,Electric,Utilities,Electric-Integrated,2013:Q3
2014-01-27,0.5991,Electric,Utilities,Electric-Integrated,2013:Q4
2014-04-25,1.15,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-25,0.8,Electric,Utilities,Electric-Integrated,2014:Q2
2014-10-23,0.99,Electric,Utilities,Electric-Integrated,2014:Q3
2015-01-28,0.409,Electric,Utilities,Electric-Integrated,2014:Q4
2015-04-23,1.2547,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-23,0.8753,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-22,1.0459,Electric,Utilities,Electric-Integrated,2015:Q3
2016-01-28,0.4196,Electric,Utilities,Electric-Integrated,2015:Q4
2016-04-28,1.02,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-28,0.9457,Electric,Utilities,Electric-Integrated,2016:Q2
2016-11-01,1.2978,Electric,Utilities,Electric-Integrated,2016:Q3
