Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-24,-2.4245362661989844e-14,REITS,Financial,REITS-Diversified,2009:Q4
2010-05-04,-2.4245362661989844e-14,REITS,Financial,REITS-Diversified,2010:Q1
2010-08-03,-2.4245362661989844e-14,REITS,Financial,REITS-Diversified,2010:Q2
2010-11-05,-2.4245362661989844e-14,REITS,Financial,REITS-Diversified,2010:Q3
2011-02-23,-2.4245362661989844e-14,REITS,Financial,REITS-Diversified,2010:Q4
2011-05-03,0.23,REITS,Financial,REITS-Diversified,2011:Q1
2011-08-02,0.29,REITS,Financial,REITS-Diversified,2011:Q2
2011-11-01,-0.04,REITS,Financial,REITS-Diversified,2011:Q3
2012-02-23,0.52,REITS,Financial,REITS-Diversified,2011:Q4
2012-05-03,0.561,REITS,Financial,REITS-Diversified,2012:Q1
2012-08-01,0.12,REITS,Financial,REITS-Diversified,2012:Q2
2012-10-31,0.58,REITS,Financial,REITS-Diversified,2012:Q3
2013-02-26,0.34,REITS,Financial,REITS-Diversified,2012:Q4
2013-05-01,0.5183,REITS,Financial,REITS-Diversified,2013:Q1
2013-07-31,0.2567,REITS,Financial,REITS-Diversified,2013:Q2
2013-10-30,0.45,REITS,Financial,REITS-Diversified,2013:Q3
2014-02-25,0.2518,REITS,Financial,REITS-Diversified,2013:Q4
2014-05-01,0.5106,REITS,Financial,REITS-Diversified,2014:Q1
2014-07-30,0.5832,REITS,Financial,REITS-Diversified,2014:Q2
2014-10-30,0.4926,REITS,Financial,REITS-Diversified,2014:Q3
2015-02-23,0.4323,REITS,Financial,REITS-Diversified,2014:Q4
2015-04-30,0.4591,REITS,Financial,REITS-Diversified,2015:Q1
2015-07-29,0.4758,REITS,Financial,REITS-Diversified,2015:Q2
2015-10-29,0.1828,REITS,Financial,REITS-Diversified,2015:Q3
2016-02-26,0.4819,REITS,Financial,REITS-Diversified,2015:Q4
2016-04-29,0.58,REITS,Financial,REITS-Diversified,2016:Q1
2016-07-28,0.3719,REITS,Financial,REITS-Diversified,2016:Q2
2016-10-27,0.5783,REITS,Financial,REITS-Diversified,2016:Q3
