Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-09,0.3901,Coal,Energy,Coal,2009:Q4
2010-05-05,0.1378,Coal,Energy,Coal,2010:Q1
2010-08-04,0.2904,Coal,Energy,Coal,2010:Q2
2010-11-03,0.312,Coal,Energy,Coal,2010:Q3
2011-02-09,0.137,Coal,Energy,Coal,2010:Q4
2011-05-03,0.5193,Coal,Energy,Coal,2011:Q1
2011-08-04,0.9453,Coal,Energy,Coal,2011:Q2
2011-11-03,0.6165,Coal,Energy,Coal,2011:Q3
2012-02-24,0.1393,Coal,Energy,Coal,2011:Q4
2012-05-03,0.1659,Coal,Energy,Coal,2012:Q1
2012-08-08,-0.3298,Coal,Energy,Coal,2012:Q2
2012-11-02,-0.1244,Coal,Energy,Coal,2012:Q3
2013-02-14,0.897,Coal,Energy,Coal,2012:Q4
2013-05-02,-0.4666,Coal,Energy,Coal,2013:Q1
2013-08-02,-0.5581,Coal,Energy,Coal,2013:Q2
2013-10-31,-0.5854,Coal,Energy,Coal,2013:Q3
2014-02-12,-1.4616,Coal,Energy,Coal,2013:Q4
2014-05-01,-0.9186,Coal,Energy,Coal,2014:Q1
2014-08-06,-1.396,Coal,Energy,Coal,2014:Q2
2014-10-30,-0.7929,Coal,Energy,Coal,2014:Q3
2015-02-12,-0.6395,Coal,Energy,Coal,2014:Q4
2015-04-30,-0.6965,Coal,Energy,Coal,2015:Q1
