Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-18,1.6739,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2009:Q4
2010-04-29,2.0838,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q1
2010-07-20,2.4303,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q2
2010-11-04,2.0398,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q3
2011-02-17,1.9459,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q4
2011-04-28,2.8652,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q1
2011-08-04,3.2578,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q2
2011-11-03,2.4628,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q3
2012-02-16,3.1254,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q4
2012-05-03,2.9198,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q1
2012-08-02,1.9847,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q2
2012-11-01,1.6527,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q3
2013-02-14,1.8144,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q4
2013-05-09,1.986,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q1
2013-08-01,2.1576,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q2
2013-11-07,2.6037,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q3
2014-02-13,0.9637,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q4
2014-05-08,1.7788,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q1
2014-07-31,1.4961,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q2
2014-11-06,1.2782,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q3
2015-02-12,0.8817,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q4
2015-05-07,-0.4462,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q1
2015-08-06,0.4635,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q2
2015-11-05,-0.0873,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q3
2016-02-25,-0.3836,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q4
2016-05-05,-0.8307,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q1
2016-08-04,-0.2674,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q2
2016-11-03,-0.0316,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q3
