Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-22,1.16,Chemicals,Basic Materials,Industrial Gases,2010:Q1
2010-04-22,1.2273,Chemicals,Basic Materials,Industrial Gases,2010:Q2
2010-07-22,1.2739,Chemicals,Basic Materials,Industrial Gases,2010:Q3
2010-10-21,1.3365,Chemicals,Basic Materials,Industrial Gases,2010:Q4
2011-01-21,1.3541,Chemicals,Basic Materials,Industrial Gases,2011:Q1
2011-04-21,1.3301,Chemicals,Basic Materials,Industrial Gases,2011:Q2
2011-07-22,1.37,Chemicals,Basic Materials,Industrial Gases,2011:Q3
2011-10-21,1.41,Chemicals,Basic Materials,Industrial Gases,2011:Q4
2012-01-24,1.2648,Chemicals,Basic Materials,Industrial Gases,2012:Q1
2012-04-24,1.2913,Chemicals,Basic Materials,Industrial Gases,2012:Q2
2012-07-24,1.4057,Chemicals,Basic Materials,Industrial Gases,2012:Q3
2012-10-19,1.3958,Chemicals,Basic Materials,Industrial Gases,2012:Q4
2013-01-23,1.3,Chemicals,Basic Materials,Industrial Gases,2013:Q1
2013-04-23,1.37,Chemicals,Basic Materials,Industrial Gases,2013:Q2
2013-07-23,1.36,Chemicals,Basic Materials,Industrial Gases,2013:Q3
2013-10-29,1.4341,Chemicals,Basic Materials,Industrial Gases,2013:Q4
2014-01-28,1.34,Chemicals,Basic Materials,Industrial Gases,2014:Q1
2014-04-23,1.32,Chemicals,Basic Materials,Industrial Gases,2014:Q2
2014-07-23,1.46,Chemicals,Basic Materials,Industrial Gases,2014:Q3
2014-10-30,1.6536,Chemicals,Basic Materials,Industrial Gases,2014:Q4
2015-01-29,1.5485,Chemicals,Basic Materials,Industrial Gases,2015:Q1
2015-04-30,1.5521,Chemicals,Basic Materials,Industrial Gases,2015:Q2
2015-07-30,1.6631,Chemicals,Basic Materials,Industrial Gases,2015:Q3
2015-10-29,1.8321,Chemicals,Basic Materials,Industrial Gases,2015:Q4
2016-01-29,1.3451,Chemicals,Basic Materials,Industrial Gases,2016:Q1
2016-04-28,1.3672,Chemicals,Basic Materials,Industrial Gases,2016:Q2
2016-07-28,1.44,Chemicals,Basic Materials,Industrial Gases,2016:Q3
2016-10-27,2.0172,Chemicals,Basic Materials,Industrial Gases,2016:Q4
