Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-07,1.4669,Commercial Services,"Consumer, Non-cyclical",Schools,2010:Q1
2010-03-29,0.8434,Commercial Services,"Consumer, Non-cyclical",Schools,2010:Q2
2010-06-30,1.7237,Commercial Services,"Consumer, Non-cyclical",Schools,2010:Q3
2010-10-13,1.0964,Commercial Services,"Consumer, Non-cyclical",Schools,2010:Q4
2011-01-10,1.6295,Commercial Services,"Consumer, Non-cyclical",Schools,2011:Q1
2011-03-29,1.0506,Commercial Services,"Consumer, Non-cyclical",Schools,2011:Q2
2011-06-30,1.5195,Commercial Services,"Consumer, Non-cyclical",Schools,2011:Q3
2011-10-19,1.0229,Commercial Services,"Consumer, Non-cyclical",Schools,2011:Q4
2012-01-05,1.2546,Commercial Services,"Consumer, Non-cyclical",Schools,2012:Q1
2012-03-26,0.5687,Commercial Services,"Consumer, Non-cyclical",Schools,2012:Q2
2012-06-25,1.1803,Commercial Services,"Consumer, Non-cyclical",Schools,2012:Q3
2012-10-16,0.4967,Commercial Services,"Consumer, Non-cyclical",Schools,2012:Q4
2013-01-08,1.2189,Commercial Services,"Consumer, Non-cyclical",Schools,2013:Q1
2013-03-25,0.2193,Commercial Services,"Consumer, Non-cyclical",Schools,2013:Q2
2013-06-25,1.0554,Commercial Services,"Consumer, Non-cyclical",Schools,2013:Q3
2013-10-22,0.5868,Commercial Services,"Consumer, Non-cyclical",Schools,2013:Q4
2014-01-07,1.0439,Commercial Services,"Consumer, Non-cyclical",Schools,2014:Q1
2014-04-01,0.2134,Commercial Services,"Consumer, Non-cyclical",Schools,2014:Q2
2014-06-25,0.7782,Commercial Services,"Consumer, Non-cyclical",Schools,2014:Q3
2014-10-21,0.3862,Commercial Services,"Consumer, Non-cyclical",Schools,2014:Q4
2015-01-08,0.4605,Commercial Services,"Consumer, Non-cyclical",Schools,2015:Q1
2015-03-25,-0.0677,Commercial Services,"Consumer, Non-cyclical",Schools,2015:Q2
2015-06-29,0.5747,Commercial Services,"Consumer, Non-cyclical",Schools,2015:Q3
2015-10-22,0.0908,Commercial Services,"Consumer, Non-cyclical",Schools,2015:Q4
2016-01-11,0.3056,Commercial Services,"Consumer, Non-cyclical",Schools,2016:Q1
2016-04-06,-0.3069,Commercial Services,"Consumer, Non-cyclical",Schools,2016:Q2
2016-07-07,0.3722,Commercial Services,"Consumer, Non-cyclical",Schools,2016:Q3
2016-10-20,0.2062,Commercial Services,"Consumer, Non-cyclical",Schools,2016:Q4
