Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,0.36,Iron/Steel,Basic Materials,Steel-Specialty,2009:Q4
2010-04-28,0.2337,Iron/Steel,Basic Materials,Steel-Specialty,2010:Q1
2010-07-28,0.36,Iron/Steel,Basic Materials,Steel-Specialty,2010:Q2
2010-10-26,0.0496,Iron/Steel,Basic Materials,Steel-Specialty,2010:Q3
2011-01-26,0.2842,Iron/Steel,Basic Materials,Steel-Specialty,2010:Q4
2011-04-27,0.5994,Iron/Steel,Basic Materials,Steel-Specialty,2011:Q1
2011-07-27,0.7511,Iron/Steel,Basic Materials,Steel-Specialty,2011:Q2
2011-10-26,0.56,Iron/Steel,Basic Materials,Steel-Specialty,2011:Q3
2012-01-25,0.2788,Iron/Steel,Basic Materials,Steel-Specialty,2011:Q4
2012-04-25,0.4682,Iron/Steel,Basic Materials,Steel-Specialty,2012:Q1
2012-07-25,0.5111,Iron/Steel,Basic Materials,Steel-Specialty,2012:Q2
2012-10-24,0.2857,Iron/Steel,Basic Materials,Steel-Specialty,2012:Q3
2013-01-23,0.2321,Iron/Steel,Basic Materials,Steel-Specialty,2012:Q4
2013-04-24,0.0713,Iron/Steel,Basic Materials,Steel-Specialty,2013:Q1
2013-07-24,0.0103,Iron/Steel,Basic Materials,Steel-Specialty,2013:Q2
2013-10-23,-0.2897,Iron/Steel,Basic Materials,Steel-Specialty,2013:Q3
2014-01-22,-0.4163,Iron/Steel,Basic Materials,Steel-Specialty,2013:Q4
2014-04-22,-0.1857,Iron/Steel,Basic Materials,Steel-Specialty,2014:Q1
2014-07-22,0.0458,Iron/Steel,Basic Materials,Steel-Specialty,2014:Q2
2014-10-21,0.0426,Iron/Steel,Basic Materials,Steel-Specialty,2014:Q3
2015-01-20,0.2514,Iron/Steel,Basic Materials,Steel-Specialty,2014:Q4
2015-04-21,0.1646,Iron/Steel,Basic Materials,Steel-Specialty,2015:Q1
2015-07-21,-0.0874,Iron/Steel,Basic Materials,Steel-Specialty,2015:Q2
2015-10-20,-0.7545,Iron/Steel,Basic Materials,Steel-Specialty,2015:Q3
2016-01-26,-0.709,Iron/Steel,Basic Materials,Steel-Specialty,2015:Q4
2016-04-26,-0.5927,Iron/Steel,Basic Materials,Steel-Specialty,2016:Q1
2016-07-26,-0.2042,Iron/Steel,Basic Materials,Steel-Specialty,2016:Q2
2016-10-25,-0.3401,Iron/Steel,Basic Materials,Steel-Specialty,2016:Q3
