Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-10,-0.0353,Software,Technology,Entertainment Software,2009:Q4
2010-05-06,0.3093,Software,Technology,Entertainment Software,2010:Q1
2010-08-05,0.1705,Software,Technology,Entertainment Software,2010:Q2
2010-11-04,0.04,Software,Technology,Entertainment Software,2010:Q3
2011-02-09,-0.0347,Software,Technology,Entertainment Software,2010:Q4
2011-05-09,0.4318,Software,Technology,Entertainment Software,2011:Q1
2011-08-03,0.291,Software,Technology,Entertainment Software,2011:Q2
2011-11-08,0.1298,Software,Technology,Entertainment Software,2011:Q3
2012-02-09,0.093,Software,Technology,Entertainment Software,2011:Q4
2012-05-09,0.3312,Software,Technology,Entertainment Software,2012:Q1
2012-08-02,0.16,Software,Technology,Entertainment Software,2012:Q2
2012-11-07,0.2,Software,Technology,Entertainment Software,2012:Q3
2013-02-07,0.31,Software,Technology,Entertainment Software,2012:Q4
2013-05-08,0.4151,Software,Technology,Entertainment Software,2013:Q1
2013-08-01,0.28,Software,Technology,Entertainment Software,2013:Q2
2013-11-06,0.0838,Software,Technology,Entertainment Software,2013:Q3
2014-02-06,0.9682,Software,Technology,Entertainment Software,2013:Q4
2014-05-06,0.4,Software,Technology,Entertainment Software,2014:Q1
2014-08-05,0.28,Software,Technology,Entertainment Software,2014:Q2
2014-11-04,-0.03,Software,Technology,Entertainment Software,2014:Q3
2015-02-05,0.49,Software,Technology,Entertainment Software,2014:Q4
2015-05-06,0.53,Software,Technology,Entertainment Software,2015:Q1
2015-08-04,0.29,Software,Technology,Entertainment Software,2015:Q2
2015-11-02,0.17,Software,Technology,Entertainment Software,2015:Q3
2016-02-11,0.2144,Software,Technology,Entertainment Software,2015:Q4
2016-05-05,0.49,Software,Technology,Entertainment Software,2016:Q1
2016-08-04,0.2044,Software,Technology,Entertainment Software,2016:Q2
2016-11-03,0.274,Software,Technology,Entertainment Software,2016:Q3
