Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-24,0.2625,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q1
2010-05-26,0.3741,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q2
2010-08-24,0.5081,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q3
2010-12-02,0.66,Semiconductors,Technology,Electronic Compo-Semicon,2010:Q4
2011-02-23,0.556,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q1
2011-05-24,0.5479,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q2
2011-08-23,0.5779,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q3
2011-12-01,0.614,Semiconductors,Technology,Electronic Compo-Semicon,2011:Q4
2012-02-22,0.504,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q1
2012-05-22,0.548,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q2
2012-08-16,0.588,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q3
2012-11-29,0.648,Semiconductors,Technology,Electronic Compo-Semicon,2012:Q4
2013-02-26,0.504,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q1
2013-05-29,0.462,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q2
2013-08-27,0.5781,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q3
2013-12-04,0.698,Semiconductors,Technology,Electronic Compo-Semicon,2013:Q4
2014-02-25,0.6712,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q1
2014-05-29,0.6528,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q2
2014-08-28,-0.155,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q3
2014-12-03,0.6362,Semiconductors,Technology,Electronic Compo-Semicon,2014:Q4
2015-02-25,1.2847,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q1
2015-05-28,1.3433,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q2
2015-08-26,1.1784,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q3
2015-12-02,1.7725,Semiconductors,Technology,Electronic Compo-Semicon,2015:Q4
2016-03-03,1.6023,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q1
2016-06-02,-1.7037,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q2
2016-09-01,0.0337,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q3
2016-12-08,0.4532,Semiconductors,Technology,Electronic Compo-Semicon,2016:Q4
