Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.507,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q1
2010-04-28,0.5099,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q2
2010-07-29,0.5164,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q3
2010-10-28,0.5168,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q4
2011-01-27,0.7164,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q1
2011-04-28,0.7495,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q2
2011-08-02,0.7502,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q3
2011-10-27,0.6287,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q4
2012-02-01,0.7155,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q1
2012-05-02,0.7098,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q2
2012-07-30,0.7382,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q3
2012-10-25,0.7458,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q4
2013-02-01,0.7796,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q1
2013-04-30,0.8814,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q2
2013-07-29,0.8625,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q3
2013-10-24,0.7797,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q4
2014-01-30,0.9326,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q1
2014-04-28,0.875,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q2
2014-07-30,0.9092,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q3
2014-10-27,0.9971,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q4
2015-01-30,0.9161,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q1
2015-04-29,0.967,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q2
2015-07-29,0.8104,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q3
2015-10-22,0.5921,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q4
2016-02-03,0.7403,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q1
2016-04-27,0.5961,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q2
2016-07-28,0.7244,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q3
2016-10-26,0.8173,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q4
