Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-03,1.312,Retail,"Consumer, Cyclical",Retail-Discount,2010:Q4
2010-05-27,0.6802,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q1
2010-08-24,0.4801,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q2
2010-12-03,0.2345,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q3
2011-03-03,1.4615,Retail,"Consumer, Cyclical",Retail-Discount,2011:Q4
2011-05-26,0.7013,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q1
2011-08-25,0.5076,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q2
2011-12-02,0.0623,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q3
2012-03-02,1.7735,Retail,"Consumer, Cyclical",Retail-Discount,2012:Q4
2012-05-23,0.682,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q1
2012-08-23,0.3591,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q2
2012-12-04,-0.1,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q3
2013-03-06,2.0941,Retail,"Consumer, Cyclical",Retail-Discount,2013:Q4
2013-05-30,0.6151,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q1
2013-08-30,0.3726,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q2
2013-12-05,-0.0718,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q3
2014-03-07,1.6682,Retail,"Consumer, Cyclical",Retail-Discount,2014:Q4
2014-05-30,0.5,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q1
2014-08-29,0.31,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q2
2014-12-05,-0.06,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q3
2015-03-06,1.76,Retail,"Consumer, Cyclical",Retail-Discount,2015:Q4
2015-05-29,0.6212,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q1
2015-08-28,0.417,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q2
2015-12-04,-0.003,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q3
2016-03-04,2.0221,Retail,"Consumer, Cyclical",Retail-Discount,2016:Q4
2016-05-27,0.8159,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q1
2016-08-26,0.5252,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q2
2016-12-02,0.0423,Retail,"Consumer, Cyclical",Retail-Discount,2017:Q3
