Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.2246,Packaging&Containers,Industrial,Containers-Metal/Glass,2009:Q4
2010-04-29,0.2192,Packaging&Containers,Industrial,Containers-Metal/Glass,2010:Q1
2010-07-29,0.5183,Packaging&Containers,Industrial,Containers-Metal/Glass,2010:Q2
2010-10-28,0.3329,Packaging&Containers,Industrial,Containers-Metal/Glass,2010:Q3
2011-01-27,0.2652,Packaging&Containers,Industrial,Containers-Metal/Glass,2010:Q4
2011-04-28,0.2954,Packaging&Containers,Industrial,Containers-Metal/Glass,2011:Q1
2011-07-28,0.4255,Packaging&Containers,Industrial,Containers-Metal/Glass,2011:Q2
2011-10-27,0.4072,Packaging&Containers,Industrial,Containers-Metal/Glass,2011:Q3
2012-01-26,0.2646,Packaging&Containers,Industrial,Containers-Metal/Glass,2011:Q4
2012-04-26,0.2839,Packaging&Containers,Industrial,Containers-Metal/Glass,2012:Q1
2012-07-26,0.4457,Packaging&Containers,Industrial,Containers-Metal/Glass,2012:Q2
2012-10-25,0.4461,Packaging&Containers,Industrial,Containers-Metal/Glass,2012:Q3
2013-01-31,0.3179,Packaging&Containers,Industrial,Containers-Metal/Glass,2012:Q4
2013-04-25,0.2796,Packaging&Containers,Industrial,Containers-Metal/Glass,2013:Q1
2013-07-25,0.427,Packaging&Containers,Industrial,Containers-Metal/Glass,2013:Q2
2013-10-24,0.4992,Packaging&Containers,Industrial,Containers-Metal/Glass,2013:Q3
2014-01-30,0.4328,Packaging&Containers,Industrial,Containers-Metal/Glass,2013:Q4
2014-05-01,0.325,Packaging&Containers,Industrial,Containers-Metal/Glass,2014:Q1
2014-07-31,0.5619,Packaging&Containers,Industrial,Containers-Metal/Glass,2014:Q2
2014-10-30,0.5531,Packaging&Containers,Industrial,Containers-Metal/Glass,2014:Q3
2015-02-05,0.4192,Packaging&Containers,Industrial,Containers-Metal/Glass,2014:Q4
2015-04-30,0.3383,Packaging&Containers,Industrial,Containers-Metal/Glass,2015:Q1
2015-07-30,0.4272,Packaging&Containers,Industrial,Containers-Metal/Glass,2015:Q2
2015-10-29,0.578,Packaging&Containers,Industrial,Containers-Metal/Glass,2015:Q3
2016-01-28,0.5689,Packaging&Containers,Industrial,Containers-Metal/Glass,2015:Q4
2016-04-28,0.2285,Packaging&Containers,Industrial,Containers-Metal/Glass,2016:Q1
2016-08-04,0.2668,Packaging&Containers,Industrial,Containers-Metal/Glass,2016:Q2
2016-11-03,0.2963,Packaging&Containers,Industrial,Containers-Metal/Glass,2016:Q3
