Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.3216,Packaging&Containers,Industrial,Containers-Paper/Plastic,2009:Q4
2010-04-29,0.34,Packaging&Containers,Industrial,Containers-Paper/Plastic,2010:Q1
2010-07-27,0.52,Packaging&Containers,Industrial,Containers-Paper/Plastic,2010:Q2
2010-10-28,0.56,Packaging&Containers,Industrial,Containers-Paper/Plastic,2010:Q3
2011-02-01,0.4977,Packaging&Containers,Industrial,Containers-Paper/Plastic,2010:Q4
2011-04-28,0.47,Packaging&Containers,Industrial,Containers-Paper/Plastic,2011:Q1
2011-07-27,0.5302,Packaging&Containers,Industrial,Containers-Paper/Plastic,2011:Q2
2011-10-26,0.54,Packaging&Containers,Industrial,Containers-Paper/Plastic,2011:Q3
2012-01-25,0.4945,Packaging&Containers,Industrial,Containers-Paper/Plastic,2011:Q4
2012-04-26,0.49,Packaging&Containers,Industrial,Containers-Paper/Plastic,2012:Q1
2012-07-26,0.52,Packaging&Containers,Industrial,Containers-Paper/Plastic,2012:Q2
2012-10-25,0.5839,Packaging&Containers,Industrial,Containers-Paper/Plastic,2012:Q3
2013-01-31,0.5206,Packaging&Containers,Industrial,Containers-Paper/Plastic,2012:Q4
2013-04-25,0.5261,Packaging&Containers,Industrial,Containers-Paper/Plastic,2013:Q1
2013-07-25,0.6408,Packaging&Containers,Industrial,Containers-Paper/Plastic,2013:Q2
2013-10-24,0.55,Packaging&Containers,Industrial,Containers-Paper/Plastic,2013:Q3
2014-01-30,0.4507,Packaging&Containers,Industrial,Containers-Paper/Plastic,2013:Q4
2014-04-24,0.52,Packaging&Containers,Industrial,Containers-Paper/Plastic,2014:Q1
2014-07-24,0.6,Packaging&Containers,Industrial,Containers-Paper/Plastic,2014:Q2
2014-10-23,0.61,Packaging&Containers,Industrial,Containers-Paper/Plastic,2014:Q3
2015-01-29,0.57,Packaging&Containers,Industrial,Containers-Paper/Plastic,2014:Q4
2015-04-23,0.61,Packaging&Containers,Industrial,Containers-Paper/Plastic,2015:Q1
2015-07-23,0.6508,Packaging&Containers,Industrial,Containers-Paper/Plastic,2015:Q2
2015-10-22,0.6779,Packaging&Containers,Industrial,Containers-Paper/Plastic,2015:Q3
2016-01-28,0.5867,Packaging&Containers,Industrial,Containers-Paper/Plastic,2015:Q4
2016-04-28,0.6054,Packaging&Containers,Industrial,Containers-Paper/Plastic,2016:Q1
2016-07-28,0.67,Packaging&Containers,Industrial,Containers-Paper/Plastic,2016:Q2
2016-10-27,0.7507,Packaging&Containers,Industrial,Containers-Paper/Plastic,2016:Q3
