Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-11,0.2106,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2009:Q4
2010-04-29,0.3246,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2010:Q1
2010-07-30,0.34,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2010:Q2
2010-10-27,0.435,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2010:Q3
2011-02-10,0.4371,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2010:Q4
2011-04-28,0.5,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2011:Q1
2011-07-28,0.6037,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2011:Q2
2011-10-28,0.575,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2011:Q3
2012-02-14,0.6052,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2011:Q4
2012-04-26,0.64,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2012:Q1
2012-07-26,0.672,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2012:Q2
2012-10-31,0.5601,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2012:Q3
2013-02-14,0.5694,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2012:Q4
2013-04-25,0.5954,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2013:Q1
2013-07-25,0.75,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2013:Q2
2013-10-30,0.725,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2013:Q3
2014-02-13,0.7642,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2013:Q4
2014-05-01,0.82,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2014:Q1
2014-07-31,0.89,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2014:Q2
2014-10-30,0.78,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2014:Q3
2015-02-12,0.74,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2014:Q4
2015-04-30,0.8,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2015:Q1
2015-07-30,0.75,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2015:Q2
2015-10-29,0.74,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2015:Q3
2016-02-11,0.75,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2015:Q4
2016-04-28,0.7864,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2016:Q1
2016-07-28,0.8167,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2016:Q2
2016-10-27,0.7397,Auto Parts&Equipment,"Consumer, Cyclical",Auto/Trk Prts&Equip-Orig,2016:Q3
