Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,0.3651,REITS,Financial,REITS-Office Property,2009:Q4
2010-04-27,0.3823,REITS,Financial,REITS-Office Property,2010:Q1
2010-07-27,0.4763,REITS,Financial,REITS-Office Property,2010:Q2
2010-10-26,0.41,REITS,Financial,REITS-Office Property,2010:Q3
2011-01-25,0.4908,REITS,Financial,REITS-Office Property,2010:Q4
2011-05-02,0.29,REITS,Financial,REITS-Office Property,2011:Q1
2011-08-01,0.41,REITS,Financial,REITS-Office Property,2011:Q2
2011-10-25,0.48,REITS,Financial,REITS-Office Property,2011:Q3
2012-01-31,0.6405,REITS,Financial,REITS-Office Property,2011:Q4
2012-05-01,0.2765,REITS,Financial,REITS-Office Property,2012:Q1
2012-08-06,0.532,REITS,Financial,REITS-Office Property,2012:Q2
2012-10-23,0.4161,REITS,Financial,REITS-Office Property,2012:Q3
2013-01-29,0.42,REITS,Financial,REITS-Office Property,2012:Q4
2013-04-30,0.2368,REITS,Financial,REITS-Office Property,2013:Q1
2013-07-30,0.3741,REITS,Financial,REITS-Office Property,2013:Q2
2013-10-29,0.4388,REITS,Financial,REITS-Office Property,2013:Q3
2014-01-28,0.42,REITS,Financial,REITS-Office Property,2013:Q4
2014-04-29,0.35,REITS,Financial,REITS-Office Property,2014:Q1
2014-07-29,0.5,REITS,Financial,REITS-Office Property,2014:Q2
2014-10-28,0.5564,REITS,Financial,REITS-Office Property,2014:Q3
2015-01-29,0.3856,REITS,Financial,REITS-Office Property,2014:Q4
2015-04-27,0.4921,REITS,Financial,REITS-Office Property,2015:Q1
2015-07-29,0.52,REITS,Financial,REITS-Office Property,2015:Q2
2015-10-29,-0.1002,REITS,Financial,REITS-Office Property,2015:Q3
2016-02-03,0.5114,REITS,Financial,REITS-Office Property,2015:Q4
2016-04-26,0.7407,REITS,Financial,REITS-Office Property,2016:Q1
2016-07-26,0.63,REITS,Financial,REITS-Office Property,2016:Q2
2016-10-25,0.4297,REITS,Financial,REITS-Office Property,2016:Q3
