Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,0.7904,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2009:Q4
2010-04-22,0.7155,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q1
2010-07-22,0.8625,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q2
2010-10-21,0.8558,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q3
2011-01-26,0.85,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q4
2011-04-25,0.93,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q1
2011-07-21,0.96,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q2
2011-10-20,0.98,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q3
2012-01-24,1.0162,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q4
2012-05-02,1.0485,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q1
2012-07-25,1.1833,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q2
