Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,-0.3971,Banks,Financial,Super-Regional Banks-US,2009:Q4
2010-04-21,-0.1716,Banks,Financial,Super-Regional Banks-US,2010:Q1
2010-07-21,0.3973,Banks,Financial,Super-Regional Banks-US,2010:Q2
2010-10-20,0.3373,Banks,Financial,Super-Regional Banks-US,2010:Q3
2011-01-18,0.581,Banks,Financial,Super-Regional Banks-US,2010:Q4
2011-04-19,0.5811,Banks,Financial,Super-Regional Banks-US,2011:Q1
2011-07-19,0.5665,Banks,Financial,Super-Regional Banks-US,2011:Q2
2011-10-19,0.644,Banks,Financial,Super-Regional Banks-US,2011:Q3
2012-01-20,0.6056,Banks,Financial,Super-Regional Banks-US,2011:Q4
2012-04-17,0.6965,Banks,Financial,Super-Regional Banks-US,2012:Q1
2012-07-17,0.7859,Banks,Financial,Super-Regional Banks-US,2012:Q2
2012-10-17,0.704,Banks,Financial,Super-Regional Banks-US,2012:Q3
2013-01-16,0.7649,Banks,Financial,Super-Regional Banks-US,2012:Q4
2013-04-16,0.7104,Banks,Financial,Super-Regional Banks-US,2013:Q1
2013-07-16,0.7635,Banks,Financial,Super-Regional Banks-US,2013:Q2
2013-10-16,0.7661,Banks,Financial,Super-Regional Banks-US,2013:Q3
2014-01-17,0.8016,Banks,Financial,Super-Regional Banks-US,2013:Q4
2014-04-15,0.7404,Banks,Financial,Super-Regional Banks-US,2014:Q1
2014-07-15,0.8105,Banks,Financial,Super-Regional Banks-US,2014:Q2
2014-10-17,0.7216,Banks,Financial,Super-Regional Banks-US,2014:Q3
2015-01-16,0.8,Banks,Financial,Super-Regional Banks-US,2014:Q4
2015-04-17,0.7336,Banks,Financial,Super-Regional Banks-US,2015:Q1
2015-07-17,0.6229,Banks,Financial,Super-Regional Banks-US,2015:Q2
2015-10-16,0.7292,Banks,Financial,Super-Regional Banks-US,2015:Q3
2016-01-19,0.64,Banks,Financial,Super-Regional Banks-US,2015:Q4
2016-04-19,0.34,Banks,Financial,Super-Regional Banks-US,2016:Q1
2016-07-19,0.7746,Banks,Financial,Super-Regional Banks-US,2016:Q2
2016-10-18,0.9139,Banks,Financial,Super-Regional Banks-US,2016:Q3
