Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-04,0.6542,Diversified Finan Serv,Financial,Finance-Other Services,2009:Q4
2010-04-29,0.7117,Diversified Finan Serv,Financial,Finance-Other Services,2010:Q1
2010-07-29,0.822,Diversified Finan Serv,Financial,Finance-Other Services,2010:Q2
2010-10-28,0.732,Diversified Finan Serv,Financial,Finance-Other Services,2010:Q3
2011-02-03,0.586,Diversified Finan Serv,Financial,Finance-Other Services,2010:Q4
2011-04-28,1.362,Diversified Finan Serv,Financial,Finance-Other Services,2011:Q1
2011-07-28,0.876,Diversified Finan Serv,Financial,Finance-Other Services,2011:Q2
2011-11-01,0.948,Diversified Finan Serv,Financial,Finance-Other Services,2011:Q3
2012-02-02,0.6574,Diversified Finan Serv,Financial,Finance-Other Services,2011:Q4
2012-04-26,0.804,Diversified Finan Serv,Financial,Finance-Other Services,2012:Q1
2012-07-26,0.7574,Diversified Finan Serv,Financial,Finance-Other Services,2012:Q2
2012-10-25,0.66,Diversified Finan Serv,Financial,Finance-Other Services,2012:Q3
2013-02-05,0.5,Diversified Finan Serv,Financial,Finance-Other Services,2012:Q4
2013-05-02,0.71,Diversified Finan Serv,Financial,Finance-Other Services,2013:Q1
2013-08-01,0.93,Diversified Finan Serv,Financial,Finance-Other Services,2013:Q2
2013-11-04,0.71,Diversified Finan Serv,Financial,Finance-Other Services,2013:Q3
2014-02-04,0.64,Diversified Finan Serv,Financial,Finance-Other Services,2013:Q4
2014-05-01,0.79,Diversified Finan Serv,Financial,Finance-Other Services,2014:Q1
2014-07-31,0.7705,Diversified Finan Serv,Financial,Finance-Other Services,2014:Q2
2014-10-30,0.8652,Diversified Finan Serv,Financial,Finance-Other Services,2014:Q3
2015-02-05,0.9145,Diversified Finan Serv,Financial,Finance-Other Services,2014:Q4
2015-04-30,0.9656,Diversified Finan Serv,Financial,Finance-Other Services,2015:Q1
2015-07-30,0.9427,Diversified Finan Serv,Financial,Finance-Other Services,2015:Q2
2015-10-29,0.9981,Diversified Finan Serv,Financial,Finance-Other Services,2015:Q3
2016-02-05,0.9056,Diversified Finan Serv,Financial,Finance-Other Services,2015:Q4
2016-04-28,1.1477,Diversified Finan Serv,Financial,Finance-Other Services,2016:Q1
2016-07-28,1.076,Diversified Finan Serv,Financial,Finance-Other Services,2016:Q2
2016-10-27,0.9913,Diversified Finan Serv,Financial,Finance-Other Services,2016:Q3
