Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-21,0.1141,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2009:Q4
2010-04-28,0.0908,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q1
2010-07-22,0.0442,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q2
2010-10-25,-2.4245362661989844e-14,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q3
2011-02-22,-0.0159,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q4
2011-04-27,0.0322,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q1
2011-07-27,0.0812,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q2
2011-10-26,0.0626,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q3
2012-02-20,0.0243,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q4
2012-04-25,0.0446,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q1
2012-07-24,-0.0126,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q2
2012-10-25,0.0854,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q3
2013-02-21,0.1191,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q4
2013-04-24,0.1001,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q1
2013-07-24,0.2096,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q2
2013-10-24,0.1597,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q3
2014-02-20,0.1621,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q4
2014-04-24,0.2586,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q1
2014-07-24,0.2621,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q2
2014-10-24,0.1904,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q3
2015-02-20,0.4662,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q4
2015-04-24,0.0991,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q1
2015-07-24,0.0186,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q2
2015-10-23,-0.0033,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q3
2016-02-19,-0.0202,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q4
2016-04-29,-0.1508,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q1
2016-07-29,-0.0796,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q2
2016-10-28,-0.043,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q3
