Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-19,0.2567,Transportation,Industrial,Transport-Rail,2009:Q4
2010-04-13,0.26,Transportation,Industrial,Transport-Rail,2010:Q1
2010-07-12,0.3733,Transportation,Industrial,Transport-Rail,2010:Q2
2010-10-12,0.3667,Transportation,Industrial,Transport-Rail,2010:Q3
2011-01-24,0.3747,Transportation,Industrial,Transport-Rail,2010:Q4
2011-04-19,0.3533,Transportation,Industrial,Transport-Rail,2011:Q1
2011-07-19,0.46,Transportation,Industrial,Transport-Rail,2011:Q2
2011-10-18,0.43,Transportation,Industrial,Transport-Rail,2011:Q3
2012-01-23,0.43,Transportation,Industrial,Transport-Rail,2011:Q4
2012-04-17,0.417,Transportation,Industrial,Transport-Rail,2012:Q1
2012-07-17,0.4775,Transportation,Industrial,Transport-Rail,2012:Q2
2012-10-16,0.4196,Transportation,Industrial,Transport-Rail,2012:Q3
2013-01-22,0.3786,Transportation,Industrial,Transport-Rail,2012:Q4
2013-04-16,0.4189,Transportation,Industrial,Transport-Rail,2013:Q1
2013-07-16,0.4869,Transportation,Industrial,Transport-Rail,2013:Q2
2013-10-15,0.45,Transportation,Industrial,Transport-Rail,2013:Q3
2014-01-15,0.42,Transportation,Industrial,Transport-Rail,2013:Q4
2014-04-15,0.4,Transportation,Industrial,Transport-Rail,2014:Q1
2014-07-15,0.53,Transportation,Industrial,Transport-Rail,2014:Q2
2014-10-14,0.5199,Transportation,Industrial,Transport-Rail,2014:Q3
2015-01-13,0.5155,Transportation,Industrial,Transport-Rail,2014:Q4
2015-04-14,0.45,Transportation,Industrial,Transport-Rail,2015:Q1
2015-07-14,0.5485,Transportation,Industrial,Transport-Rail,2015:Q2
2015-10-13,0.5148,Transportation,Industrial,Transport-Rail,2015:Q3
2016-01-12,0.4255,Transportation,Industrial,Transport-Rail,2015:Q4
2016-04-12,0.37,Transportation,Industrial,Transport-Rail,2016:Q1
2016-07-13,0.47,Transportation,Industrial,Transport-Rail,2016:Q2
2016-10-12,0.4772,Transportation,Industrial,Transport-Rail,2016:Q3
