Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-18,0.32,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q3
2010-07-20,0.3478,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2010:Q4
2010-09-21,0.4,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q1
2010-12-21,0.38,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q2
2011-03-22,0.41,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q3
2011-07-19,0.49,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2011:Q4
2011-09-22,0.52,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q1
2011-12-20,0.57,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q2
2012-03-20,0.58,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q3
2012-07-16,0.6,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2012:Q4
2012-09-20,0.6,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q1
2012-12-20,0.5852,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q2
2013-03-19,0.6,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q3
2013-07-15,0.69,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2013:Q4
2013-09-19,0.6271,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q1
2013-12-19,0.69,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q2
2014-03-19,0.7016,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q3
2014-07-15,0.6894,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2014:Q4
2014-09-29,0.7703,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q1
2014-12-18,0.86,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q2
2015-03-18,0.8702,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q3
2015-07-16,0.86,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2015:Q4
2015-09-24,0.93,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q1
2015-12-21,1.03,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q2
2016-03-22,1.05,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q3
2016-07-19,0.9387,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2016:Q4
2016-09-27,1.2769,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2017:Q1
2016-12-22,1.1502,Commercial Services,"Consumer, Non-cyclical",Commercial Services,2017:Q2
