Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.92,Telecommunications,Communications,Telephone-Integrated,2009:Q4
2010-05-05,0.9289,Telecommunications,Communications,Telephone-Integrated,2010:Q1
2010-08-04,0.8795,Telecommunications,Communications,Telephone-Integrated,2010:Q2
2010-11-03,0.8225,Telecommunications,Communications,Telephone-Integrated,2010:Q3
2011-02-15,0.8017,Telecommunications,Communications,Telephone-Integrated,2010:Q4
2011-05-05,0.7627,Telecommunications,Communications,Telephone-Integrated,2011:Q1
2011-08-03,0.4965,Telecommunications,Communications,Telephone-Integrated,2011:Q2
2011-11-02,0.3302,Telecommunications,Communications,Telephone-Integrated,2011:Q3
2012-02-15,0.2466,Telecommunications,Communications,Telephone-Integrated,2011:Q4
2012-05-09,0.3504,Telecommunications,Communications,Telephone-Integrated,2012:Q1
2012-08-08,0.3516,Telecommunications,Communications,Telephone-Integrated,2012:Q2
2012-11-07,0.4436,Telecommunications,Communications,Telephone-Integrated,2012:Q3
2013-02-13,0.3794,Telecommunications,Communications,Telephone-Integrated,2012:Q4
2013-05-08,0.4743,Telecommunications,Communications,Telephone-Integrated,2013:Q1
2013-08-07,0.3954,Telecommunications,Communications,Telephone-Integrated,2013:Q2
2013-11-06,0.3529,Telecommunications,Communications,Telephone-Integrated,2013:Q3
2014-02-12,0.4225,Telecommunications,Communications,Telephone-Integrated,2013:Q4
2014-05-06,0.3861,Telecommunications,Communications,Telephone-Integrated,2014:Q1
2014-08-06,0.4302,Telecommunications,Communications,Telephone-Integrated,2014:Q2
2014-11-05,0.3644,Telecommunications,Communications,Telephone-Integrated,2014:Q3
2015-02-11,0.2609,Telecommunications,Communications,Telephone-Integrated,2014:Q4
2015-05-05,0.3931,Telecommunications,Communications,Telephone-Integrated,2015:Q1
2015-08-05,0.2874,Telecommunications,Communications,Telephone-Integrated,2015:Q2
2015-11-04,0.4505,Telecommunications,Communications,Telephone-Integrated,2015:Q3
2016-02-10,0.5371,Telecommunications,Communications,Telephone-Integrated,2015:Q4
2016-05-04,0.4603,Telecommunications,Communications,Telephone-Integrated,2016:Q1
2016-08-03,0.3779,Telecommunications,Communications,Telephone-Integrated,2016:Q2
2016-10-31,0.3207,Telecommunications,Communications,Telephone-Integrated,2016:Q3
