Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-29,1.5491,Oil&Gas,Energy,Oil Comp-Integrated,2009:Q4
2010-04-30,2.3674,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q1
2010-07-30,2.7013,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q2
2010-10-29,1.8716,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q3
2011-01-28,2.5096,Oil&Gas,Energy,Oil Comp-Integrated,2010:Q4
2011-04-29,3.0894,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q1
2011-07-29,3.8413,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q2
2011-10-28,3.76,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q3
2012-01-27,2.5826,Oil&Gas,Energy,Oil Comp-Integrated,2011:Q4
2012-04-27,3.2089,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q1
2012-07-27,3.5916,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q2
2012-11-02,2.4897,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q3
2013-02-01,3.2389,Oil&Gas,Energy,Oil Comp-Integrated,2012:Q4
2013-04-26,3.1817,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q1
2013-08-02,2.7814,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q2
2013-11-01,2.5818,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q3
2014-01-31,2.5741,Oil&Gas,Energy,Oil Comp-Integrated,2013:Q4
2014-05-02,2.3706,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q1
2014-08-01,2.9827,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q2
2014-10-31,2.9565,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q3
2015-01-30,1.8469,Oil&Gas,Energy,Oil Comp-Integrated,2014:Q4
2015-05-01,1.1111,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q1
2015-07-31,0.9294,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q2
2015-10-30,1.1455,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q3
2016-01-29,0.2045,Oil&Gas,Energy,Oil Comp-Integrated,2015:Q4
2016-04-29,-0.2295,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q1
2016-07-29,0.5563,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q2
2016-10-28,0.5309,Oil&Gas,Energy,Oil Comp-Integrated,2016:Q3
