Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,-0.2711,Airlines,"Consumer, Cyclical",Airlines,2009:Q4
2010-04-20,-0.2451,Airlines,"Consumer, Cyclical",Airlines,2010:Q1
2010-07-19,0.6474,Airlines,"Consumer, Cyclical",Airlines,2010:Q2
2010-10-20,1.1022,Airlines,"Consumer, Cyclical",Airlines,2010:Q3
2011-01-18,0.1845,Airlines,"Consumer, Cyclical",Airlines,2010:Q4
2011-04-26,-0.3824,Airlines,"Consumer, Cyclical",Airlines,2011:Q1
2011-07-27,0.4291,Airlines,"Consumer, Cyclical",Airlines,2011:Q2
2011-10-25,0.9059,Airlines,"Consumer, Cyclical",Airlines,2011:Q3
2012-01-25,0.4456,Airlines,"Consumer, Cyclical",Airlines,2011:Q4
2012-04-25,-0.0875,Airlines,"Consumer, Cyclical",Airlines,2012:Q1
2012-07-25,0.6923,Airlines,"Consumer, Cyclical",Airlines,2012:Q2
2012-10-24,0.9018,Airlines,"Consumer, Cyclical",Airlines,2012:Q3
2013-01-22,0.2811,Airlines,"Consumer, Cyclical",Airlines,2012:Q4
2013-04-23,0.1002,Airlines,"Consumer, Cyclical",Airlines,2013:Q1
2013-07-24,0.9851,Airlines,"Consumer, Cyclical",Airlines,2013:Q2
2013-10-22,1.3821,Airlines,"Consumer, Cyclical",Airlines,2013:Q3
2014-01-21,0.6581,Airlines,"Consumer, Cyclical",Airlines,2013:Q4
2014-04-23,0.3297,Airlines,"Consumer, Cyclical",Airlines,2014:Q1
2014-07-23,1.0435,Airlines,"Consumer, Cyclical",Airlines,2014:Q2
2014-10-16,1.1994,Airlines,"Consumer, Cyclical",Airlines,2014:Q3
2015-01-20,0.7867,Airlines,"Consumer, Cyclical",Airlines,2014:Q4
2015-04-15,0.4472,Airlines,"Consumer, Cyclical",Airlines,2015:Q1
2015-07-15,1.2653,Airlines,"Consumer, Cyclical",Airlines,2015:Q2
2015-10-14,1.7368,Airlines,"Consumer, Cyclical",Airlines,2015:Q3
2016-01-19,1.1812,Airlines,"Consumer, Cyclical",Airlines,2015:Q4
2016-04-14,1.3126,Airlines,"Consumer, Cyclical",Airlines,2016:Q1
2016-07-14,1.4769,Airlines,"Consumer, Cyclical",Airlines,2016:Q2
2016-10-13,1.6954,Airlines,"Consumer, Cyclical",Airlines,2016:Q3
