Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-29,0.584,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2009:Q4
2010-04-23,0.6566,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q1
2010-07-23,0.9107,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q2
2010-10-22,1.0376,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q3
2011-01-28,0.9177,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2010:Q4
2011-04-21,0.8829,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q1
2011-07-22,1.1492,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q2
2011-10-21,1.2354,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q3
2012-01-25,1.0198,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2011:Q4
2012-04-18,1.0126,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q1
2012-07-18,1.13,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q2
2012-10-17,1.2533,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q3
2013-01-24,1.105,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2012:Q4
2013-04-17,0.9324,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q1
2013-07-18,1.5049,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q2
2013-10-17,1.2582,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q3
2014-01-30,1.1039,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2013:Q4
2014-04-17,0.9844,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q1
2014-07-17,1.2459,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q2
2014-10-16,1.3172,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q3
2015-01-27,1.1525,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2014:Q4
2015-04-21,0.8057,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q1
2015-07-21,0.9747,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q2
2015-10-20,1.1881,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q3
2016-01-26,0.89,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2015:Q4
2016-04-21,0.5828,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q1
2016-07-21,0.7996,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q2
2016-10-19,0.8639,Miscellaneous Manufactur,Industrial,Diversified Manufact Op,2016:Q3
