Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-17,1.0553,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2009:Q4
2010-05-05,1.6226,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q1
2010-08-04,1.3456,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q2
2010-11-03,1.2134,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q3
2011-02-16,1.4662,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2010:Q4
2011-05-04,1.2899,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q1
2011-08-03,1.6935,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q2
2011-11-02,1.5591,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q3
2012-02-15,1.7009,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2011:Q4
2012-05-02,1.0509,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q1
2012-08-01,0.5248,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q2
2012-11-07,0.8388,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q3
2013-02-20,0.7238,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2012:Q4
2013-05-01,0.6426,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q1
2013-08-07,1.1953,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q2
2013-11-06,1.2966,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q3
2014-02-19,0.9424,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2013:Q4
2014-05-07,1.1875,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q1
2014-08-06,1.3912,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q2
2014-11-04,1.2797,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q3
2015-02-17,0.8702,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2014:Q4
2015-05-05,0.6824,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q1
2015-08-04,0.7825,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q2
2015-11-03,1.1009,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q3
2016-02-16,1.7402,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2015:Q4
2016-05-03,-0.5445,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q1
2016-08-02,0.1939,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q2
2016-11-01,-0.0096,Oil&Gas,Energy,Oil Comp-Explor&Prodtn,2016:Q3
