Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-01,0.2543,Electric,Utilities,Electric-Integrated,2009:Q4
2010-05-07,0.8308,Electric,Utilities,Electric-Integrated,2010:Q1
2010-08-05,0.6419,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-29,1.4702,Electric,Utilities,Electric-Integrated,2010:Q3
2011-02-28,0.6048,Electric,Utilities,Electric-Integrated,2010:Q4
2011-05-02,0.6376,Electric,Utilities,Electric-Integrated,2011:Q1
2011-08-04,0.5479,Electric,Utilities,Electric-Integrated,2011:Q2
2011-11-02,1.2935,Electric,Utilities,Electric-Integrated,2011:Q3
2012-02-29,0.8415,Electric,Utilities,Electric-Integrated,2011:Q4
2012-05-02,0.5499,Electric,Utilities,Electric-Integrated,2012:Q1
2012-07-31,0.587,Electric,Utilities,Electric-Integrated,2012:Q2
2012-11-01,0.8792,Electric,Utilities,Electric-Integrated,2012:Q3
2013-02-26,1.7076,Electric,Utilities,Electric-Integrated,2012:Q4
2013-04-30,0.7958,Electric,Utilities,Electric-Integrated,2013:Q1
2013-08-01,0.8315,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-29,1.4397,Electric,Utilities,Electric-Integrated,2013:Q3
2014-02-25,0.7943,Electric,Utilities,Electric-Integrated,2013:Q4
2014-04-29,0.9018,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-31,1.07,Electric,Utilities,Electric-Integrated,2014:Q2
2014-10-28,1.512,Electric,Utilities,Electric-Integrated,2014:Q3
2015-02-24,1.0679,Electric,Utilities,Electric-Integrated,2014:Q4
2015-04-28,0.8948,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-30,1.147,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-27,1.147,Electric,Utilities,Electric-Integrated,2015:Q3
2016-02-23,0.8715,Electric,Utilities,Electric-Integrated,2015:Q4
2016-05-02,0.8509,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-28,0.9014,Electric,Utilities,Electric-Integrated,2016:Q2
2016-11-01,1.274,Electric,Utilities,Electric-Integrated,2016:Q3
