Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-26,0.2487,Computers,Technology,Computers-Memory Devices,2009:Q4
2010-04-21,0.1821,Computers,Technology,Computers-Memory Devices,2010:Q1
2010-07-21,0.2038,Computers,Technology,Computers-Memory Devices,2010:Q2
2010-10-19,0.2238,Computers,Technology,Computers-Memory Devices,2010:Q3
2011-01-25,0.3463,Computers,Technology,Computers-Memory Devices,2010:Q4
2011-04-20,0.2205,Computers,Technology,Computers-Memory Devices,2011:Q1
2011-07-20,0.2603,Computers,Technology,Computers-Memory Devices,2011:Q2
2011-10-18,0.2859,Computers,Technology,Computers-Memory Devices,2011:Q3
2012-01-24,0.3916,Computers,Technology,Computers-Memory Devices,2011:Q4
2012-04-19,0.279,Computers,Technology,Computers-Memory Devices,2012:Q1
2012-07-24,0.297,Computers,Technology,Computers-Memory Devices,2012:Q2
2012-10-24,0.2909,Computers,Technology,Computers-Memory Devices,2012:Q3
2013-01-29,0.4354,Computers,Technology,Computers-Memory Devices,2012:Q4
2013-04-24,0.2806,Computers,Technology,Computers-Memory Devices,2013:Q1
2013-07-24,0.3172,Computers,Technology,Computers-Memory Devices,2013:Q2
2013-10-22,0.2894,Computers,Technology,Computers-Memory Devices,2013:Q3
2014-01-29,0.4896,Computers,Technology,Computers-Memory Devices,2013:Q4
2014-04-23,0.2411,Computers,Technology,Computers-Memory Devices,2014:Q1
2014-07-23,0.3037,Computers,Technology,Computers-Memory Devices,2014:Q2
2014-10-22,0.3165,Computers,Technology,Computers-Memory Devices,2014:Q3
2015-01-29,0.544,Computers,Technology,Computers-Memory Devices,2014:Q4
2015-04-22,0.1925,Computers,Technology,Computers-Memory Devices,2015:Q1
2015-07-22,0.2967,Computers,Technology,Computers-Memory Devices,2015:Q2
2015-10-21,0.2904,Computers,Technology,Computers-Memory Devices,2015:Q3
2016-01-27,0.4887,Computers,Technology,Computers-Memory Devices,2015:Q4
2016-04-20,0.1715,Computers,Technology,Computers-Memory Devices,2016:Q1
