Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-02,0.5793,Electrical Compo&Equip,Industrial,Electric Products-Misc,2010:Q1
2010-05-04,0.5718,Electrical Compo&Equip,Industrial,Electric Products-Misc,2010:Q2
2010-08-03,0.7969,Electrical Compo&Equip,Industrial,Electric Products-Misc,2010:Q3
2010-11-02,0.7706,Electrical Compo&Equip,Industrial,Electric Products-Misc,2010:Q4
2011-02-01,0.642,Electrical Compo&Equip,Industrial,Electric Products-Misc,2011:Q1
2011-05-03,0.7146,Electrical Compo&Equip,Industrial,Electric Products-Misc,2011:Q2
2011-08-02,0.9181,Electrical Compo&Equip,Industrial,Electric Products-Misc,2011:Q3
2011-11-01,1.0018,Electrical Compo&Equip,Industrial,Electric Products-Misc,2011:Q4
2012-02-07,0.5185,Electrical Compo&Equip,Industrial,Electric Products-Misc,2012:Q1
2012-05-01,0.7629,Electrical Compo&Equip,Industrial,Electric Products-Misc,2012:Q2
2012-08-07,1.0329,Electrical Compo&Equip,Industrial,Electric Products-Misc,2012:Q3
2012-11-06,1.1377,Electrical Compo&Equip,Industrial,Electric Products-Misc,2012:Q4
2013-02-05,0.6343,Electrical Compo&Equip,Industrial,Electric Products-Misc,2013:Q1
2013-05-07,0.7834,Electrical Compo&Equip,Industrial,Electric Products-Misc,2013:Q2
2013-08-06,1.0031,Electrical Compo&Equip,Industrial,Electric Products-Misc,2013:Q3
2013-11-05,1.1926,Electrical Compo&Equip,Industrial,Electric Products-Misc,2013:Q4
2014-02-04,0.513,Electrical Compo&Equip,Industrial,Electric Products-Misc,2014:Q1
2014-05-06,0.65,Electrical Compo&Equip,Industrial,Electric Products-Misc,2014:Q2
2014-08-05,0.87,Electrical Compo&Equip,Industrial,Electric Products-Misc,2014:Q3
2014-11-04,1.08,Electrical Compo&Equip,Industrial,Electric Products-Misc,2014:Q4
2015-02-03,0.6457,Electrical Compo&Equip,Industrial,Electric Products-Misc,2015:Q1
2015-05-05,0.476,Electrical Compo&Equip,Industrial,Electric Products-Misc,2015:Q2
2015-08-04,0.7469,Electrical Compo&Equip,Industrial,Electric Products-Misc,2015:Q3
2015-11-03,0.8431,Electrical Compo&Equip,Industrial,Electric Products-Misc,2015:Q4
2016-02-02,0.467,Electrical Compo&Equip,Industrial,Electric Products-Misc,2016:Q1
2016-05-03,0.5811,Electrical Compo&Equip,Industrial,Electric Products-Misc,2016:Q2
2016-08-02,0.68,Electrical Compo&Equip,Industrial,Electric Products-Misc,2016:Q3
2016-11-01,0.8357,Electrical Compo&Equip,Industrial,Electric Products-Misc,2016:Q4
