Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-23,0.48,Electric,Utilities,Electric-Integrated,2009:Q4
2010-05-05,0.49,Electric,Utilities,Electric-Integrated,2010:Q1
2010-08-03,0.41,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-29,0.57,Electric,Utilities,Electric-Integrated,2010:Q3
2011-02-24,0.73,Electric,Utilities,Electric-Integrated,2010:Q4
2011-05-05,0.6868,Electric,Utilities,Electric-Integrated,2011:Q1
2011-08-02,0.4425,Electric,Utilities,Electric-Integrated,2011:Q2
2011-11-04,0.5102,Electric,Utilities,Electric-Integrated,2011:Q3
2012-02-23,0.7453,Electric,Utilities,Electric-Integrated,2011:Q4
2012-05-02,0.5637,Electric,Utilities,Electric-Integrated,2012:Q1
2012-07-30,0.4512,Electric,Utilities,Electric-Integrated,2012:Q2
2012-11-01,0.7005,Electric,Utilities,Electric-Integrated,2012:Q3
2013-02-19,0.5566,Electric,Utilities,Electric-Integrated,2012:Q4
2013-05-01,0.7295,Electric,Utilities,Electric-Integrated,2013:Q1
2013-07-29,0.5457,Electric,Utilities,Electric-Integrated,2013:Q2
2013-10-31,0.701,Electric,Utilities,Electric-Integrated,2013:Q3
2014-02-06,0.5701,Electric,Utilities,Electric-Integrated,2013:Q4
2014-05-01,0.7671,Electric,Utilities,Electric-Integrated,2014:Q1
2014-07-31,0.5183,Electric,Utilities,Electric-Integrated,2014:Q2
2014-11-06,0.7509,Electric,Utilities,Electric-Integrated,2014:Q3
2015-02-11,0.7349,Electric,Utilities,Electric-Integrated,2014:Q4
2015-04-29,0.8129,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-30,0.659,Electric,Utilities,Electric-Integrated,2015:Q2
2015-11-02,0.7474,Electric,Utilities,Electric-Integrated,2015:Q3
2016-02-04,0.5994,Electric,Utilities,Electric-Integrated,2015:Q4
2016-05-04,0.77,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-28,0.64,Electric,Utilities,Electric-Integrated,2016:Q2
2016-11-01,0.83,Electric,Utilities,Electric-Integrated,2016:Q3
