Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-04,0.1855,REITS,Financial,REITS-Apartments,2009:Q4
2010-05-05,0.45,REITS,Financial,REITS-Apartments,2010:Q1
2010-08-04,0.318,REITS,Financial,REITS-Apartments,2010:Q2
2010-11-03,0.2636,REITS,Financial,REITS-Apartments,2010:Q3
2011-02-03,0.1782,REITS,Financial,REITS-Apartments,2010:Q4
2011-05-04,0.25,REITS,Financial,REITS-Apartments,2011:Q1
2011-08-03,0.1569,REITS,Financial,REITS-Apartments,2011:Q2
2011-11-02,0.2671,REITS,Financial,REITS-Apartments,2011:Q3
2012-02-01,0.2351,REITS,Financial,REITS-Apartments,2011:Q4
2012-05-02,0.39,REITS,Financial,REITS-Apartments,2012:Q1
2012-08-02,1.1118,REITS,Financial,REITS-Apartments,2012:Q2
2012-10-31,0.4839,REITS,Financial,REITS-Apartments,2012:Q3
2013-01-31,1.2711,REITS,Financial,REITS-Apartments,2012:Q4
2013-05-01,0.67,REITS,Financial,REITS-Apartments,2013:Q1
2013-07-31,0.6226,REITS,Financial,REITS-Apartments,2013:Q2
2013-10-30,1.51,REITS,Financial,REITS-Apartments,2013:Q3
2014-01-30,0.5442,REITS,Financial,REITS-Apartments,2013:Q4
2014-05-07,1.0034,REITS,Financial,REITS-Apartments,2014:Q1
2014-08-06,0.447,REITS,Financial,REITS-Apartments,2014:Q2
2014-10-30,0.9112,REITS,Financial,REITS-Apartments,2014:Q3
2015-02-04,0.7462,REITS,Financial,REITS-Apartments,2014:Q4
2015-05-06,0.9571,REITS,Financial,REITS-Apartments,2015:Q1
2015-07-30,0.7217,REITS,Financial,REITS-Apartments,2015:Q2
2015-10-29,0.65,REITS,Financial,REITS-Apartments,2015:Q3
2016-02-04,1.3122,REITS,Financial,REITS-Apartments,2015:Q4
2016-04-28,0.881,REITS,Financial,REITS-Apartments,2016:Q1
2016-07-28,1.1,REITS,Financial,REITS-Apartments,2016:Q2
2016-10-27,1.0032,REITS,Financial,REITS-Apartments,2016:Q3
