Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-27,-3.1189,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2009:Q4
2010-04-21,-2.3859,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2010:Q1
2010-07-22,0.1158,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2010:Q2
2010-10-20,0.0366,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2010:Q3
2011-01-26,-0.0809,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2010:Q4
2011-04-20,0.168,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2011:Q1
2011-07-20,0.1577,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2011:Q2
2011-10-19,0.0281,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2011:Q3
2012-01-25,-0.0185,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2011:Q4
2012-04-19,0.1262,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2012:Q1
2012-07-19,0.1419,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2012:Q2
2012-10-18,0.0498,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2012:Q3
2013-01-24,0.0059,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2012:Q4
2013-04-18,0.1189,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2013:Q1
2013-07-24,0.2306,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2013:Q2
2013-10-23,0.1742,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2013:Q3
2014-01-23,0.2103,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2013:Q4
2014-04-23,0.3394,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2014:Q1
2014-07-23,0.2482,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2014:Q2
2014-10-21,0.2944,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2014:Q3
2015-01-22,0.2373,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2014:Q4
2015-04-23,0.3098,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2015:Q1
2015-07-23,0.2485,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2015:Q2
2015-10-22,-0.4383,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2015:Q3
2016-01-21,0.3198,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2015:Q4
2016-04-21,0.4264,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2016:Q1
2016-07-21,0.4823,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2016:Q2
2016-10-20,0.5659,Diversified Finan Serv,Financial,Finance-Invest Bnkr/Brkr,2016:Q3
