Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-23,0.32,Transportation,Industrial,Transport-Services,2009:Q4
2010-05-05,0.2818,Transportation,Industrial,Transport-Services,2010:Q1
2010-08-02,0.42,Transportation,Industrial,Transport-Services,2010:Q2
2010-11-02,0.44,Transportation,Industrial,Transport-Services,2010:Q3
2011-02-22,0.45,Transportation,Industrial,Transport-Services,2010:Q4
2011-05-04,0.42,Transportation,Industrial,Transport-Services,2011:Q1
2011-08-02,0.44,Transportation,Industrial,Transport-Services,2011:Q2
2011-11-01,0.5,Transportation,Industrial,Transport-Services,2011:Q3
2012-02-21,0.43,Transportation,Industrial,Transport-Services,2011:Q4
2012-05-02,0.36,Transportation,Industrial,Transport-Services,2012:Q1
2012-08-07,0.39,Transportation,Industrial,Transport-Services,2012:Q2
2012-11-06,0.42,Transportation,Industrial,Transport-Services,2012:Q3
2013-02-26,0.4,Transportation,Industrial,Transport-Services,2012:Q4
2013-05-01,0.39,Transportation,Industrial,Transport-Services,2013:Q1
2013-08-06,0.45,Transportation,Industrial,Transport-Services,2013:Q2
2013-11-05,0.45,Transportation,Industrial,Transport-Services,2013:Q3
2014-02-25,0.41,Transportation,Industrial,Transport-Services,2013:Q4
2014-05-07,0.42,Transportation,Industrial,Transport-Services,2014:Q1
2014-08-05,0.46,Transportation,Industrial,Transport-Services,2014:Q2
2014-11-04,0.53,Transportation,Industrial,Transport-Services,2014:Q3
2015-02-24,0.51,Transportation,Industrial,Transport-Services,2014:Q4
2015-05-06,0.55,Transportation,Industrial,Transport-Services,2015:Q1
2015-08-04,0.61,Transportation,Industrial,Transport-Services,2015:Q2
2015-11-03,0.62,Transportation,Industrial,Transport-Services,2015:Q3
2016-02-23,0.5891,Transportation,Industrial,Transport-Services,2015:Q4
2016-05-03,0.53,Transportation,Industrial,Transport-Services,2016:Q1
2016-08-02,0.63,Transportation,Industrial,Transport-Services,2016:Q2
2016-11-08,0.59,Transportation,Industrial,Transport-Services,2016:Q3
