Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-22,0.074,REITS,Financial,REITS-Storage,2009:Q4
2010-05-03,0.04,REITS,Financial,REITS-Storage,2010:Q1
2010-07-28,0.07,REITS,Financial,REITS-Storage,2010:Q2
2010-10-28,0.1105,REITS,Financial,REITS-Storage,2010:Q3
2011-02-22,0.1,REITS,Financial,REITS-Storage,2010:Q4
2011-04-27,0.09,REITS,Financial,REITS-Storage,2011:Q1
2011-07-28,0.12,REITS,Financial,REITS-Storage,2011:Q2
2011-10-27,0.16,REITS,Financial,REITS-Storage,2011:Q3
2012-02-21,0.1916,REITS,Financial,REITS-Storage,2011:Q4
2012-04-30,0.21,REITS,Financial,REITS-Storage,2012:Q1
2012-07-30,0.22,REITS,Financial,REITS-Storage,2012:Q2
2012-10-29,0.37,REITS,Financial,REITS-Storage,2012:Q3
2013-02-21,0.33,REITS,Financial,REITS-Storage,2012:Q4
2013-04-29,0.28,REITS,Financial,REITS-Storage,2013:Q1
2013-08-01,0.31,REITS,Financial,REITS-Storage,2013:Q2
2013-10-28,0.3378,REITS,Financial,REITS-Storage,2013:Q3
2014-02-20,0.67,REITS,Financial,REITS-Storage,2013:Q4
2014-04-28,0.32,REITS,Financial,REITS-Storage,2014:Q1
2014-07-30,0.36,REITS,Financial,REITS-Storage,2014:Q2
2014-10-29,0.47,REITS,Financial,REITS-Storage,2014:Q3
2015-02-19,0.39,REITS,Financial,REITS-Storage,2014:Q4
2015-04-29,0.46,REITS,Financial,REITS-Storage,2015:Q1
2015-07-29,0.47,REITS,Financial,REITS-Storage,2015:Q2
2015-10-28,0.5716,REITS,Financial,REITS-Storage,2015:Q3
2016-02-23,0.07,REITS,Financial,REITS-Storage,2015:Q4
2016-05-02,0.66,REITS,Financial,REITS-Storage,2016:Q1
2016-07-27,0.66,REITS,Financial,REITS-Storage,2016:Q2
2016-10-26,0.93,REITS,Financial,REITS-Storage,2016:Q3
