Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2011-11-02,0.1279,Building Materials,Industrial,Bldg&Construct Prod-Misc,2011:Q3
2012-02-01,-0.036,Building Materials,Industrial,Bldg&Construct Prod-Misc,2011:Q4
2012-04-26,0.0778,Building Materials,Industrial,Bldg&Construct Prod-Misc,2012:Q1
2012-07-26,0.2912,Building Materials,Industrial,Bldg&Construct Prod-Misc,2012:Q2
2012-10-23,0.2885,Building Materials,Industrial,Bldg&Construct Prod-Misc,2012:Q3
2013-01-31,0.0892,Building Materials,Industrial,Bldg&Construct Prod-Misc,2012:Q4
2013-05-02,0.2429,Building Materials,Industrial,Bldg&Construct Prod-Misc,2013:Q1
2013-07-24,0.4085,Building Materials,Industrial,Bldg&Construct Prod-Misc,2013:Q2
2013-10-23,0.4574,Building Materials,Industrial,Bldg&Construct Prod-Misc,2013:Q3
2014-01-29,0.3236,Building Materials,Industrial,Bldg&Construct Prod-Misc,2013:Q4
2014-04-30,0.2735,Building Materials,Industrial,Bldg&Construct Prod-Misc,2014:Q1
2014-07-30,0.507,Building Materials,Industrial,Bldg&Construct Prod-Misc,2014:Q2
2014-10-29,0.5274,Building Materials,Industrial,Bldg&Construct Prod-Misc,2014:Q3
2015-02-04,0.4399,Building Materials,Industrial,Bldg&Construct Prod-Misc,2014:Q4
2015-04-30,0.274,Building Materials,Industrial,Bldg&Construct Prod-Misc,2015:Q1
2015-07-22,0.5929,Building Materials,Industrial,Bldg&Construct Prod-Misc,2015:Q2
2015-10-21,0.6369,Building Materials,Industrial,Bldg&Construct Prod-Misc,2015:Q3
2016-02-03,0.558,Building Materials,Industrial,Bldg&Construct Prod-Misc,2015:Q4
2016-04-20,0.4208,Building Materials,Industrial,Bldg&Construct Prod-Misc,2016:Q1
2016-07-27,0.828,Building Materials,Industrial,Bldg&Construct Prod-Misc,2016:Q2
2016-10-26,0.7986,Building Materials,Industrial,Bldg&Construct Prod-Misc,2016:Q3
