Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-18,0.76,Transportation,Industrial,Transport-Services,2010:Q3
2010-06-16,1.363,Transportation,Industrial,Transport-Services,2010:Q4
2010-09-16,1.2,Transportation,Industrial,Transport-Services,2011:Q1
2010-12-16,1.16,Transportation,Industrial,Transport-Services,2011:Q2
2011-03-17,0.7731,Transportation,Industrial,Transport-Services,2011:Q3
2011-06-22,1.752,Transportation,Industrial,Transport-Services,2011:Q4
2011-09-22,1.46,Transportation,Industrial,Transport-Services,2012:Q1
2011-12-15,1.57,Transportation,Industrial,Transport-Services,2012:Q2
2012-03-22,1.55,Transportation,Industrial,Transport-Services,2012:Q3
2012-06-19,1.995,Transportation,Industrial,Transport-Services,2012:Q4
2012-09-18,1.7082,Transportation,Industrial,Transport-Services,2013:Q1
2012-12-19,1.6668,Transportation,Industrial,Transport-Services,2013:Q2
2013-03-20,1.4746,Transportation,Industrial,Transport-Services,2013:Q3
2013-06-19,2.2112,Transportation,Industrial,Transport-Services,2013:Q4
2013-09-18,1.72,Transportation,Industrial,Transport-Services,2014:Q1
2013-12-18,1.75,Transportation,Industrial,Transport-Services,2014:Q2
2014-03-19,1.42,Transportation,Industrial,Transport-Services,2014:Q3
2014-06-18,2.6504,Transportation,Industrial,Transport-Services,2014:Q4
2014-09-17,2.26,Transportation,Industrial,Transport-Services,2015:Q1
2014-12-17,2.31,Transportation,Industrial,Transport-Services,2015:Q2
2015-03-18,2.18,Transportation,Industrial,Transport-Services,2015:Q3
2015-06-17,2.8092,Transportation,Industrial,Transport-Services,2015:Q4
2015-09-16,2.42,Transportation,Industrial,Transport-Services,2016:Q1
2015-12-16,2.5707,Transportation,Industrial,Transport-Services,2016:Q2
2016-03-16,2.5091,Transportation,Industrial,Transport-Services,2016:Q3
2016-06-21,3.3346,Transportation,Industrial,Transport-Services,2016:Q4
2016-09-20,2.8173,Transportation,Industrial,Transport-Services,2017:Q1
2016-12-20,2.6952,Transportation,Industrial,Transport-Services,2017:Q2
