Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-11,0.77,Electric,Utilities,Electric-Integrated,2009:Q4
2010-05-04,0.81,Electric,Utilities,Electric-Integrated,2010:Q1
2010-08-03,0.82,Electric,Utilities,Electric-Integrated,2010:Q2
2010-10-26,1.28,Electric,Utilities,Electric-Integrated,2010:Q3
2011-02-16,0.7785,Electric,Utilities,Electric-Integrated,2010:Q4
2011-05-02,0.75,Electric,Utilities,Electric-Integrated,2011:Q1
2011-08-02,0.7046,Electric,Utilities,Electric-Integrated,2011:Q2
2011-11-01,1.39,Electric,Utilities,Electric-Integrated,2011:Q3
2012-02-28,0.77,Electric,Utilities,Electric-Integrated,2011:Q4
2012-05-01,0.82,Electric,Utilities,Electric-Integrated,2012:Q1
2012-08-07,0.5992,Electric,Utilities,Electric-Integrated,2012:Q2
2012-11-08,1.0947,Electric,Utilities,Electric-Integrated,2012:Q3
2013-02-25,0.7718,Electric,Utilities,Electric-Integrated,2012:Q4
2013-05-07,0.29,Electric,Utilities,Electric-Integrated,2013:Q1
2013-08-06,0.5585,Electric,Utilities,Electric-Integrated,2013:Q2
2013-11-05,0.92,Electric,Utilities,Electric-Integrated,2013:Q3
2014-02-25,0.75,Electric,Utilities,Electric-Integrated,2013:Q4
2014-05-06,0.18,Electric,Utilities,Electric-Integrated,2014:Q1
2014-08-05,0.4815,Electric,Utilities,Electric-Integrated,2014:Q2
2014-11-04,0.89,Electric,Utilities,Electric-Integrated,2014:Q3
2015-02-17,0.8,Electric,Utilities,Electric-Integrated,2014:Q4
2015-05-01,0.6208,Electric,Utilities,Electric-Integrated,2015:Q1
2015-07-30,0.53,Electric,Utilities,Electric-Integrated,2015:Q2
2015-10-29,0.97,Electric,Utilities,Electric-Integrated,2015:Q3
2016-02-16,0.5783,Electric,Utilities,Electric-Integrated,2015:Q4
2016-04-26,0.79,Electric,Utilities,Electric-Integrated,2016:Q1
2016-07-28,0.5607,Electric,Utilities,Electric-Integrated,2016:Q2
2016-11-04,0.9,Electric,Utilities,Electric-Integrated,2016:Q3
