Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-28,0.5133,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2009:Q4
2010-04-22,0.3787,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q1
2010-07-22,0.4752,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q2
2010-10-28,0.3961,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q3
2011-01-27,0.4708,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2010:Q4
2011-04-28,0.4114,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q1
2011-07-28,0.4061,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q2
2011-10-27,0.3834,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q3
2012-01-26,0.3509,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2011:Q4
2012-04-26,0.3941,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q1
2012-07-26,0.3831,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q2
2012-10-25,0.5214,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q3
2013-01-24,0.4594,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2012:Q4
2013-04-25,0.3913,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q1
2013-07-25,0.3708,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q2
2013-10-24,0.3439,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q3
2014-01-23,0.3807,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2013:Q4
2014-04-24,0.3233,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q1
2014-07-24,0.3338,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q2
2014-10-23,0.3612,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q3
2015-01-22,0.38,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2014:Q4
2015-04-23,0.3477,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q1
2015-07-23,0.4044,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q2
2015-10-22,0.4478,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q3
2016-01-28,0.456,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2015:Q4
2016-04-28,0.4328,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q1
2016-07-28,0.5117,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q2
2016-10-27,0.5219,Diversified Finan Serv,Financial,Invest Mgmnt/Advis Serv,2016:Q3
