Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-04,0.3104,Software,Technology,Data Processing/Mgmt,2009:Q4
2010-04-27,0.294,Software,Technology,Data Processing/Mgmt,2010:Q1
2010-07-20,0.3571,Software,Technology,Data Processing/Mgmt,2010:Q2
2010-10-26,0.6382,Software,Technology,Data Processing/Mgmt,2010:Q3
2011-02-08,0.5376,Software,Technology,Data Processing/Mgmt,2010:Q4
2011-05-03,0.31,Software,Technology,Data Processing/Mgmt,2011:Q1
2011-07-19,0.41,Software,Technology,Data Processing/Mgmt,2011:Q2
2011-11-01,0.47,Software,Technology,Data Processing/Mgmt,2011:Q3
2012-02-13,0.5122,Software,Technology,Data Processing/Mgmt,2011:Q4
2012-04-26,0.3513,Software,Technology,Data Processing/Mgmt,2012:Q1
2012-07-17,0.52,Software,Technology,Data Processing/Mgmt,2012:Q2
2012-11-05,0.5,Software,Technology,Data Processing/Mgmt,2012:Q3
2013-02-12,0.49,Software,Technology,Data Processing/Mgmt,2012:Q4
2013-04-30,0.4798,Software,Technology,Data Processing/Mgmt,2013:Q1
2013-07-30,0.574,Software,Technology,Data Processing/Mgmt,2013:Q2
2013-10-29,0.6171,Software,Technology,Data Processing/Mgmt,2013:Q3
2014-02-04,0.6189,Software,Technology,Data Processing/Mgmt,2013:Q4
2014-05-01,0.5606,Software,Technology,Data Processing/Mgmt,2014:Q1
2014-07-29,0.62,Software,Technology,Data Processing/Mgmt,2014:Q2
2014-10-30,0.6711,Software,Technology,Data Processing/Mgmt,2014:Q3
2015-02-05,0.7512,Software,Technology,Data Processing/Mgmt,2014:Q4
2015-04-30,0.5332,Software,Technology,Data Processing/Mgmt,2015:Q1
2015-07-23,0.9411,Software,Technology,Data Processing/Mgmt,2015:Q2
2015-11-03,0.7754,Software,Technology,Data Processing/Mgmt,2015:Q3
2016-02-09,0.6411,Software,Technology,Data Processing/Mgmt,2015:Q4
2016-05-03,0.488,Software,Technology,Data Processing/Mgmt,2016:Q1
2016-07-26,0.6001,Software,Technology,Data Processing/Mgmt,2016:Q2
2016-11-01,0.718,Software,Technology,Data Processing/Mgmt,2016:Q3
