Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-02,0.3937,Software,Technology,Data Processing/Mgmt,2009:Q4
2010-04-29,0.4,Software,Technology,Data Processing/Mgmt,2010:Q1
2010-07-27,0.425,Software,Technology,Data Processing/Mgmt,2010:Q2
2010-10-26,0.445,Software,Technology,Data Processing/Mgmt,2010:Q3
2011-02-03,0.4522,Software,Technology,Data Processing/Mgmt,2010:Q4
2011-04-27,0.43,Software,Technology,Data Processing/Mgmt,2011:Q1
2011-07-26,0.475,Software,Technology,Data Processing/Mgmt,2011:Q2
2011-11-01,0.4995,Software,Technology,Data Processing/Mgmt,2011:Q3
2012-02-02,0.54,Software,Technology,Data Processing/Mgmt,2011:Q4
2012-05-01,0.505,Software,Technology,Data Processing/Mgmt,2012:Q1
2012-07-30,0.5392,Software,Technology,Data Processing/Mgmt,2012:Q2
2012-10-30,0.535,Software,Technology,Data Processing/Mgmt,2012:Q3
2013-02-05,0.585,Software,Technology,Data Processing/Mgmt,2012:Q4
2013-04-30,0.55,Software,Technology,Data Processing/Mgmt,2013:Q1
2013-07-30,0.62,Software,Technology,Data Processing/Mgmt,2013:Q2
2013-10-29,0.645,Software,Technology,Data Processing/Mgmt,2013:Q3
2014-02-05,0.66,Software,Technology,Data Processing/Mgmt,2013:Q4
2014-04-29,0.69,Software,Technology,Data Processing/Mgmt,2014:Q1
2014-07-29,0.6677,Software,Technology,Data Processing/Mgmt,2014:Q2
2014-10-28,0.7362,Software,Technology,Data Processing/Mgmt,2014:Q3
2015-02-03,0.7514,Software,Technology,Data Processing/Mgmt,2014:Q4
2015-05-05,0.75,Software,Technology,Data Processing/Mgmt,2015:Q1
2015-07-29,0.7998,Software,Technology,Data Processing/Mgmt,2015:Q2
2015-10-27,0.8941,Software,Technology,Data Processing/Mgmt,2015:Q3
2016-02-02,0.8745,Software,Technology,Data Processing/Mgmt,2015:Q4
2016-05-05,0.9407,Software,Technology,Data Processing/Mgmt,2016:Q1
2016-08-02,0.9716,Software,Technology,Data Processing/Mgmt,2016:Q2
2016-10-26,1.0213,Software,Technology,Data Processing/Mgmt,2016:Q3
