Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-01-21,-0.186,Banks,Financial,Super-Regional Banks-US,2009:Q4
2010-04-22,-0.0755,Banks,Financial,Super-Regional Banks-US,2010:Q1
2010-07-22,0.1673,Banks,Financial,Super-Regional Banks-US,2010:Q2
2010-10-21,0.2363,Banks,Financial,Super-Regional Banks-US,2010:Q3
2011-01-19,0.2989,Banks,Financial,Super-Regional Banks-US,2010:Q4
2011-04-21,0.1109,Banks,Financial,Super-Regional Banks-US,2011:Q1
2011-07-21,0.3514,Banks,Financial,Super-Regional Banks-US,2011:Q2
2011-10-20,0.4129,Banks,Financial,Super-Regional Banks-US,2011:Q3
2012-01-20,0.3667,Banks,Financial,Super-Regional Banks-US,2011:Q4
2012-04-19,0.493,Banks,Financial,Super-Regional Banks-US,2012:Q1
2012-07-19,0.4102,Banks,Financial,Super-Regional Banks-US,2012:Q2
2012-10-18,0.4097,Banks,Financial,Super-Regional Banks-US,2012:Q3
2013-01-17,0.3836,Banks,Financial,Super-Regional Banks-US,2012:Q4
2013-04-18,0.4735,Banks,Financial,Super-Regional Banks-US,2013:Q1
2013-07-18,0.6855,Banks,Financial,Super-Regional Banks-US,2013:Q2
2013-10-17,0.4984,Banks,Financial,Super-Regional Banks-US,2013:Q3
2014-01-23,0.5012,Banks,Financial,Super-Regional Banks-US,2013:Q4
2014-04-17,0.4023,Banks,Financial,Super-Regional Banks-US,2014:Q1
2014-07-17,0.5643,Banks,Financial,Super-Regional Banks-US,2014:Q2
2014-10-16,0.4133,Banks,Financial,Super-Regional Banks-US,2014:Q3
2015-01-21,0.4504,Banks,Financial,Super-Regional Banks-US,2014:Q4
2015-04-21,0.4413,Banks,Financial,Super-Regional Banks-US,2015:Q1
2015-07-21,0.4399,Banks,Financial,Super-Regional Banks-US,2015:Q2
2015-10-20,0.4596,Banks,Financial,Super-Regional Banks-US,2015:Q3
2016-01-21,0.4732,Banks,Financial,Super-Regional Banks-US,2015:Q4
2016-04-21,0.3772,Banks,Financial,Super-Regional Banks-US,2016:Q1
2016-07-28,0.3394,Banks,Financial,Super-Regional Banks-US,2016:Q2
2016-10-20,0.4277,Banks,Financial,Super-Regional Banks-US,2016:Q3
