Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-03-03,0.242,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2010:Q4
2010-05-20,0.34,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q1
2010-08-19,0.04,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q2
2010-11-18,0.33,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q3
2011-03-02,0.3933,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2011:Q4
2011-05-19,0.6,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q1
2011-08-18,0.24,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q2
2011-11-17,0.43,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q3
2012-03-01,0.5369,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2012:Q4
2012-05-18,0.83,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q1
2012-08-17,0.39,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q2
2012-11-16,0.69,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q3
2013-03-08,0.7245,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2013:Q4
2013-05-24,0.9065,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q1
2013-08-23,0.4532,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q2
2013-11-22,0.7067,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q3
2014-03-07,0.8255,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2014:Q4
2014-05-23,1.1136,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q1
2014-08-22,0.6368,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q2
2014-11-21,0.8269,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q3
2015-03-06,0.9961,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2015:Q4
2015-05-22,1.29,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q1
2015-08-21,0.84,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q2
2015-11-20,1.0029,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q3
2016-02-26,1.1663,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2016:Q4
2016-05-20,1.4089,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q1
2016-08-19,0.94,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q2
2016-11-18,1.1327,Retail,"Consumer, Cyclical",Retail-Apparel/Shoe,2017:Q3
