Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-11,0.38,Electronics,Industrial,Electronic Measur Instr,2009:Q4
2010-04-23,0.35,Electronics,Industrial,Electronic Measur Instr,2010:Q1
2010-07-22,0.3887,Electronics,Industrial,Electronic Measur Instr,2010:Q2
2010-10-21,0.4001,Electronics,Industrial,Electronic Measur Instr,2010:Q3
2011-02-09,0.4509,Electronics,Industrial,Electronic Measur Instr,2010:Q4
2011-04-29,0.32,Electronics,Industrial,Electronic Measur Instr,2011:Q1
2011-07-22,0.336,Electronics,Industrial,Electronic Measur Instr,2011:Q2
2011-10-20,0.4036,Electronics,Industrial,Electronic Measur Instr,2011:Q3
2012-02-10,0.49,Electronics,Industrial,Electronic Measur Instr,2011:Q4
2012-04-27,0.31,Electronics,Industrial,Electronic Measur Instr,2012:Q1
2012-07-26,0.2985,Electronics,Industrial,Electronic Measur Instr,2012:Q2
2012-10-25,0.3713,Electronics,Industrial,Electronic Measur Instr,2012:Q3
2013-02-07,0.5248,Electronics,Industrial,Electronic Measur Instr,2012:Q4
2013-04-26,0.35,Electronics,Industrial,Electronic Measur Instr,2013:Q1
2013-07-25,0.35,Electronics,Industrial,Electronic Measur Instr,2013:Q2
2013-10-24,0.32,Electronics,Industrial,Electronic Measur Instr,2013:Q3
2014-02-07,0.3464,Electronics,Industrial,Electronic Measur Instr,2013:Q4
2014-04-25,0.2545,Electronics,Industrial,Electronic Measur Instr,2014:Q1
2014-07-24,0.3287,Electronics,Industrial,Electronic Measur Instr,2014:Q2
2014-10-24,0.3916,Electronics,Industrial,Electronic Measur Instr,2014:Q3
2015-02-06,0.5809,Electronics,Industrial,Electronic Measur Instr,2014:Q4
2015-04-24,0.3409,Electronics,Industrial,Electronic Measur Instr,2015:Q1
2015-07-24,0.36,Electronics,Industrial,Electronic Measur Instr,2015:Q2
2015-10-28,0.5176,Electronics,Industrial,Electronic Measur Instr,2015:Q3
2016-02-11,0.3867,Electronics,Industrial,Electronic Measur Instr,2015:Q4
2016-04-26,0.3035,Electronics,Industrial,Electronic Measur Instr,2016:Q1
2016-07-27,0.3436,Electronics,Industrial,Electronic Measur Instr,2016:Q2
2016-10-26,0.4443,Electronics,Industrial,Electronic Measur Instr,2016:Q3
