Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-25,0.82,Engineering&Construction,Industrial,Engineering/R&D Services,2009:Q4
2010-05-10,0.76,Engineering&Construction,Industrial,Engineering/R&D Services,2010:Q1
2010-07-26,0.6865,Engineering&Construction,Industrial,Engineering/R&D Services,2010:Q2
2010-11-04,0.9191,Engineering&Construction,Industrial,Engineering/R&D Services,2010:Q3
2011-02-23,0.8016,Engineering&Construction,Industrial,Engineering/R&D Services,2010:Q4
2011-05-05,0.78,Engineering&Construction,Industrial,Engineering/R&D Services,2011:Q1
2011-08-04,0.94,Engineering&Construction,Industrial,Engineering/R&D Services,2011:Q2
2011-11-03,0.92,Engineering&Construction,Industrial,Engineering/R&D Services,2011:Q3
2012-02-22,0.97,Engineering&Construction,Industrial,Engineering/R&D Services,2011:Q4
2012-05-03,0.9596,Engineering&Construction,Industrial,Engineering/R&D Services,2012:Q1
2012-08-02,0.95,Engineering&Construction,Industrial,Engineering/R&D Services,2012:Q2
2012-11-01,0.86,Engineering&Construction,Industrial,Engineering/R&D Services,2012:Q3
2013-02-20,1.749,Engineering&Construction,Industrial,Engineering/R&D Services,2012:Q4
2013-05-02,1.02,Engineering&Construction,Industrial,Engineering/R&D Services,2013:Q1
2013-08-01,1.05,Engineering&Construction,Industrial,Engineering/R&D Services,2013:Q2
2013-10-31,1.05,Engineering&Construction,Industrial,Engineering/R&D Services,2013:Q3
2014-02-18,1.01,Engineering&Construction,Industrial,Engineering/R&D Services,2013:Q4
2014-05-01,0.92,Engineering&Construction,Industrial,Engineering/R&D Services,2014:Q1
2014-07-31,1.0767,Engineering&Construction,Industrial,Engineering/R&D Services,2014:Q2
2014-10-30,1.15,Engineering&Construction,Industrial,Engineering/R&D Services,2014:Q3
2015-02-18,1.41,Engineering&Construction,Industrial,Engineering/R&D Services,2014:Q4
2015-04-30,0.9217,Engineering&Construction,Industrial,Engineering/R&D Services,2015:Q1
2015-07-30,0.9596,Engineering&Construction,Industrial,Engineering/R&D Services,2015:Q2
2015-10-29,0.8909,Engineering&Construction,Industrial,Engineering/R&D Services,2015:Q3
2016-02-18,0.8982,Engineering&Construction,Industrial,Engineering/R&D Services,2015:Q4
2016-05-05,0.8102,Engineering&Construction,Industrial,Engineering/R&D Services,2016:Q1
2016-08-04,0.7043,Engineering&Construction,Industrial,Engineering/R&D Services,2016:Q2
2016-11-03,1.0987,Engineering&Construction,Industrial,Engineering/R&D Services,2016:Q3
