Date,Earnings EPS,INDUSTRY_GROUP,INDUSTRY_SECTOR,INDUSTRY_SUBGROUP,Year/Period
2010-02-18,1.6583,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2009:Q4
2010-04-28,2.0086,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2010:Q1
2010-07-29,1.8572,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2010:Q2
2010-10-28,2.2587,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2010:Q3
2011-02-24,2.4144,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2010:Q4
2011-05-03,1.4191,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2011:Q1
2011-08-04,0.7768,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2011:Q2
2011-10-26,2.2911,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2011:Q3
2012-02-28,-0.3461,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2011:Q4
2012-05-03,1.6419,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2012:Q1
2012-08-01,2.0962,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2012:Q2
2012-11-01,1.6302,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2012:Q3
2013-02-26,2.3092,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2012:Q4
2013-05-06,0.7744,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2013:Q1
2013-08-06,0.4844,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2013:Q2
2013-10-31,2.7662,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2013:Q3
2014-02-25,0.9428,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2013:Q4
2014-05-06,1.1,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2014:Q1
2014-08-05,0.0431,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2014:Q2
2014-11-06,0.6407,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2014:Q3
2015-02-24,1.9208,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2014:Q4
2015-04-30,-0.5669,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2015:Q1
2015-08-04,0.5512,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2015:Q2
2015-10-29,3.4303,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2015:Q3
2016-02-23,1.6,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2015:Q4
2016-04-27,1.9,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2016:Q1
2016-08-03,0.5443,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2016:Q2
2016-11-02,1.1868,Energy-Alternate Sources,Energy,Energy-Alternate Sources,2016:Q3
